parent,child,premise,conclusion,label
drink,parfait,drinks are daxable,parfaits are daxable,no
school supply,llama,school supplies are daxable,llamas are daxable,no
dessert,berry,desserts are daxable,berries are daxable,no
office supply,rubber band,office supplies are daxable,rubber bands are daxable,yes
accessory,tapestry,accessories are daxable,tapestries are daxable,no
auto part,watermelon,auto parts are daxable,watermelons are daxable,no
container,ferry,containers are daxable,ferries are daxable,no
weapon,whip,weapons are daxable,whips are daxable,yes
water vehicle,camper,water vehicles are daxable,campers are daxable,no
animal,dolphin,animals are daxable,dolphins are daxable,yes
footwear,plaster cast,footwear is daxable,plaster casts are daxable,no
mammal,polar bear,mammals are daxable,polar bears are daxable,yes
animal,toilet paper,animals are daxable,toilet paper is daxable,no
food,mousse,food is daxable,mousse is daxable,yes
insect,snake,insects are daxable,snakes are daxable,no
home decor,mirror,home decor is daxable,mirrors are daxable,yes
food,brownie,food is daxable,brownies are daxable,yes
tool,gravy,tools are daxable,gravy is daxable,no
sea animal,stingray,sea animals are daxable,stingrays are daxable,yes
food,cockroach,food is daxable,cockroaches are daxable,no
plant,flower,plants are daxable,flowers are daxable,yes
food,burrito,food is daxable,burritos are daxable,yes
food,coffee bean,food is daxable,coffee beans are daxable,yes
container,bookshelf,containers are daxable,bookshelves are daxable,no
electronic device,jackhammer,electronic devices are daxable,jackhammers are daxable,yes
tool,rolling pin,tools are daxable,rolling pins are daxable,yes
toy,kite,toys are daxable,kites are daxable,yes
vehicle,bus,vehicles are daxable,buses are daxable,yes
plant,celery,plants are daxable,celeries are daxable,no
electronic device,valve,electronic devices are daxable,valves are daxable,no
accessory,glove,accessories are daxable,gloves are daxable,yes
food,hopscotch,food is daxable,hopscotches are daxable,no
sea animal,fish,sea animals are daxable,fish are daxable,yes
garden tool,lawnmower,garden tools are daxable,lawnmowers are daxable,yes
mammal,toucan,mammals are daxable,toucans are daxable,no
office supply,nail file,office supplies are daxable,nail files are daxable,no
clothing,hat,clothing is daxable,hats are daxable,yes
vehicle,sunroof,vehicles are daxable,sunroofs are daxable,no
jewelry,cornbread,jewelry is daxable,cornbread is daxable,no
plant,okra,plants are daxable,okra is daxable,no
vehicle,skateboard,vehicles are daxable,skateboards are daxable,yes
clothing,raisin,clothing is daxable,raisins are daxable,no
food,honeypot,food is daxable,honeypots are daxable,no
toy,balloon,toys are daxable,balloons are daxable,yes
vehicle,gondola,vehicles are daxable,gondolas are daxable,yes
tool,tank,tools are daxable,tanks are daxable,yes
breakfast,safety pin,breakfasts are daxable,safety pins are daxable,no
vehicle,van,vehicles are daxable,vans are daxable,yes
clothing,sweater,clothing is daxable,sweaters are daxable,yes
tool,elephant,tools are daxable,elephants are daxable,no
mammal,pug,mammals are daxable,pugs are daxable,yes
clothing,bag,clothing is daxable,bags are daxable,no
animal,maggot,animals are daxable,maggots are daxable,yes
weapon,star fruit,weapons are daxable,star fruits are daxable,no
dessert,fruitcake,desserts are daxable,fruitcakes are daxable,yes
game,yo-yo,games are daxable,yo-yos are daxable,yes
animal,polar bear,animals are daxable,polar bears are daxable,yes
fruit,fountain pen,fruits are daxable,fountain pens are daxable,no
container,taxi,containers are daxable,taxis are daxable,no
clothing,artichoke,clothing is daxable,artichokes are daxable,no
tool,peg,tools are daxable,pegs are daxable,yes
food,tie,food is daxable,ties are daxable,no
seafood,seaweed,seafood is daxable,seaweeds are daxable,yes
container,teapot,containers are daxable,teapots are daxable,yes
food,wedding cake,food is daxable,wedding cakes are daxable,yes
food,burner,food is daxable,burners are daxable,no
container,train,containers are daxable,trains are daxable,no
food,bread,food is daxable,bread is daxable,yes
mammal,pheasant,mammals are daxable,pheasants are daxable,no
food,punch,food is daxable,fruit punches are daxable,no
food,breadstick,food is daxable,breadsticks are daxable,yes
tool,life jacket,tools are daxable,life jackets are daxable,no
food,dumpling,food is daxable,dumplings are daxable,yes
footwear,jeans,footwear is daxable,jeans are daxable,no
home decor,coat rack,home decor is daxable,coat racks are daxable,no
animal,apple tree,animals are daxable,apple trees are daxable,no
container,police car,containers are daxable,police cars are daxable,no
home decor,slug,home decor is daxable,slugs are daxable,no
electronic device,videogame,electronic devices are daxable,videogames are daxable,no
mammal,wasp,mammals are daxable,wasps are daxable,no
seafood,iron,seafood is daxable,irons are daxable,no
home decor,dresser,home decor is daxable,dressers are daxable,no
animal,cougar,animals are daxable,cougars are daxable,yes
food,velcro,food is daxable,velcros are daxable,no
jewelry,corsage,jewelry is daxable,corsages are daxable,no
outerwear,cake mix,outerwear is daxable,cake mixes are daxable,no
mammal,boar,mammals are daxable,boars are daxable,yes
vehicle,school bus,vehicles are daxable,school buses are daxable,yes
medical equipment,plaster cast,medical equipment is daxable,plaster casts are daxable,yes
musical instrument,recorder,musical instruments are daxable,recorders are daxable,yes
clothing,blazer,clothing is daxable,blazers are daxable,yes
toy,highlighter,toys are daxable,highlighters are daxable,no
food,bottle,food is daxable,bottles are daxable,no
weapon,parfait,weapons are daxable,parfaits are daxable,no
condiment,latte,condiments are daxable,lattes are daxable,no
livestock,rat,livestocks are daxable,rats are daxable,no
home decor,cornucopia,home decor is daxable,cornucopias are daxable,yes
food,grapevine,food is daxable,grapevines are daxable,no
container,footbath,containers are daxable,footbaths are daxable,yes
tool,bell,tools are daxable,bells are daxable,no
fastener,lock,fasteners are daxable,locks are daxable,yes
vehicle,peanut,vehicles are daxable,peanuts are daxable,no
animal,iguana,animals are daxable,iguanas are daxable,yes
vegetable,guacamole,vegetables are daxable,guacamole is daxable,no
animal,makeup,animals are daxable,makeup is daxable,no
food,sunflower,food is daxable,sunflowers are daxable,no
fruit,grapefruit,fruits are daxable,grapefruits are daxable,yes
condiment,jam,condiments are daxable,jams are daxable,yes
garden tool,axe,garden tools are daxable,axes are daxable,yes
container,hot-water bottle,containers are daxable,hot-water bottles are daxable,yes
