item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.984523594379425,0.001754007418639958,0.0009325462160632014
2,2,Yes,No,No,0.9655736088752747,0.0014725852524861693,0.001990108983591199
3,3,Yes,No,No,0.9453362226486206,0.00381282321177423,0.001888391561806202
4,4,Yes,No,No,0.9969905614852905,0.0013655198272317648,0.001847074250690639
5,5,Yes,No,No,0.9973494410514832,0.0022537740878760815,0.0012825443409383297
6,6,Yes,No,No,0.9958030581474304,0.0032710344530642033,0.002119579119607806
7,7,Yes,No,No,0.9945113062858582,0.0012838778784498572,0.002351263305172324
8,8,Yes,No,No,0.9964799880981445,0.0009024746832437813,0.001480769133195281
9,9,Yes,No,No,0.9972949624061584,0.002439382253214717,0.00265331519767642
10,10,Yes,No,No,0.9932677149772644,0.002439382253214717,0.005486864596605301
11,11,Yes,No,No,0.8791044354438782,0.001352901803329587,0.0017862366512417793
12,12,Yes,No,No,0.9976544380187988,0.0019135612528771162,0.003370300168171525
13,13,Yes,No,No,0.9961281418800354,0.0012285198317840695,0.0017141465796157718
14,14,Yes,No,No,0.9971088171005249,0.0034701277036219835,0.00133520329836756
15,15,Yes,No,No,0.9957992434501648,0.0017119741532951593,0.0020382425282150507
16,16,Yes,No,No,0.994294285774231,0.0009527031215839088,0.00221219751983881
17,17,Yes,No,No,0.995979905128479,0.00118031888268888,0.0026134969666600227
18,18,Yes,No,No,0.8253216743469238,0.001489408896304667,0.003254425246268511
19,19,No,No,No,0.002270409371703863,0.0015536877326667309,0.0010753856040537357
20,20,Yes,No,No,0.9949703812599182,0.002266504568979144,0.0013508907286450267
21,21,Yes,No,No,0.9915032386779785,0.0014915355714038014,0.0015491355443373322
22,22,Yes,No,No,0.9955908060073853,0.0013466218952089548,0.001133357989601791
23,23,Yes,No,No,0.9672476649284363,0.00185357965528965,0.0023591674398630857
24,24,Yes,No,No,0.9979658126831055,0.000905291351955384,0.0016573320608586073
25,25,Yes,No,No,0.7724508047103882,0.0021470519714057446,0.0029069511219859123
26,26,Yes,No,No,0.9579952955245972,0.0013404206838458776,0.0018398230895400047
27,27,No,No,No,0.022648919373750687,0.0021470519714057446,0.0007465974194929004
28,28,Yes,No,No,0.9972180724143982,0.0021470519714057446,0.002906941343098879
29,29,Yes,No,No,0.9697892665863037,0.0011903820559382439,0.002200127113610506
30,30,Yes,No,No,0.9977900385856628,0.0008424914558418095,0.0012356009101495147
31,31,Yes,No,No,0.9756322503089905,0.001254901522770524,0.01818440482020378
32,32,Yes,No,No,0.9946478605270386,0.0012520410818979144,0.002314056968316436
33,33,Yes,No,No,0.9770320653915405,0.004785738419741392,0.0020029498264193535
34,34,Yes,No,No,0.9921138286590576,0.009388234466314316,0.0015961813041940331
35,35,Yes,No,No,0.9967896938323975,0.001265239785425365,0.0031703165732324123
36,36,Yes,No,Yes,0.9982186555862427,0.0013386339414864779,0.7023026347160339
37,37,No,No,No,0.09153511375188828,0.011624702252447605,0.0014529681066051126
38,38,No,No,No,0.22112563252449036,0.001287188963033259,0.0015307283028960228
39,39,Yes,No,No,0.9939698576927185,0.0024259204510599375,0.0016926652751863003
40,40,Yes,No,No,0.9800707697868347,0.016740746796131134,0.0027464511804282665
