item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.9452581405639648,0.00688751507550478,0.011448483914136887
2,2,Yes,No,No,0.6988101601600647,0.006574119441211224,0.00894487090408802
3,3,Yes,No,No,0.9079318046569824,0.05095790699124336,0.16844911873340607
4,4,Yes,No,No,0.9773114323616028,0.014408302493393421,0.017881866544485092
5,5,Yes,No,No,0.9689469337463379,0.03788747638463974,0.035066619515419006
6,6,Yes,No,No,0.9631040692329407,0.3004573583602905,0.0071697053499519825
7,7,Yes,No,No,0.9766725897789001,0.005192682612687349,0.008249171078205109
8,8,Yes,No,No,0.9760499596595764,0.008716538548469543,0.01761445589363575
9,9,Yes,No,No,0.9704342484474182,0.04307502508163452,0.05555855110287666
10,10,Yes,No,No,0.9464397430419922,0.04307502508163452,0.08587494492530823
11,11,Yes,No,No,0.8154621720314026,0.013027210719883442,0.03331001475453377
12,12,Yes,No,No,0.9786205291748047,0.013767484575510025,0.05348837003111839
13,13,Yes,No,No,0.9760974645614624,0.027571160346269608,0.017886221408843994
14,14,Yes,No,No,0.9692674279212952,0.10093759745359421,0.09337407350540161
15,15,Yes,No,No,0.9722623825073242,0.01590948924422264,0.04472789168357849
16,16,Yes,No,No,0.9694850444793701,0.036332085728645325,0.03383009135723114
17,17,Yes,No,No,0.9777710437774658,0.011995464563369751,0.05295218527317047
18,18,Yes,No,No,0.9482778310775757,0.006005052011460066,0.03159945458173752
19,19,No,No,No,0.1639132797718048,0.003994792699813843,0.033261988312006
20,20,Yes,No,No,0.9651249647140503,0.007065175101161003,0.05137992277741432
21,21,Yes,No,No,0.9674893617630005,0.009210928343236446,0.05383458361029625
22,22,Yes,No,No,0.9826251864433289,0.011364243924617767,0.03792726621031761
23,23,Yes,No,No,0.8520001173019409,0.013855081051588058,0.03621580824255943
24,24,Yes,No,No,0.9777785539627075,0.011173336766660213,0.10183349251747131
25,25,Yes,No,No,0.9559832811355591,0.029885554686188698,0.06504649668931961
26,26,Yes,No,No,0.8599892258644104,0.010403252206742764,0.05537339299917221
27,27,Yes,No,No,0.5217424631118774,0.029885554686188698,0.020647717639803886
28,28,Yes,No,No,0.9570514559745789,0.029885554686188698,0.12499933689832687
29,29,Yes,No,No,0.9319279193878174,0.05184110254049301,0.17634432017803192
30,30,Yes,No,No,0.9785751700401306,0.023312892764806747,0.014661013148725033
31,31,Yes,No,No,0.9553970098495483,0.0072074709460139275,0.06086526811122894
32,32,Yes,No,No,0.9083964228630066,0.022402018308639526,0.02382601983845234
33,33,Yes,No,No,0.9462777972221375,0.135295107960701,0.012742565013468266
34,34,Yes,No,No,0.8958121538162231,0.10458756238222122,0.038036491721868515
35,35,Yes,No,No,0.9730274081230164,0.010800763964653015,0.06333985924720764
36,36,Yes,No,Yes,0.9676878452301025,0.017589809373021126,0.7639480233192444
37,37,No,Yes,No,0.4817175567150116,0.6575555205345154,0.017531147226691246
38,38,Yes,No,No,0.7380365133285522,0.011048032902181149,0.02675662748515606
39,39,Yes,No,No,0.9381564855575562,0.06063186377286911,0.01837317831814289
40,40,Yes,No,No,0.7675829529762268,0.17656071484088898,0.059095680713653564
41,41,Yes,No,No,0.6557517647743225,0.12400820106267929,0.236924409866333
42,42,Yes,No,No,0.7987061738967896,0.14208921790122986,0.058976124972105026
43,43,No,No,No,0.39009422063827515,0.01336432434618473,0.3185773491859436
44,44,Yes,No,No,0.8748727440834045,0.027750413864850998,0.0794239416718483
45,45,Yes,No,No,0.9777064323425293,0.008559944108128548,0.12914322316646576
46,46,Yes,No,No,0.9760303497314453,0.05084162577986717,0.09211641550064087
