item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.9396075010299683,0.01515602320432663,0.030357729643583298
2,2,Yes,No,No,0.6951660513877869,0.02192348800599575,0.02496136724948883
3,3,Yes,No,No,0.8719739317893982,0.1106734573841095,0.20460565388202667
4,4,Yes,No,No,0.9831703901290894,0.041654061526060104,0.05549169331789017
5,5,Yes,No,No,0.972217321395874,0.09336962550878525,0.09962394088506699
6,6,Yes,No,No,0.9710342288017273,0.381898432970047,0.024165067821741104
7,7,Yes,No,No,0.980851411819458,0.012679050676524639,0.024580255150794983
8,8,Yes,No,No,0.9795647263526917,0.026580754667520523,0.04555962234735489
9,9,Yes,No,No,0.9742927551269531,0.06662803888320923,0.11550097912549973
10,10,Yes,No,No,0.9331459403038025,0.06662803888320923,0.14165090024471283
11,11,Yes,No,No,0.870619535446167,0.02394396811723709,0.053194310516119
12,12,Yes,No,No,0.9801978468894958,0.04061825945973396,0.09676543623209
13,13,Yes,No,No,0.9743865132331848,0.07975884526968002,0.05004465579986572
14,14,Yes,No,No,0.9763362407684326,0.17785894870758057,0.1981997936964035
15,15,Yes,No,No,0.9782005548477173,0.04087366163730621,0.13530561327934265
16,16,Yes,No,No,0.976714551448822,0.07068196684122086,0.05669026076793671
17,17,Yes,No,No,0.9767089486122131,0.03696534410119057,0.12477871775627136
18,18,Yes,No,No,0.922465980052948,0.02094142697751522,0.06473051011562347
19,19,No,No,No,0.17346137762069702,0.017973925918340683,0.0708644911646843
20,20,Yes,No,No,0.976269543170929,0.02788436971604824,0.09313300997018814
21,21,Yes,No,No,0.9733960628509521,0.027566511183977127,0.09302003681659698
22,22,Yes,No,No,0.9862960577011108,0.03985849767923355,0.0783529281616211
23,23,Yes,No,No,0.873690128326416,0.03753862902522087,0.07083173096179962
24,24,Yes,No,No,0.9849870800971985,0.026811303570866585,0.19370077550411224
25,25,Yes,No,No,0.9611270427703857,0.0868976041674614,0.1356159895658493
26,26,Yes,No,No,0.8878288865089417,0.020495016127824783,0.09492196887731552
27,27,Yes,No,No,0.85984867811203,0.0868976041674614,0.08562833070755005
28,28,Yes,No,No,0.9708210229873657,0.0868976041674614,0.2605189383029938
