question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4,model,correct
84163,existAttrC,skateboard,skateboard,sauce,scooter,urinal,pen,Qwen2.5-I,1
84163,existAttrC,skateboard,board,fodder,bookshelf,alcohol,racket,Qwen2.5-I,0
84163,existAttrC,skateboard,skateboard,sauce,scooter,urinal,pen,Qwen2.5-VL-I,1
84163,existAttrC,skateboard,board,fodder,bookshelf,alcohol,racket,Qwen2.5-VL-I,1
84165,existAttrNotC,skateboard,skateboard,football,roadway,canoe,swimsuit,Qwen2.5-I,1
84165,existAttrNotC,skateboard,board,graffiti,light fixture,fan,jeep,Qwen2.5-I,0
84165,existAttrNotC,skateboard,skateboard,football,roadway,canoe,swimsuit,Qwen2.5-VL-I,1
84165,existAttrNotC,skateboard,board,graffiti,light fixture,fan,jeep,Qwen2.5-VL-I,1
202681,existAttrC,skateboard,skateboard,drawer,apple,cart,drum,Qwen2.5-I,1
202681,existAttrC,skateboard,board,scooter,candle,platter,chicken,Qwen2.5-I,1
202681,existAttrC,skateboard,skateboard,drawer,apple,cart,drum,Qwen2.5-VL-I,1
202681,existAttrC,skateboard,board,scooter,candle,platter,chicken,Qwen2.5-VL-I,1
202685,existAttrNotC,skateboard,skateboard,glove,bell,lamb,cat,Qwen2.5-I,1
202685,existAttrNotC,skateboard,board,mammal,cup,neckwear,heating element,Qwen2.5-I,0
202685,existAttrNotC,skateboard,skateboard,glove,bell,lamb,cat,Qwen2.5-VL-I,1
202685,existAttrNotC,skateboard,board,mammal,cup,neckwear,heating element,Qwen2.5-VL-I,1
202686,existAttrNotC,skateboard,skateboard,racket,pouch,aircraft,cupboard,Qwen2.5-I,1
202686,existAttrNotC,skateboard,board,acoustic device,home appliance,bat,seat,Qwen2.5-I,0
202686,existAttrNotC,skateboard,skateboard,racket,pouch,aircraft,cupboard,Qwen2.5-VL-I,1
202686,existAttrNotC,skateboard,board,acoustic device,home appliance,bat,seat,Qwen2.5-VL-I,1
313972,existAttrC,baseball,baseball,mask,ball,glove,vest,Qwen2.5-I,1
313972,existAttrC,baseball,game,barrier,bicycle,toilet,vest,Qwen2.5-I,1
313972,existAttrC,baseball,baseball,mask,ball,glove,vest,Qwen2.5-VL-I,1
313972,existAttrC,baseball,game,barrier,bicycle,toilet,vest,Qwen2.5-VL-I,1
313975,existAttrNotC,baseball,baseball,cockpit,lamp,card,tent,Qwen2.5-I,1
313975,existAttrNotC,baseball,game,tower,antenna,bread,structure,Qwen2.5-I,0
313975,existAttrNotC,baseball,baseball,cockpit,lamp,card,tent,Qwen2.5-VL-I,1
313975,existAttrNotC,baseball,game,tower,antenna,bread,structure,Qwen2.5-VL-I,1
459705,existAttrNotC,skateboard,skateboard,pen,tunnel,hose,van,Qwen2.5-I,1
459705,existAttrNotC,skateboard,board,pouch,way,kitchen,body of water,Qwen2.5-I,0
459705,existAttrNotC,skateboard,skateboard,pen,tunnel,hose,van,Qwen2.5-VL-I,1
459705,existAttrNotC,skateboard,board,pouch,way,kitchen,body of water,Qwen2.5-VL-I,0
724262,existAttrC,refrigerator,refrigerator,sink,notepad,dish,table,Qwen2.5-I,1
724262,existAttrC,refrigerator,home appliance,device,vessel,structure,alcohol,Qwen2.5-I,1
724262,existAttrC,refrigerator,appliance,coat,blind,doorway,fence,Qwen2.5-I,1
724262,existAttrC,refrigerator,refrigerator,sink,notepad,dish,table,Qwen2.5-VL-I,1
724262,existAttrC,refrigerator,home appliance,device,vessel,structure,alcohol,Qwen2.5-VL-I,1
724262,existAttrC,refrigerator,appliance,coat,blind,doorway,fence,Qwen2.5-VL-I,1
760179,existAttrC,woman,woman,giraffe,baby,girl,zebra,Qwen2.5-I,1
760179,existAttrC,woman,adult,equine,giraffe,person,adult,Qwen2.5-I,1
760179,existAttrC,woman,person,dog,zebra,doll,cattle,Qwen2.5-I,1
760179,existAttrC,woman,woman,giraffe,baby,girl,zebra,Qwen2.5-VL-I,1
760179,existAttrC,woman,adult,equine,giraffe,person,adult,Qwen2.5-VL-I,1
760179,existAttrC,woman,person,dog,zebra,doll,cattle,Qwen2.5-VL-I,1
760181,existAttrNotC,woman,woman,skier,zebra,lady,guy,Qwen2.5-I,1
760181,existAttrNotC,woman,adult,man,cat,elephant,athlete,Qwen2.5-I,1
760181,existAttrNotC,woman,person,mammal,surfer,canine,horse,Qwen2.5-I,1
760181,existAttrNotC,woman,woman,skier,zebra,lady,guy,Qwen2.5-VL-I,1
760181,existAttrNotC,woman,adult,man,cat,elephant,athlete,Qwen2.5-VL-I,1
760181,existAttrNotC,woman,person,mammal,surfer,canine,horse,Qwen2.5-VL-I,1
760182,existAttrNotC,woman,woman,dog,child,giraffe,sheep,Qwen2.5-I,1
760182,existAttrNotC,woman,adult,dog,elephant,sheep,bear,Qwen2.5-I,1
760182,existAttrNotC,woman,person,guy,audience,amphibian,skateboarder,Qwen2.5-I,1
760182,existAttrNotC,woman,woman,dog,child,giraffe,sheep,Qwen2.5-VL-I,1
760182,existAttrNotC,woman,adult,dog,elephant,sheep,bear,Qwen2.5-VL-I,1
760182,existAttrNotC,woman,person,guy,audience,amphibian,skateboarder,Qwen2.5-VL-I,1
885539,existAttrC,refrigerator,refrigerator,cupboard,canoe,candle,train,Qwen2.5-I,1
885539,existAttrC,refrigerator,home appliance,box,suit,cage,keyboard,Qwen2.5-I,1
885539,existAttrC,refrigerator,appliance,band,structure,pen,cart,Qwen2.5-I,1
885539,existAttrC,refrigerator,refrigerator,cupboard,canoe,candle,train,Qwen2.5-VL-I,1
885539,existAttrC,refrigerator,home appliance,box,suit,cage,keyboard,Qwen2.5-VL-I,1
885539,existAttrC,refrigerator,appliance,band,structure,pen,cart,Qwen2.5-VL-I,1
885542,existAttrNotC,refrigerator,refrigerator,urinal,cake,bookshelf,roadway,Qwen2.5-I,1
885542,existAttrNotC,refrigerator,home appliance,graffiti,access,countertop,taxi,Qwen2.5-I,0
885542,existAttrNotC,refrigerator,appliance,lamb,animal food,horse,woody plant,Qwen2.5-I,0
885542,existAttrNotC,refrigerator,refrigerator,urinal,cake,bookshelf,roadway,Qwen2.5-VL-I,1
885542,existAttrNotC,refrigerator,home appliance,graffiti,access,countertop,taxi,Qwen2.5-VL-I,1
885542,existAttrNotC,refrigerator,appliance,lamb,animal food,horse,woody plant,Qwen2.5-VL-I,1
885544,existAttrNotC,refrigerator,refrigerator,patio,cow,roadway,trash,Qwen2.5-I,1
885544,existAttrNotC,refrigerator,home appliance,sailboat,bunny,pen,cabin,Qwen2.5-I,0
885544,existAttrNotC,refrigerator,appliance,table,bunny,receipt,brush,Qwen2.5-I,0
885544,existAttrNotC,refrigerator,refrigerator,patio,cow,roadway,trash,Qwen2.5-VL-I,1
885544,existAttrNotC,refrigerator,home appliance,sailboat,bunny,pen,cabin,Qwen2.5-VL-I,1
885544,existAttrNotC,refrigerator,appliance,table,bunny,receipt,brush,Qwen2.5-VL-I,1
1118101,existAttrC,cup,cup,beer,vase,toilet,pond,Qwen2.5-I,1
1118101,existAttrC,cup,container,pond,truck,writing device,cart,Qwen2.5-I,1
1118101,existAttrC,cup,cup,beer,vase,toilet,pond,Qwen2.5-VL-I,1
1118101,existAttrC,cup,container,pond,truck,writing device,cart,Qwen2.5-VL-I,1
1182946,existAttrC,wine,wine,box,cabinet,cup,glove,Qwen2.5-I,1
1182946,existAttrC,wine,alcohol,towel,clothing,hoop,boot,Qwen2.5-I,1
1182946,existAttrC,wine,beverage,musical instrument,carriage,basket,vegetable,Qwen2.5-I,1
1182946,existAttrC,wine,wine,box,cabinet,cup,glove,Qwen2.5-VL-I,1
1182946,existAttrC,wine,alcohol,towel,clothing,hoop,boot,Qwen2.5-VL-I,1
1182946,existAttrC,wine,beverage,musical instrument,carriage,basket,vegetable,Qwen2.5-VL-I,1
1182947,existAttrC,wine,wine,glove,liquid,box,scarf,Qwen2.5-I,1
1182947,existAttrC,wine,alcohol,coat,jacket,bag,source of illumination,Qwen2.5-I,1
1182947,existAttrC,wine,beverage,horse,bell,sports equipment,writing tool,Qwen2.5-I,1
1182947,existAttrC,wine,wine,glove,liquid,box,scarf,Qwen2.5-VL-I,1
1182947,existAttrC,wine,alcohol,coat,jacket,bag,source of illumination,Qwen2.5-VL-I,1
1182947,existAttrC,wine,beverage,horse,bell,sports equipment,writing tool,Qwen2.5-VL-I,1
1400212,existAttrNotC,skateboard,skateboard,blind,skirt,apple,baby,Qwen2.5-I,1
1400212,existAttrNotC,skateboard,board,bread,sign,toothbrush,cooker,Qwen2.5-I,1
1400212,existAttrNotC,skateboard,skateboard,blind,skirt,apple,baby,Qwen2.5-VL-I,1
1400212,existAttrNotC,skateboard,board,bread,sign,toothbrush,cooker,Qwen2.5-VL-I,1
1463289,existAttrNotC,woman,woman,cat,dog,horse,sheep,Qwen2.5-I,1
1463289,existAttrNotC,woman,adult,feline,canine,athlete,lamb,Qwen2.5-I,1
1463289,existAttrNotC,woman,person,sheep,kitten,child,animal,Qwen2.5-I,1
1463289,existAttrNotC,woman,woman,cat,dog,horse,sheep,Qwen2.5-VL-I,1
1463289,existAttrNotC,woman,adult,feline,canine,athlete,lamb,Qwen2.5-VL-I,1
1463289,existAttrNotC,woman,person,sheep,kitten,child,animal,Qwen2.5-VL-I,1
1468977,existAttrNotC,skateboard,skateboard,kettle,sweatshirt,clock,glove,Qwen2.5-I,1
1468977,existAttrNotC,skateboard,board,group,beverage,weapon,blouse,Qwen2.5-I,0
1468977,existAttrNotC,skateboard,skateboard,kettle,sweatshirt,clock,glove,Qwen2.5-VL-I,1
1468977,existAttrNotC,skateboard,board,group,beverage,weapon,blouse,Qwen2.5-VL-I,0
1495253,existAttrC,skateboard,skateboard,pavement,ship,helmet,cow,Qwen2.5-I,1
1495253,existAttrC,skateboard,board,broom,personal computer,bug,microphone,Qwen2.5-I,1
1495253,existAttrC,skateboard,skateboard,pavement,ship,helmet,cow,Qwen2.5-VL-I,1
1495253,existAttrC,skateboard,board,broom,personal computer,bug,microphone,Qwen2.5-VL-I,1
1497242,existMaterialNotC,cup,cup,can,monitor,tray,cookie,Qwen2.5-I,1
1497242,existMaterialNotC,cup,container,tabletop,earring,card,device,Qwen2.5-I,0
1497242,existMaterialNotC,cup,cup,can,monitor,tray,cookie,Qwen2.5-VL-I,1
1497242,existMaterialNotC,cup,container,tabletop,earring,card,device,Qwen2.5-VL-I,1
1672302,existAttrNotC,oven,oven,bunny,can,dispenser,snowboard,Qwen2.5-I,1
1672302,existAttrNotC,oven,kitchen appliance,tabletop,furniture,table,linen,Qwen2.5-I,0
1672302,existAttrNotC,oven,home appliance,tabletop,bathroom,jersey,mammal,Qwen2.5-I,0
1672302,existAttrNotC,oven,appliance,barrier,keyboard instrument,airport,motorcycle,Qwen2.5-I,0
1672302,existAttrNotC,oven,oven,bunny,can,dispenser,snowboard,Qwen2.5-VL-I,1
1672302,existAttrNotC,oven,kitchen appliance,tabletop,furniture,table,linen,Qwen2.5-VL-I,0
1672302,existAttrNotC,oven,home appliance,tabletop,bathroom,jersey,mammal,Qwen2.5-VL-I,1
1672302,existAttrNotC,oven,appliance,barrier,keyboard instrument,airport,motorcycle,Qwen2.5-VL-I,1
1757469,existAttrNotC,woman,woman,skier,frog,cat,audience,Qwen2.5-I,1
1757469,existAttrNotC,woman,adult,horse,athlete,dog,cow,Qwen2.5-I,1
1757469,existAttrNotC,woman,person,bear,people,lady,athlete,Qwen2.5-I,1
1757469,existAttrNotC,woman,woman,skier,frog,cat,audience,Qwen2.5-VL-I,1
1757469,existAttrNotC,woman,adult,horse,athlete,dog,cow,Qwen2.5-VL-I,1
1757469,existAttrNotC,woman,person,bear,people,lady,athlete,Qwen2.5-VL-I,1
1946971,existAttrC,mud,mud,dock,sand,sponge,bear,Qwen2.5-I,1
1946971,existAttrC,mud,soil,lid,structure,girl,vegetable,Qwen2.5-I,0
1946971,existAttrC,mud,earth,horizontal surface,soil,enclosure,zebra,Qwen2.5-I,0
1946971,existAttrC,mud,mud,dock,sand,sponge,bear,Qwen2.5-VL-I,1
1946971,existAttrC,mud,soil,lid,structure,girl,vegetable,Qwen2.5-VL-I,1
1946971,existAttrC,mud,earth,horizontal surface,soil,enclosure,zebra,Qwen2.5-VL-I,1
1946974,existAttrNotC,mud,mud,table,horse,doorway,man,Qwen2.5-I,1
1946974,existAttrNotC,mud,soil,pole,beard,surfer,garment,Qwen2.5-I,0
1946974,existAttrNotC,mud,earth,tea,beard,athlete,animal skin,Qwen2.5-I,0
1946974,existAttrNotC,mud,mud,table,horse,doorway,man,Qwen2.5-VL-I,1
1946974,existAttrNotC,mud,soil,pole,beard,surfer,garment,Qwen2.5-VL-I,1
1946974,existAttrNotC,mud,earth,tea,beard,athlete,animal skin,Qwen2.5-VL-I,0
1996734,existAttrNotC,cup,cup,cage,bull,meat,heater,Qwen2.5-I,1
1996734,existAttrNotC,cup,container,football,stringed instrument,ball,waste,Qwen2.5-I,0
1996734,existAttrNotC,cup,cup,cage,bull,meat,heater,Qwen2.5-VL-I,1
1996734,existAttrNotC,cup,container,football,stringed instrument,ball,waste,Qwen2.5-VL-I,1
2190786,existAttrC,bear,bear,gravel,beard,sauce,picture,Qwen2.5-I,1
2190786,existAttrC,bear,mammal,bench,rod,surfboard,band,Qwen2.5-I,1
2190786,existAttrC,bear,vertebrate,blind,kitchen appliance,tool,fur,Qwen2.5-I,1
2190786,existAttrC,bear,animal,citrus fruit,bat,drawer,barrier,Qwen2.5-I,1
2190786,existAttrC,bear,bear,gravel,beard,sauce,picture,Qwen2.5-VL-I,1
2190786,existAttrC,bear,mammal,bench,rod,surfboard,band,Qwen2.5-VL-I,1
2190786,existAttrC,bear,vertebrate,blind,kitchen appliance,tool,fur,Qwen2.5-VL-I,1
2190786,existAttrC,bear,animal,citrus fruit,bat,drawer,barrier,Qwen2.5-VL-I,1
2190789,existAttrNotC,bear,bear,clock,tent,cage,fan,Qwen2.5-I,1
2190789,existAttrNotC,bear,mammal,device,orange,bracelet,fork,Qwen2.5-I,0
2190789,existAttrNotC,bear,vertebrate,toilet,bread,dispenser,equipment,Qwen2.5-I,0
2190789,existAttrNotC,bear,animal,area,path,access,ornament,Qwen2.5-I,0
2190789,existAttrNotC,bear,bear,clock,tent,cage,fan,Qwen2.5-VL-I,1
2190789,existAttrNotC,bear,mammal,device,orange,bracelet,fork,Qwen2.5-VL-I,1
2190789,existAttrNotC,bear,vertebrate,toilet,bread,dispenser,equipment,Qwen2.5-VL-I,1
2190789,existAttrNotC,bear,animal,area,path,access,ornament,Qwen2.5-VL-I,0
2303206,existAttrC,woman,woman,cow,cat,elephant,doll,Qwen2.5-I,1
2303206,existAttrC,woman,adult,cat,man,animal,dog,Qwen2.5-I,1
2303206,existAttrC,woman,person,cat,baby,girl,giraffe,Qwen2.5-I,1
2303206,existAttrC,woman,woman,cow,cat,elephant,doll,Qwen2.5-VL-I,1
2303206,existAttrC,woman,adult,cat,man,animal,dog,Qwen2.5-VL-I,1
2303206,existAttrC,woman,person,cat,baby,girl,giraffe,Qwen2.5-VL-I,1
2550854,existAttrC,skateboard,skateboard,coffee,brush,canoe,pitcher,Qwen2.5-I,1
2550854,existAttrC,skateboard,board,top,house,keyboard,home appliance,Qwen2.5-I,1
2550854,existAttrC,skateboard,skateboard,coffee,brush,canoe,pitcher,Qwen2.5-VL-I,1
2550854,existAttrC,skateboard,board,top,house,keyboard,home appliance,Qwen2.5-VL-I,1
2550858,existAttrNotC,skateboard,skateboard,pot,boat,doorway,card,Qwen2.5-I,1
2550858,existAttrNotC,skateboard,board,writing device,sausage,burner,food,Qwen2.5-I,1
2550858,existAttrNotC,skateboard,skateboard,pot,boat,doorway,card,Qwen2.5-VL-I,1
2550858,existAttrNotC,skateboard,board,writing device,sausage,burner,food,Qwen2.5-VL-I,1
2720999,existAttrNotC,skateboard,skateboard,fish,trash,cabinet,drum,Qwen2.5-I,1
2720999,existAttrNotC,skateboard,board,utensil,dock,foil,snowboard,Qwen2.5-I,0
2720999,existAttrNotC,skateboard,skateboard,fish,trash,cabinet,drum,Qwen2.5-VL-I,1
2720999,existAttrNotC,skateboard,board,utensil,dock,foil,snowboard,Qwen2.5-VL-I,1
2721001,existAttrNotC,skateboard,skateboard,box,cheese,bathtub,kettle,Qwen2.5-I,1
2721001,existAttrNotC,skateboard,board,apple,percussion instrument,table,lid,Qwen2.5-I,1
2721001,existAttrNotC,skateboard,skateboard,box,cheese,bathtub,kettle,Qwen2.5-VL-I,1
2721001,existAttrNotC,skateboard,board,apple,percussion instrument,table,lid,Qwen2.5-VL-I,1
2763737,existAttrNotC,skateboard,skateboard,donut,bucket,highway,coffee,Qwen2.5-I,1
2763737,existAttrNotC,skateboard,board,microwave,artwork,oven,jersey,Qwen2.5-I,0
2763737,existAttrNotC,skateboard,skateboard,donut,bucket,highway,coffee,Qwen2.5-VL-I,1
2763737,existAttrNotC,skateboard,board,microwave,artwork,oven,jersey,Qwen2.5-VL-I,0
2763738,existAttrNotC,skateboard,skateboard,gravel,fur,bag,trash,Qwen2.5-I,1
2763738,existAttrNotC,skateboard,board,cupboard,bear,device,pipe,Qwen2.5-I,0
2763738,existAttrNotC,skateboard,skateboard,gravel,fur,bag,trash,Qwen2.5-VL-I,1
2763738,existAttrNotC,skateboard,board,cupboard,bear,device,pipe,Qwen2.5-VL-I,1
2851336,existAttrNotC,woman,woman,skier,cat,kitten,child,Qwen2.5-I,1
2851336,existAttrNotC,woman,adult,man,skier,horse,cow,Qwen2.5-I,1
2851336,existAttrNotC,woman,person,kitten,lady,audience,guy,Qwen2.5-I,1
2851336,existAttrNotC,woman,woman,skier,cat,kitten,child,Qwen2.5-VL-I,1
2851336,existAttrNotC,woman,adult,man,skier,horse,cow,Qwen2.5-VL-I,1
2851336,existAttrNotC,woman,person,kitten,lady,audience,guy,Qwen2.5-VL-I,1
