idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
1,bedspread,bedding,protective covering,bedspreads are a type of bedding,bedspreads are a type of protective covering
2,bedspread,bedding,boat,bedspreads are a type of bedding,bedspreads are a type of boat
3,bedspread,bedding,car,bedspreads are a type of bedding,bedspreads are a type of car
4,bedspread,bedding,tableware,bedspreads are a type of bedding,bedspreads are a type of tableware
5,bedspread,covering,arrangement,bedspreads are a type of covering,bedspreads are a type of arrangement
6,bedspread,covering,spice,bedspreads are a type of covering,bedspreads are a type of spice
7,bedspread,covering,fodder,bedspreads are a type of covering,bedspreads are a type of fodder
8,bedspread,covering,official,bedspreads are a type of covering,bedspreads are a type of official
9,giraffe,mammal,entrance,giraffes are a type of mammal,giraffes are a type of entrance
10,giraffe,mammal,paved surface,giraffes are a type of mammal,giraffes are a type of paved surface
11,giraffe,mammal,wagon,giraffes are a type of mammal,giraffes are a type of wagon
12,giraffe,mammal,access,giraffes are a type of mammal,giraffes are a type of access
13,giraffe,vertebrate,barrier,giraffes are a type of vertebrate,giraffes are a type of barrier
14,giraffe,vertebrate,spice,giraffes are a type of vertebrate,giraffes are a type of spice
15,giraffe,vertebrate,percussion instrument,giraffes are a type of vertebrate,giraffes are a type of percussion instrument
16,giraffe,vertebrate,book,giraffes are a type of vertebrate,giraffes are a type of book
17,giraffe,animal,topping,giraffes are a type of animal,giraffes are a type of topping
18,giraffe,animal,barrier,giraffes are a type of animal,giraffes are a type of barrier
19,giraffe,animal,bird,giraffes are a type of animal,giraffes are a type of bird
20,giraffe,animal,headgear,giraffes are a type of animal,giraffes are a type of headgear
21,bunny,rabbit,road,bunnies are a type of rabbit,bunnies are a type of road
22,bunny,rabbit,fodder,bunnies are a type of rabbit,bunnies are a type of fodder
23,bunny,rabbit,boat,bunnies are a type of rabbit,bunnies are a type of boat
24,bunny,rabbit,toy,bunnies are a type of rabbit,bunnies are a type of toy
25,bunny,mammal,absorbent material,bunnies are a type of mammal,bunnies are a type of absorbent material
26,bunny,mammal,weapon,bunnies are a type of mammal,bunnies are a type of weapon
27,bunny,mammal,kitchen appliance,bunnies are a type of mammal,bunnies are a type of kitchen appliance
28,bunny,mammal,group,bunnies are a type of mammal,bunnies are a type of group
29,bunny,vertebrate,linen,bunnies are a type of vertebrate,bunnies are a type of linen
30,bunny,vertebrate,game,bunnies are a type of vertebrate,bunnies are a type of game
31,bunny,vertebrate,facility,bunnies are a type of vertebrate,bunnies are a type of facility
32,bunny,vertebrate,stick,bunnies are a type of vertebrate,bunnies are a type of stick
33,bunny,animal,canine,bunnies are a type of animal,bunnies are a type of canine
34,bunny,animal,stick,bunnies are a type of animal,bunnies are a type of stick
35,bunny,animal,vegetable,bunnies are a type of animal,bunnies are a type of vegetable
36,bunny,animal,entrance,bunnies are a type of animal,bunnies are a type of entrance
37,mask,protective covering,hoop,masks are a type of protective covering,masks are a type of hoop
38,mask,protective covering,liquid,masks are a type of protective covering,masks are a type of liquid
39,mask,protective covering,bedding,masks are a type of protective covering,masks are a type of bedding
40,mask,protective covering,entrance,masks are a type of protective covering,masks are a type of entrance
41,mask,covering,sandwich,masks are a type of covering,masks are a type of sandwich
42,mask,covering,personal computer,masks are a type of covering,masks are a type of personal computer
43,mask,covering,case,masks are a type of covering,masks are a type of case
44,mask,covering,vehicle,masks are a type of covering,masks are a type of vehicle
45,dishwasher,home appliance,car,dishwashers are a type of home appliance,dishwashers are a type of car
46,dishwasher,home appliance,footwear,dishwashers are a type of home appliance,dishwashers are a type of footwear
47,dishwasher,home appliance,road,dishwashers are a type of home appliance,dishwashers are a type of road
48,dishwasher,home appliance,stick,dishwashers are a type of home appliance,dishwashers are a type of stick
49,dishwasher,appliance,decoration,dishwashers are a type of appliance,dishwashers are a type of decoration
50,dishwasher,appliance,corridor,dishwashers are a type of appliance,dishwashers are a type of corridor
51,dishwasher,appliance,enclosure,dishwashers are a type of appliance,dishwashers are a type of enclosure
52,dishwasher,appliance,succulent,dishwashers are a type of appliance,dishwashers are a type of succulent
53,bed,bedroom furniture,amphibian,beds are a type of bedroom furniture,beds are a type of amphibian
54,bed,bedroom furniture,condiment,beds are a type of bedroom furniture,beds are a type of condiment
55,bed,bedroom furniture,protective covering,beds are a type of bedroom furniture,beds are a type of protective covering
56,bed,bedroom furniture,rider,beds are a type of bedroom furniture,beds are a type of rider
57,bed,furniture,headgear,beds are a type of furniture,beds are a type of headgear
58,bed,furniture,rabbit,beds are a type of furniture,beds are a type of rabbit
59,bed,furniture,vessel,beds are a type of furniture,beds are a type of vessel
60,bed,furniture,writing device,beds are a type of furniture,beds are a type of writing device
61,flower,plant,motor vehicle,flowers are a type of plant,flowers are a type of motor vehicle
62,flower,plant,protective garment,flowers are a type of plant,flowers are a type of protective garment
63,flower,plant,woody plant,flowers are a type of plant,flowers are a type of woody plant
64,flower,plant,succulent,flowers are a type of plant,flowers are a type of succulent
65,burner,heating element,waste,burners are a type of heating element,burners are a type of waste
66,burner,heating element,partition,burners are a type of heating element,burners are a type of partition
67,burner,heating element,woman's clothing,burners are a type of heating element,burners are a type of women's clothing
68,burner,heating element,hoop,burners are a type of heating element,burners are a type of hoop
69,station,facility,cat,a station is a type of facility,a station is a type of cat
70,station,facility,mixer,a station is a type of facility,a station is a type of mixer
71,station,facility,utensil,a station is a type of facility,a station is a type of utensil
72,station,facility,child,a station is a type of facility,a station is a type of child
73,bread,baked good,spice,bread is a type of baked good,bread is a type of spice
74,bread,baked good,electrical device,bread is a type of baked good,bread is a type of electrical device
75,bread,baked good,citrus fruit,bread is a type of baked good,bread is a type of citrus fruit
76,bread,baked good,car,bread is a type of baked good,bread is a type of car
77,bread,food,computer,bread is a type of food,bread is a type of computer
78,bread,food,room,bread is a type of food,bread is a type of room
79,bread,food,shirt,bread is a type of food,bread is a type of shirt
80,bread,food,appliance,bread is a type of food,bread is a type of appliance
81,blender,mixer,electronic device,blenders are a type of mixer,blenders are a type of electronic device
82,blender,mixer,group,blenders are a type of mixer,blenders are a type of group
83,blender,mixer,sheet,blenders are a type of mixer,blenders are a type of sheet
84,blender,mixer,liquid,blenders are a type of mixer,blenders are a type of liquid
85,blender,kitchen utensil,acoustic device,blenders are a type of kitchen utensil,blenders are a type of acoustic device
86,blender,kitchen utensil,tool,blenders are a type of kitchen utensil,blenders are a type of tool
87,blender,kitchen utensil,equipment,blenders are a type of kitchen utensil,blenders are a type of equipment
88,blender,kitchen utensil,arrangement,blenders are a type of kitchen utensil,blenders are a type of arrangement
89,blender,utensil,club,blenders are a type of utensil,blenders are a type of club
90,blender,utensil,board,blenders are a type of utensil,blenders are a type of board
91,blender,utensil,rod,blenders are a type of utensil,blenders are a type of rod
92,blender,utensil,spice,blenders are a type of utensil,blenders are a type of spice
93,sculpture,artwork,cutlery,sculptures are a type of artwork,sculptures are a type of cutlery
94,sculpture,artwork,bedroom furniture,sculptures are a type of artwork,sculptures are a type of bedroom furniture
95,sculpture,artwork,kitchen utensil,sculptures are a type of artwork,sculptures are a type of kitchen utensil
96,sculpture,artwork,citrus fruit,sculptures are a type of artwork,sculptures are a type of citrus fruit
97,sculpture,art,personal computer,sculptures are a type of art,sculptures are a type of personal computer
98,sculpture,art,device,sculptures are a type of art,sculptures are a type of device
99,sculpture,art,jar,sculptures are a type of art,sculptures are a type of jar
100,sculpture,art,water vehicle,sculptures are a type of art,sculptures are a type of water vehicle
101,skateboarder,athlete,tableware,a skateboarder is an athelete,a skateboarder is tableware
102,skateboarder,athlete,cat,a skateboarder is an athelete,a skateboarder is a cat
103,skateboarder,athlete,sports equipment,a skateboarder is an athelete,a skateboarder is sports equipment
104,skateboarder,athlete,kitchen appliance,a skateboarder is an athelete,a skateboarder is a kitchen appliance
105,skateboarder,person,artwork,a skateboarder is a person,a skateboarder is an artwork
106,skateboarder,person,stalk,a skateboarder is a person,a skateboarder is a stalk
107,skateboarder,person,path,a skateboarder is a person,a skateboarder is a path
108,skateboarder,person,cattle,a skateboarder is a person,a skateboarder is cattle
109,cooker,kitchen utensil,aquatic bird,cookers are a type of kitchen utensil,cookers are a type of aquatic bird
110,cooker,kitchen utensil,partition,cookers are a type of kitchen utensil,cookers are a type of partition
111,cooker,kitchen utensil,game,cookers are a type of kitchen utensil,cookers are a type of game
112,cooker,kitchen utensil,strip,cookers are a type of kitchen utensil,cookers are a type of strip
