question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4,model,correct
747,existAttrC,racket,racket,goat,couch,card,burner,Qwen2,1
9985,existAttrC,microwave,microwave,burner,apron,donut,bench,Qwen2,1
9986,existAttrC,microwave,microwave,cabin,locomotive,countertop,airplane,Qwen2,1
9988,existAttrNotC,microwave,microwave,dock,frog,orange,bear,Qwen2,1
14551,existAttrC,snowboard,snowboard,pipe,ketchup,ball,motorcycle,Qwen2,1
14573,existAttrC,coat,coat,platform,pot,bucket,bike,Qwen2,1
68719,existMaterialC,table,table,tower,luggage,bear,microwave,Qwen2,1
74635,existAttrC,fence,fence,path,broom,box,patio,Qwen2,1
77825,existAttrC,cat,cat,juice,placemat,canoe,luggage,Qwen2,1
77826,existAttrC,cat,cat,cereal,doorway,sink,cart,Qwen2,1
78509,existAttrC,cat,cat,jersey,picture,fence,purse,Qwen2,1
78510,existAttrC,cat,cat,bird,shirt,sheep,fur,Qwen2,1
78512,existAttrNotC,cat,cat,blouse,watch,phone,baseball,Qwen2,1
82840,existAttrC,surfboard,surfboard,cat,vest,sauce,fur,Qwen2,1
84163,existAttrC,skateboard,skateboard,fence,couch,bed,bus,Qwen2,1
91082,existMaterialC,fence,fence,cart,sculpture,basket,bowl,Qwen2,1
106413,existAttrC,hat,hat,giraffe,napkin,bat,countertop,Qwen2,1
107131,existAttrC,dog,dog,chandelier,crown,monitor,bus,Qwen2,1
107132,existAttrC,dog,dog,cabin,jeep,surfboard,bull,Qwen2,1
131515,existAttrC,pot,pot,cookie,camera,bowl,cockpit,Qwen2,1
135359,existAttrC,truck,truck,bird,donkey,flower,bicycle,Qwen2,1
136690,existMaterialC,table,table,bench,countertop,bear,bathroom,Qwen2,1
139133,existAttrC,boat,boat,dock,chicken,bowl,broom,Qwen2,1
161554,existAttrC,giraffe,giraffe,fruit,cake,bedroom,cheese,Qwen2,1
162374,existAttrC,horse,horse,kitten,juice,chandelier,soap,Qwen2,1
162375,existAttrC,horse,horse,brush,planter,refrigerator,suitcase,Qwen2,1
162378,existAttrNotC,horse,horse,dispenser,towel,spoon,bottle,Qwen2,1
179798,existAttrC,airplane,airplane,pot,curtain,wall,sidewalk,Qwen2,1
179799,existAttrC,airplane,airplane,poster,cap,sheep,countertop,Qwen2,1
179809,existAttrC,fork,fork,football,desk,towel,vest,Qwen2,1
182083,existAttrC,knife,knife,watch,planter,candle,bench,Qwen2,1
183305,existAttrC,train,train,taxi,bottle,table,lamp,Qwen2,1
193566,existAttrC,racket,racket,suitcase,horse,ring,hay,Qwen2,1
193919,existAttrC,table,table,doorway,store,vest,roadway,Qwen2,1
193933,existMaterialNotC,table,table,shoe,stove,placemat,crown,Qwen2,1
193934,existMaterialNotC,table,table,branch,ship,laptop,paddle,Qwen2,1
201672,existAttrC,banana,banana,bathtub,wristband,bathroom,box,Qwen2,1
201673,existAttrC,banana,banana,bench,kettle,desk,crown,Qwen2,1
202681,existAttrC,skateboard,skateboard,spatula,sidewalk,elephant,piano,Qwen2,1
216502,existMaterialNotC,knife,knife,bucket,bowl,fan,train,Qwen2,1
219823,existAttrC,dog,dog,ring,oven,bathroom,drum,Qwen2,1
254961,existAttrC,cat,cat,cow,audience,baby,dog,Qwen2,1
254962,existAttrC,cat,cat,zebra,man,baby,audience,Qwen2,1
254987,existAttrC,cat,cat,sand,boot,bathtub,bottle,Qwen2,1
280597,existAttrC,surfboard,surfboard,house,foil,train,bedspread,Qwen2,1
285018,existAttrC,surfboard,surfboard,spoon,jeep,earring,poster,Qwen2,1
285019,existAttrC,surfboard,surfboard,doll,scarf,uniform,house,Qwen2,1
285037,existAttrC,surfboard,surfboard,sandwich,brush,tire,bun,Qwen2,1
301137,existAttrNotC,table,table,dock,couple,building,clock,Qwen2,1
301139,existMaterialC,table,table,cookie,cup,coat,soap,Qwen2,1
301140,existMaterialNotC,table,table,tunnel,piano,sword,doll,Qwen2,1
307399,existAttrNotC,table,table,building,bat,boat,clock,Qwen2,1
307402,existMaterialC,table,table,sink,bathtub,bear,wall,Qwen2,1
313900,existAttrC,hat,hat,comforter,cap,canoe,cabinet,Qwen2,1
313972,existAttrC,baseball,baseball,shirt,helmet,ball,fan,Qwen2,1
316506,existAttrC,boat,boat,path,hose,cabinet,fork,Qwen2,1
316522,existAttrC,boat,boat,sandwich,train,shirt,apron,Qwen2,1
316523,existAttrC,boat,boat,tablecloth,earring,carrot,house,Qwen2,1
316553,existMaterialC,boat,boat,knife,placemat,microphone,cart,Qwen2,1
324650,existAttrC,ball,ball,parrot,collar,bridge,skirt,Qwen2,1
397540,existAttrC,bike,bike,countertop,purse,platter,skirt,Qwen2,1
407312,existAttrC,desk,desk,bed,earring,tire,elephant,Qwen2,1
415282,existAttrC,horse,horse,artwork,tray,wetsuit,crowd,Qwen2,1
415283,existAttrC,horse,horse,bench,seat,uniform,boot,Qwen2,1
415284,existAttrC,horse,horse,bus,bat,coat,cockpit,Qwen2,1
440485,existAttrC,table,table,picture,camera,jersey,skirt,Qwen2,1
449474,existAttrC,airplane,airplane,bike,desk,cake,blanket,Qwen2,1
449475,existAttrC,airplane,airplane,fireplace,football,swimsuit,spatula,Qwen2,1
449476,existAttrC,airplane,airplane,boat,table,tractor,bookshelf,Qwen2,1
462480,existAttrC,zebra,zebra,newspaper,motorcycle,drum,bunny,Qwen2,1
462523,existAttrC,zebra,zebra,giraffe,cat,cow,sheep,Qwen2,1
462525,existAttrNotC,zebra,zebra,sheep,man,elephant,cat,Qwen2,1
475187,existAttrC,bag,bag,elephant,card,horse,canoe,Qwen2,1
477762,existAttrC,frisbee,frisbee,cereal,hallway,camera,snowboard,Qwen2,1
514102,existAttrC,sand,sand,knife,ring,jacket,pole,Qwen2,1
514119,existAttrC,sand,sand,floor,table,river,skateboard,Qwen2,1
544886,existAttrC,fence,fence,bridge,hallway,crown,jacket,Qwen2,1
544912,existMaterialC,fence,fence,sword,boot,dishwasher,train,Qwen2,1
554744,existAttrC,laptop,laptop,cart,sail,placemat,ball,Qwen2,1
554745,existAttrC,laptop,laptop,shoe,drawer,glaze,tray,Qwen2,1
565589,existMaterialC,table,table,cap,watch,sink,ball,Qwen2,1
565591,existMaterialNotC,table,table,sword,brush,sculpture,surfboard,Qwen2,1
565592,existMaterialNotC,table,table,fireplace,airplane,pen,locomotive,Qwen2,1
577680,existAttrC,phone,phone,cake,keyboard,sea,clock,Qwen2,1
586142,existAttrC,hat,hat,stadium,dock,jet,soap,Qwen2,1
586145,existAttrNotC,hat,hat,headband,ring,tea,tie,Qwen2,1
610150,existAttrNotC,giraffe,giraffe,knife,wristband,kettle,burger,Qwen2,1
620518,existAttrC,clock,clock,broccoli,toilet,phone,cart,Qwen2,1
640049,existAttrC,fence,fence,cart,sponge,notebook,dispenser,Qwen2,1
701003,existAttrC,surfboard,surfboard,wall,tower,vest,glaze,Qwen2,1
737619,existAttrC,cat,cat,store,mask,ring,comforter,Qwen2,1
760179,existAttrC,woman,woman,elephant,boy,bear,doll,Qwen2,1
760182,existAttrNotC,woman,woman,dog,elephant,boy,frog,Qwen2,1
770867,existAttrC,dog,dog,ball,candle,dish,earring,Qwen2,1
803737,existAttrC,truck,truck,man,bathroom,bench,kitchen,Qwen2,1
803771,existAttrC,truck,truck,tissue,magnet,hose,guitar,Qwen2,1
824117,existAttrC,bench,bench,lake,cart,sand,motorcycle,Qwen2,1
835656,existAttrC,train,train,watch,baseball,wristband,boat,Qwen2,1
866824,existAttrC,backpack,backpack,pitcher,airplane,sink,picture,Qwen2,1
871460,existAttrC,table,table,cabinet,lamp,bun,dock,Qwen2,1
885539,existAttrC,refrigerator,refrigerator,dress,carriage,aircraft,blouse,Qwen2,1
906885,existAttrC,snowboard,snowboard,carriage,glaze,boat,graffiti,Qwen2,1
919519,existAttrNotC,table,table,ketchup,laptop,napkin,bedspread,Qwen2,1
919632,existAttrC,bottle,bottle,notebook,mask,pipe,sausage,Qwen2,1
924953,existAttrC,cat,cat,counter,wine,shirt,monitor,Qwen2,1
924954,existAttrC,cat,cat,urinal,pineapple,pot,juice,Qwen2,1
946035,existAttrC,dog,dog,baby,driver,bun,girl,Qwen2,1
946036,existAttrC,dog,dog,surfer,driver,baby,fur,Qwen2,1
965217,existAttrC,microwave,microwave,crown,keyboard,picture,bus,Qwen2,1
965218,existAttrC,microwave,microwave,pen,cereal,bird,bottle,Qwen2,1
975573,existAttrC,bench,bench,sheep,helmet,crosswalk,camera,Qwen2,1
