item,layer,sim
1,0,0.12496457248926163
2,0,0.12220261245965958
3,0,0.06190444529056549
4,0,0.10234514623880386
5,0,0.11333899199962616
6,0,0.058291368186473846
7,0,0.091349758207798
8,0,0.11222171783447266
9,0,0.03888855129480362
10,0,0.08129958808422089
11,0,0.0692555382847786
12,0,0.11538960784673691
13,0,0.048142991960048676
14,0,0.07969002425670624
15,0,0.03697061911225319
16,0,0.15501180291175842
17,0,0.0793968141078949
18,0,0.1898990422487259
19,0,0.0773162916302681
20,0,0.055180761963129044
21,0,0.08634823560714722
22,0,0.1264333575963974
23,0,0.04254933074116707
24,0,0.12283497303724289
25,0,0.029011446982622147
26,0,0.13028262555599213
27,0,0.05625509098172188
28,0,0.15068818628787994
29,0,0.21314428746700287
30,0,0.18052299320697784
31,0,0.1537838727235794
32,0,0.20643368363380432
33,0,0.1238386482000351
34,0,0.10975705087184906
35,0,0.04395490884780884
36,0,0.1155947744846344
37,0,0.0641031339764595
38,0,0.06350871175527573
39,0,0.03458372876048088
40,0,0.050629910081624985
41,0,0.0932670384645462
42,0,0.06380701810121536
43,0,0.1187148168683052
44,0,0.09583805501461029
45,0,0.11559926718473434
46,0,0.05140431225299835
47,0,0.07009395956993103
48,0,0.04489444941282272
49,0,0.01846746727824211
50,0,0.10031913965940475
51,0,0.13297252357006073
52,0,0.03477472811937332
53,0,0.10653065890073776
54,0,0.06006484478712082
55,0,0.06605596095323563
56,0,0.05320337414741516
57,0,0.09043848514556885
58,0,0.07141557335853577
59,0,0.051703114062547684
60,0,0.1682291328907013
61,0,0.1034553050994873
62,0,0.17460836470127106
63,0,0.14671161770820618
64,0,0.06841186434030533
65,0,0.057195015251636505
66,0,0.0522364005446434
67,0,0.10158588737249374
68,0,0.06373043358325958
69,0,0.17800085246562958
70,0,0.09765835851430893
71,0,0.12801800668239594
72,0,0.0029554928187280893
73,0,0.035684969276189804
74,0,0.12531255185604095
75,0,0.08531445264816284
76,0,0.05921919643878937
77,0,0.0885717123746872
78,0,0.0663909912109375
79,0,0.195815771818161
80,0,0.10623057931661606
81,0,0.026086414232850075
82,0,0.05252053588628769
83,0,0.08967212587594986
84,0,0.08148391544818878
85,0,0.07433629781007767
86,0,0.1606159806251526
87,0,0.0853254646062851
88,0,0.03815383091568947
89,0,0.1030910313129425
90,0,0.13405069708824158
91,0,0.07013906538486481
92,0,0.07462304830551147
93,0,0.05017295107245445
94,0,0.08160924911499023
95,0,0.08058860152959824
96,0,0.0776568129658699
97,0,0.1533617526292801
98,0,0.07909386605024338
99,0,0.10432401299476624
100,0,0.11034789681434631
101,0,0.10661724954843521
102,0,0.0728510320186615
103,0,0.07971367239952087
104,0,0.07163102924823761
105,0,0.054155606776475906
106,0,0.09842734038829803
107,0,0.09155991673469543
108,0,0.09797481447458267
109,0,0.1098637804389
110,0,0.2055136263370514
111,0,0.12058022618293762
112,0,0.09004437923431396
113,0,0.07330752909183502
114,0,0.19104303419589996
115,0,0.022083427757024765
116,0,0.03903300687670708
117,0,0.12911251187324524
118,0,0.0619811974465847
119,0,0.0918063148856163
120,0,0.06173567473888397
121,0,0.09197486937046051
122,0,0.04986317455768585
123,0,0.05685583874583244
124,0,0.06216130033135414
125,0,0.059234388172626495
