item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.7352365851402283,0.032848551869392395,0.11473848670721054
2,2,Yes,No,No,0.867615282535553,0.06400071829557419,0.141209676861763
3,3,Yes,No,No,0.861951470375061,0.2797784209251404,0.37653154134750366
4,4,Yes,No,No,0.9660021066665649,0.04874792322516441,0.09289109706878662
5,5,Yes,No,No,0.9623258709907532,0.05701267719268799,0.0814221054315567
6,6,Yes,No,No,0.9308159351348877,0.12744560837745667,0.06994220614433289
7,7,Yes,No,No,0.9453556537628174,0.018354026600718498,0.05289784073829651
8,8,Yes,No,No,0.9609464406967163,0.053546398878097534,0.10608936101198196
9,9,Yes,No,No,0.9285210371017456,0.13031122088432312,0.24992984533309937
10,10,Yes,No,No,0.9342275261878967,0.13031122088432312,0.4028555154800415
11,11,Yes,No,No,0.8413099050521851,0.05682578310370445,0.3227423131465912
12,12,Yes,No,No,0.9848814606666565,0.03587055206298828,0.30009639263153076
13,13,Yes,No,No,0.9745457768440247,0.04361885413527489,0.16431958973407745
14,14,Yes,No,No,0.9833046793937683,0.14865443110466003,0.19147738814353943
15,15,Yes,No,No,0.9845563769340515,0.11552081257104874,0.1747550666332245
16,16,Yes,No,No,0.9380062818527222,0.08042449504137039,0.20487993955612183
17,17,Yes,No,No,0.9900917410850525,0.0501575693488121,0.3764708638191223
18,18,Yes,No,No,0.8603471517562866,0.07889949530363083,0.20961543917655945
19,19,Yes,No,No,0.5760826468467712,0.05536653473973274,0.1692732572555542
20,20,Yes,No,No,0.9749367833137512,0.12226001173257828,0.2961283326148987
21,21,Yes,No,No,0.9705215096473694,0.04120490327477455,0.22615692019462585
22,22,Yes,No,No,0.9628536701202393,0.07975251227617264,0.19618119299411774
23,23,Yes,No,No,0.9344643354415894,0.07886090874671936,0.15753881633281708
24,24,Yes,No,No,0.9774950742721558,0.14650040864944458,0.2724494934082031
25,25,Yes,No,No,0.9417798519134521,0.12255100160837173,0.37394818663597107
26,26,Yes,No,No,0.9509952664375305,0.0386679545044899,0.22164076566696167
27,27,Yes,No,No,0.8353090882301331,0.12255100160837173,0.1744392365217209
28,28,Yes,No,Yes,0.9708408713340759,0.12255100160837173,0.5895424485206604
29,29,Yes,No,No,0.9532707333564758,0.2370975911617279,0.2631834149360657
30,30,Yes,No,No,0.9868120551109314,0.10048579424619675,0.12627367675304413
31,31,Yes,No,No,0.9786505103111267,0.050782471895217896,0.4482339322566986
32,32,Yes,No,No,0.9842306971549988,0.11170461028814316,0.36280205845832825
33,33,Yes,No,No,0.931455135345459,0.18672817945480347,0.08872728794813156
34,34,Yes,Yes,No,0.946500837802887,0.6679471135139465,0.2304670512676239
35,35,Yes,No,No,0.968518853187561,0.06813059747219086,0.31950631737709045
36,36,Yes,No,Yes,0.973621666431427,0.11224978417158127,0.8395978808403015
37,37,Yes,No,No,0.9015060067176819,0.4612257778644562,0.176300510764122
38,38,No,No,No,0.49408766627311707,0.05552368238568306,0.13475392758846283
39,39,Yes,No,No,0.890823483467102,0.14509539306163788,0.1353086531162262
40,40,Yes,No,No,0.9769601225852966,0.14351482689380646,0.4063616991043091
41,41,Yes,No,Yes,0.9838324785232544,0.23634888231754303,0.6613144874572754
42,42,Yes,No,No,0.5939775705337524,0.39093896746635437,0.14896589517593384
43,43,Yes,No,Yes,0.8513123989105225,0.2029627561569214,0.653443455696106
44,44,Yes,No,No,0.9041953086853027,0.2516425549983978,0.3882758915424347
45,45,Yes,No,No,0.9787659645080566,0.1467786729335785,0.3418528735637665
46,46,Yes,No,No,0.9788991808891296,0.07035059481859207,0.32450371980667114
47,47,Yes,No,No,0.9740685224533081,0.04093180224299431,0.059675998985767365
48,48,Yes,No,No,0.9794943928718567,0.056071117520332336,0.10575384646654129
49,49,Yes,No,No,0.9623143672943115,0.07460109889507294,0.11238261312246323
50,50,Yes,No,No,0.9471370577812195,0.07066956907510757,0.20113982260227203
51,51,Yes,No,No,0.9808512330055237,0.044750552624464035,0.3226401209831238
52,52,No,Yes,No,0.4505375027656555,0.5262575149536133,0.2082342803478241
53,53,Yes,No,No,0.9525228142738342,0.17095890641212463,0.11866310238838196
54,54,Yes,Yes,No,0.8639077544212341,0.5415055155754089,0.41907453536987305
55,55,Yes,Yes,Yes,0.881457507610321,0.520959734916687,0.6476274132728577
56,56,Yes,No,No,0.5046383142471313,0.16564078629016876,0.19466450810432434
57,57,Yes,No,No,0.9529175162315369,0.09164287894964218,0.37517639994621277
58,58,Yes,Yes,No,0.7346851825714111,0.8319675326347351,0.15535973012447357
59,59,Yes,No,No,0.9489070177078247,0.06427886337041855,0.4024333953857422
60,60,Yes,No,No,0.9289510250091553,0.016527701169252396,0.353929728269577
61,61,Yes,No,No,0.9617308378219604,0.3746311068534851,0.2836419343948364
62,62,Yes,No,No,0.9886251091957092,0.06619855016469955,0.30051934719085693
63,63,Yes,No,No,0.9884214401245117,0.07959141582250595,0.30432605743408203
64,64,Yes,No,Yes,0.9914050102233887,0.06293459236621857,0.5094748139381409
65,65,Yes,No,No,0.9701549410820007,0.22070316970348358,0.12712907791137695
66,66,Yes,No,No,0.946418046951294,0.14967910945415497,0.07057350128889084
67,67,Yes,No,No,0.924682080745697,0.08482459932565689,0.0720016211271286
68,68,Yes,Yes,No,0.9663259387016296,0.5476177334785461,0.15361186861991882
69,69,Yes,No,No,0.9791449308395386,0.1379878968000412,0.168961763381958
