item,label,p_yes
1,Yes,0.8574621081352234
2,Yes,0.7378814220428467
3,Yes,0.8384963274002075
4,Yes,0.798981249332428
5,No,3.8002758628863376e-06
6,No,1.020731360767968e-06
7,No,2.5555575575708644e-06
8,No,1.672360667726025e-06
9,No,2.0074687654414447e-06
10,No,7.112720936675032e-07
11,No,1.4503104921459453e-06
12,No,9.479979325988097e-07
13,No,9.423318260814995e-06
14,No,3.947998720832402e-06
15,No,1.6097899788292125e-05
16,No,5.626943220704561e-06
17,No,0.19483758509159088
18,No,0.035899680107831955
19,No,0.007579639088362455
20,No,0.001277189003303647
21,No,8.002028152986895e-06
22,No,1.3116607078700326e-05
23,No,3.0947810500947526e-06
24,No,1.7338262523480807e-06
25,No,0.00025275637744925916
26,No,9.960434545064345e-05
27,No,1.7986343664233573e-05
28,No,9.7192651082878e-06
29,No,0.0002423123805783689
30,No,1.038807113218354e-05
31,No,4.115542833460495e-05
32,No,8.049055395531468e-06
33,No,0.00010159429803024977
34,No,2.015636709984392e-05
35,No,1.853815047070384e-05
36,No,6.737794137734454e-06
37,No,1.1114389963040594e-05
38,No,2.528379582145135e-06
39,No,2.372309609199874e-06
40,No,1.4730441080246237e-06
41,No,8.004044502740726e-06
42,No,3.654144620668376e-06
43,No,4.125191026105313e-06
44,No,2.7424762265582103e-06
45,No,0.010468883439898491
46,No,0.007853659801185131
47,No,0.0001776259596226737
48,No,5.0287071644561365e-05
49,No,0.00046754960203543305
50,No,7.928138074930757e-05
51,No,1.1472808182588778e-05
52,No,6.240041784622008e-06
53,No,0.0002382210805080831
54,No,0.0008487847517244518
55,No,4.750701009470504e-06
56,No,3.1462627703149337e-06
57,No,3.581181954359636e-05
58,No,3.981866029789671e-06
59,No,2.5842161903710803e-06
60,No,2.094280716846697e-06
61,No,6.447986379498616e-06
62,No,1.9138233255944215e-06
63,No,1.868910544544633e-06
64,No,1.379219952468702e-06
65,No,5.02882176078856e-05
66,No,0.0001584873825777322
67,No,3.223554085707292e-05
68,No,2.4038879928411916e-05
69,No,0.00046754960203543305
70,No,7.928138074930757e-05
71,No,1.1472808182588778e-05
72,No,6.240041784622008e-06
73,No,2.6515497211221373e-06
74,No,2.0270560980861774e-06
75,No,3.0130815957818413e-06
76,No,1.7971584611586877e-06
77,No,3.883470708387904e-05
78,No,1.5850397176109254e-05
79,No,5.345987574401079e-06
80,No,3.8904195207578596e-06
81,No,0.00010910287528531626
82,No,1.2710444934782572e-05
83,No,9.824098015087657e-06
84,No,7.613141406181967e-06
85,No,0.06128118187189102
86,No,0.0501912459731102
87,No,0.004201325122267008
88,No,0.0015955540584400296
89,No,2.5557032131473534e-05
90,No,5.1455544962664135e-06
91,No,8.49617845233297e-06
92,No,7.595577699248679e-06
93,No,0.00017772889987099916
94,No,0.0018541176104918122
95,No,0.00013047743414063007
96,No,0.000542433641385287
97,No,0.00019206810975447297
98,No,3.909547012881376e-05
99,No,2.609697367006447e-05
100,No,1.1871288734255359e-05
101,No,8.405874723393936e-06
102,No,7.216234280349454e-06
103,No,7.160038421716308e-06
104,No,8.82589756656671e-06
105,No,1.542460813652724e-05
106,No,1.1390062354621477e-05
107,No,5.609427716990467e-06
