item,category_id,parent_id,ns_id,category,parent,phrasing_id,question,category_item,parent_item
1,1,1,ns_1,drum,covering,1,Is it true that drums are coverings?,drums,coverings
2,1,1,ns_1,drum,covering,2,Is it true that a drum is a covering?,drum,covering
3,1,1,ns_1,drum,covering,3,Is it true that drums are a type of covering?,drums,covering
4,1,1,ns_1,drum,covering,4,Is it true that a drum is a type of covering?,drum,covering
5,1,1,ns_2,drum,keyboard,1,Is it true that drums are keyboards?,drums,keyboards
6,1,1,ns_2,drum,keyboard,2,Is it true that a drum is a keyboard?,drum,keyboard
7,1,1,ns_2,drum,keyboard,3,Is it true that drums are a type of keyboard?,drums,keyboard
8,1,1,ns_2,drum,keyboard,4,Is it true that a drum is a type of keyboard?,drum,keyboard
9,1,1,ns_3,drum,cucumber,1,Is it true that drums are cucumbers?,drums,cucumbers
10,1,1,ns_3,drum,cucumber,2,Is it true that a drum is a cucumber?,drum,cucumber
11,1,1,ns_3,drum,cucumber,3,Is it true that drums are a type of cucumber?,drums,cucumber
12,1,1,ns_3,drum,cucumber,4,Is it true that a drum is a type of cucumber?,drum,cucumber
13,1,1,ns_4,drum,cat,1,Is it true that drums are cats?,drums,cats
14,1,1,ns_4,drum,cat,2,Is it true that a drum is a cat?,drum,cat
15,1,1,ns_4,drum,cat,3,Is it true that drums are a type of cat?,drums,cat
16,1,1,ns_4,drum,cat,4,Is it true that a drum is a type of cat?,drum,cat
17,1,2,ns_1,drum,doll,1,Is it true that drums are dolls?,drums,dolls
18,1,2,ns_1,drum,doll,2,Is it true that a drum is a doll?,drum,doll
19,1,2,ns_1,drum,doll,3,Is it true that drums are a type of doll?,drums,doll
20,1,2,ns_1,drum,doll,4,Is it true that a drum is a type of doll?,drum,doll
21,1,2,ns_2,drum,phone,1,Is it true that drums are phones?,drums,phones
22,1,2,ns_2,drum,phone,2,Is it true that a drum is a phone?,drum,phone
23,1,2,ns_2,drum,phone,3,Is it true that drums are a type of phone?,drums,phone
24,1,2,ns_2,drum,phone,4,Is it true that a drum is a type of phone?,drum,phone
25,1,2,ns_3,drum,structure,1,Is it true that drums are structures?,drums,structures
26,1,2,ns_3,drum,structure,2,Is it true that a drum is a structure?,drum,structure
27,1,2,ns_3,drum,structure,3,Is it true that drums are a type of structure?,drums,structure
28,1,2,ns_3,drum,structure,4,Is it true that a drum is a type of structure?,drum,structure
29,1,2,ns_4,drum,cheese,1,Is it true that drums are cheeses?,drums,cheeses
30,1,2,ns_4,drum,cheese,2,Is it true that a drum is a cheese?,drum,cheese
31,1,2,ns_4,drum,cheese,3,Is it true that drums are a type of cheese?,drums,cheese
32,1,2,ns_4,drum,cheese,4,Is it true that a drum is a type of cheese?,drum,cheese
33,1,3,ns_1,drum,cup,1,Is it true that drums are cups?,drums,cups
34,1,3,ns_1,drum,cup,2,Is it true that a drum is a cup?,drum,cup
35,1,3,ns_1,drum,cup,3,Is it true that drums are a type of cup?,drums,cup
36,1,3,ns_1,drum,cup,4,Is it true that a drum is a type of cup?,drum,cup
37,1,3,ns_2,drum,spatula,1,Is it true that drums are spatulas?,drums,spatulas
38,1,3,ns_2,drum,spatula,2,Is it true that a drum is a spatula?,drum,spatula
39,1,3,ns_2,drum,spatula,3,Is it true that drums are a type of spatula?,drums,spatula
40,1,3,ns_2,drum,spatula,4,Is it true that a drum is a type of spatula?,drum,spatula
41,1,3,ns_3,drum,fork,1,Is it true that drums are forks?,drums,forks
42,1,3,ns_3,drum,fork,2,Is it true that a drum is a fork?,drum,fork
43,1,3,ns_3,drum,fork,3,Is it true that drums are a type of fork?,drums,fork
44,1,3,ns_3,drum,fork,4,Is it true that a drum is a type of fork?,drum,fork
45,1,3,ns_4,drum,wetsuit,1,Is it true that drums are wetsuits?,drums,wetsuits
46,1,3,ns_4,drum,wetsuit,2,Is it true that a drum is a wetsuit?,drum,wetsuit
47,1,3,ns_4,drum,wetsuit,3,Is it true that drums are a type of wetsuit?,drums,wetsuit
48,1,3,ns_4,drum,wetsuit,4,Is it true that a drum is a type of wetsuit?,drum,wetsuit
49,2,1,ns_1,backpack,spatula,1,Is it true that backpacks are spatulas?,backpacks,spatulas
50,2,1,ns_1,backpack,spatula,2,Is it true that a backpack is a spatula?,backpack,spatula
51,2,1,ns_1,backpack,spatula,3,Is it true that backpacks are a type of spatula?,backpacks,spatula
