item,label,p_yes
1,Yes,0.817030131816864
2,Yes,0.8840290904045105
3,Yes,0.9060256481170654
4,Yes,0.90824294090271
5,Yes,0.8528615832328796
6,Yes,0.841057538986206
7,Yes,0.8451818823814392
8,Yes,0.8539547920227051
9,Yes,0.6936003565788269
10,Yes,0.7574388384819031
11,Yes,0.702442467212677
12,Yes,0.7803592681884766
13,Yes,0.745293140411377
14,Yes,0.8377257585525513
15,Yes,0.8529130816459656
16,Yes,0.8909210562705994
17,Yes,0.8746622204780579
18,Yes,0.895621657371521
19,Yes,0.8638483881950378
20,Yes,0.8877997994422913
21,Yes,0.7728575468063354
22,Yes,0.7467167377471924
23,Yes,0.8059340119361877
24,Yes,0.7793028950691223
25,Yes,0.6593270301818848
26,Yes,0.6802152991294861
27,Yes,0.7105842232704163
28,Yes,0.7054293751716614
29,Yes,0.8389654755592346
30,Yes,0.8757929801940918
31,Yes,0.7996249794960022
32,Yes,0.8194681406021118
33,Yes,0.6230623722076416
34,Yes,0.5220493674278259
35,Yes,0.6670875549316406
36,Yes,0.6698777675628662
37,Yes,0.7478519082069397
38,Yes,0.7756812572479248
39,Yes,0.833211362361908
40,Yes,0.8447973728179932
41,Yes,0.7786210775375366
42,Yes,0.8084810972213745
43,Yes,0.7919275164604187
44,Yes,0.8345730900764465
45,Yes,0.7664464116096497
46,Yes,0.8385485410690308
47,Yes,0.8195399641990662
48,Yes,0.8560192584991455
49,Yes,0.9080382585525513
50,Yes,0.9034693241119385
51,Yes,0.8274859189987183
52,Yes,0.865662693977356
53,Yes,0.760325014591217
54,Yes,0.7926790714263916
55,Yes,0.7788108587265015
56,Yes,0.8009547591209412
57,Yes,0.6213765144348145
58,Yes,0.6941508650779724
59,Yes,0.594383180141449
60,Yes,0.6727778911590576
61,Yes,0.7033830285072327
62,Yes,0.7429571151733398
63,Yes,0.6952038407325745
64,Yes,0.764947772026062
65,Yes,0.7172966003417969
66,Yes,0.814369797706604
67,Yes,0.6171741485595703
68,Yes,0.7481111884117126
69,Yes,0.8013599514961243
70,Yes,0.8468021154403687
71,Yes,0.7645464539527893
72,Yes,0.8241914510726929
73,Yes,0.8965355753898621
74,Yes,0.9022532105445862
75,Yes,0.8570997714996338
76,Yes,0.886593759059906
77,Yes,0.6412898302078247
78,Yes,0.6329310536384583
79,Yes,0.6372838616371155
80,Yes,0.6896088123321533
81,Yes,0.7995572090148926
82,Yes,0.8145576119422913
83,Yes,0.5956851840019226
84,Yes,0.6902682185173035
85,Yes,0.7030675411224365
86,Yes,0.6879152059555054
87,Yes,0.7272661328315735
88,Yes,0.7251130938529968
89,Yes,0.9173639416694641
90,Yes,0.8703287839889526
91,Yes,0.9076988101005554
92,Yes,0.8910315632820129
93,Yes,0.6996683478355408
94,Yes,0.6369175314903259
95,Yes,0.7017475366592407
96,Yes,0.6502618789672852
97,Yes,0.8926547169685364
98,Yes,0.8324404954910278
99,Yes,0.7810109853744507
100,Yes,0.779784083366394
101,Yes,0.8459832072257996
102,Yes,0.8590771555900574
103,Yes,0.7864355444908142
104,Yes,0.8279629945755005
105,Yes,0.7351367473602295
106,Yes,0.5776667594909668
107,Yes,0.8223469257354736
108,Yes,0.8490456342697144
109,Yes,0.8755636215209961
110,Yes,0.8733435869216919
111,Yes,0.8494378328323364
112,Yes,0.8829995393753052
113,Yes,0.822068989276886
114,Yes,0.8747289776802063
115,Yes,0.8410164713859558
116,Yes,0.8844804763793945
117,Yes,0.7634257674217224
118,Yes,0.8293676376342773
119,Yes,0.7891137599945068
120,Yes,0.8412423133850098
121,Yes,0.8081148266792297
