item,idx,ns_id,category,category_item,hypernym,hypernym_item,negative_sample,negative_item,hypernym_question,negative_question
1,1,ns_1,rubber band,rubber bands,office supply,office supply,animal,animal,Is it true that rubber bands are a type of office supply?,Is it true that rubber bands are a type of animal?
1,2,ns_2,rubber band,rubber bands,office supply,office supply,water vehicle,water vehicle,Is it true that rubber bands are a type of office supply?,Is it true that rubber bands are a type of water vehicle?
1,3,ns_3,rubber band,rubber bands,office supply,office supply,livestock,livestock,Is it true that rubber bands are a type of office supply?,Is it true that rubber bands are a type of livestock?
1,4,ns_4,rubber band,rubber bands,office supply,office supply,fruit,fruit,Is it true that rubber bands are a type of office supply?,Is it true that rubber bands are a type of fruit?
2,5,ns_1,rubber band,rubber bands,fastener,fastener,women's clothing,women's clothes,Is it true that rubber bands are a type of fastener?,Is it true that rubber bands are a type of women's clothes?
2,6,ns_2,rubber band,rubber bands,fastener,fastener,plant,plant,Is it true that rubber bands are a type of fastener?,Is it true that rubber bands are a type of plant?
2,7,ns_3,rubber band,rubber bands,fastener,fastener,bird,bird,Is it true that rubber bands are a type of fastener?,Is it true that rubber bands are a type of bird?
2,8,ns_4,rubber band,rubber bands,fastener,fastener,kitchen tool,kitchen tool,Is it true that rubber bands are a type of fastener?,Is it true that rubber bands are a type of kitchen tool?
3,9,ns_1,whip,whips,weapon,weapon,auto part,auto part,Is it true that whips are a type of weapon?,Is it true that whips are a type of auto part?
3,10,ns_2,whip,whips,weapon,weapon,insect,insect,Is it true that whips are a type of weapon?,Is it true that whips are a type of insect?
3,11,ns_3,whip,whips,weapon,weapon,plant,plant,Is it true that whips are a type of weapon?,Is it true that whips are a type of plant?
3,12,ns_4,whip,whips,weapon,weapon,tool,tool,Is it true that whips are a type of weapon?,Is it true that whips are a type of tool?
4,13,ns_1,dolphin,dolphins,animal,animal,outerwear,outerwear,Is it true that dolphins are a type of animal?,Is it true that dolphins are a type of outerwear?
4,14,ns_2,dolphin,dolphins,animal,animal,tool,tool,Is it true that dolphins are a type of animal?,Is it true that dolphins are a type of tool?
4,15,ns_3,dolphin,dolphins,animal,animal,school supply,school supply,Is it true that dolphins are a type of animal?,Is it true that dolphins are a type of school supply?
4,16,ns_4,dolphin,dolphins,animal,animal,accessory,accessory,Is it true that dolphins are a type of animal?,Is it true that dolphins are a type of accessory?
5,17,ns_1,dolphin,dolphins,sea animal,sea animal,bird,bird,Is it true that dolphins are a type of sea animal?,Is it true that dolphins are a type of bird?
5,18,ns_2,dolphin,dolphins,sea animal,sea animal,footwear,footwear,Is it true that dolphins are a type of sea animal?,Is it true that dolphins are a type of footwear?
5,19,ns_3,dolphin,dolphins,sea animal,sea animal,furniture,furniture,Is it true that dolphins are a type of sea animal?,Is it true that dolphins are a type of furniture?
5,20,ns_4,dolphin,dolphins,sea animal,sea animal,toiletry,toiletry,Is it true that dolphins are a type of sea animal?,Is it true that dolphins are a type of toiletry?
6,21,ns_1,dolphin,dolphins,mammal,mammal,insect,insect,Is it true that dolphins are a type of mammal?,Is it true that dolphins are a type of insect?
6,22,ns_2,dolphin,dolphins,mammal,mammal,protective clothing,protective clothing,Is it true that dolphins are a type of mammal?,Is it true that dolphins are a type of protective clothing?
6,23,ns_3,dolphin,dolphins,mammal,mammal,drink,drink,Is it true that dolphins are a type of mammal?,Is it true that dolphins are a type of drink?
6,24,ns_4,dolphin,dolphins,mammal,mammal,electronic device,electronic device,Is it true that dolphins are a type of mammal?,Is it true that dolphins are a type of electronic device?
7,25,ns_1,polar bear,polar bears,mammal,mammal,food,food,Is it true that polar bears are a type of mammal?,Is it true that polar bears are a type of food?
