token_id,token,cosine_similarity
48905,<|object_ref_start|>,0.19843817
114676,<|quad_end|>,0.2324391
133364,<|object_ref_end|>,0.25694403
89673,Ġcellphone,0.27083397
51145,-motion,0.27494824
7864,motion,0.31895417
115017,Ġeldre,0.33160913
48978,Ġrotates,0.34938347
76607,<|box_end|>,0.3501316
94093,Ġselfies,0.36132532
95812,Ā,0.3617593
116120,ã³,0.36197233
136255,Ġrotate,0.3625417
137440,ĠMarijuana,0.36270598
84576,ĠSakura,0.36329478
53744,ĠÃľniversites,0.36582276
96961,à´ħ,0.3680345
129564,ïºĦ,0.37186086
48420,ĠCannabis,0.3726793
68294,ÕĶ,0.3738892
44066,\b,0.37602353
130413,äĤ,0.37636715
10532,ïºģ,0.37677118
23673,Ġtexting,0.37735492
111225,Ġkvinne,0.37837204
105379,à´Ĩ,0.3803345
132087,ä§,0.38201067
5255,Ġcoworkers,0.38375613
44224,Ġbiking,0.3856233
149090,Ġtraveler,0.38659403
23384,Ġshoreline,0.3885525
83175,ïŃĺ,0.38967323
23640,ï»ı,0.39170855
28213,Ġclimbs,0.39209998
135265,à´«,0.39249596
137289,ã¢,0.39290482
132929,ã§,0.393144
131430,Ġgirlfriends,0.39661285
18190,ï¸¹,0.39773667
137503,ïº¿,0.39792472
132968,ã«,0.39848265
111448,ĠDollars,0.3985545
69429,ïºĪ,0.39889836
64384,ïºĨ,0.39939573
83895,ï»ĺ,0.40035158
47983,ï»Ķ,0.40118855
37901,ïºĴ,0.40125364
44685,ä,0.40127844
83628,Ġsleeps,0.40196866
91171,ï»Ģ,0.40393555
78235,Òł,0.4039477
51973,ïºĢ,0.40401796
32777,Ġslicing,0.40446407
126912,ïº¸,0.40528145
133763,Ġgrandma,0.40532285
79919,ĠLesbian,0.40540284
533,ï»ĥ,0.40582317
2978,ïŃĻ,0.40661156
7739,Ġë°ĺëĵľ,0.4066189
116104,ï»Ĳ,0.40750068
3876,ïº°,0.4078536
10371,ï®ķ,0.40807667
13444,-angle,0.4088305
113865,ïº·,0.40930673
99091,ïº¼,0.40938774
14804,ĠEngineers,0.40979308
111261,ãŃ,0.410065
80307,ĠÄ°lÃ§e,0.41013694
53048,Ġdusk,0.4104225
9247,àµº,0.41069394
24339,Ġdecorations,0.41072875
53500,Ġrailroad,0.4114936
135865,Ġchatting,0.41222286
13509,ï¼ĥ,0.41235417
73270,ïº¨,0.41350055
118646,Ô·,0.41351193
44879,Ġcreek,0.41427168
101068,ïº´,0.41573036
69149,-Up,0.41702577
48011,Ġcannabis,0.41757834
110418,Õķ,0.4175963
60595,Ġcyclists,0.41821516
119632,äĵ,0.41871744
35823,ïºľ,0.41888642
59753,Ġtwilight,0.42011845
111854,ï»¨,0.42054892
22852,äĪ,0.42065942
93073,ÖĨ,0.42076942
70678,Ġfreelancer,0.42101642
35146,Ô»,0.4212026
93712,ï»Ĺ,0.42154187
124326,ïŃ¼,0.4223458
101321,ïºĮ,0.42246994
89720,ïºĭ,0.4234311
144658,ĠÃĸzellikle,0.42346686
4723,Ġsexy,0.42353025
75240,×§×¦×Ķ,0.42380804
114362,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.42407617
15488,Ġembracing,0.4241143
69237,ã¿,0.42413485
75347,Ġeats,0.42423147
79540,ĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉ,0.42562467
89833,ãķ,0.42590466
90946,Ġdecorating,0.4262834
735,Ġnovember,0.42648596
150931,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.42689434
63709,ĠDucks,0.42725536
36828,Ġrailway,0.42735255
93232,ĠArrange,0.4281172
131389,ĉĠĉĉ,0.42817968
99448,ïºĩ,0.42837304
49393,ÕĪ,0.42840013
124918,ĠIcelandic,0.42878252
44492,Ġmarijuana,0.4288056
136119,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.42892873
107345,ĠDisabled,0.42895058
69273,ã,0.428993
28270,ĠEating,0.4294908
81052,ĠBÃ¼yÃ¼kÅŁehir,0.4300261
50930,ïºł,0.4303605
84713,Ġsmartphones,0.43037224
56487,Õĵ,0.4303825
80990,ï®ĳ,0.43062043
46262,Ġseptember,0.43066353
67146,ĠFarmers,0.4308081
2471,Ġ×ĸ×Ķ×ķ,0.4311217
143231,ĠSexy,0.43124455
11975,Ġbrunette,0.43127048
88608,ï»¼,0.43150374
87234,Ġ×ķ×ŀ,0.4316884
135588,ĠÄ°ÅŁte,0.43174765
132851,ïº¯,0.43193492
31226,Õĳ,0.43200487
53265,ï®Ķ,0.43231437
74746,ï¯½,0.43264648
42418,ï»ľ,0.43280646
40769,Ġvoks,0.43281695
141906,à²ħ,0.4330266
98382,<|quad_start|>,0.43341693
66874,áµİ,0.43373683
111013,Ġdrops,0.43386468
99912,ï»ĵ,0.43395472
118824,ïºĵ,0.43422437
72572,Ġcyclist,0.43438643
60312,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.43457568
18119,Ġcandies,0.43476796
39853,ïº»,0.43493807
42938,ĠScientists,0.43519345
7847,Õī,0.4355588
39686,ïºĺ,0.4356975
42289,äĿ,0.43571568
56184,ãĲ,0.435799
83407,ï»Ī,0.43616688
63628,ïºĽ,0.43634278
53659,ĠWashing,0.43643892
148534,ĠpaÅºdziern,0.43652946
121143,ĉĉĉĉĉĉĉĉĉĉĉĉĉĉĉ,0.43679482
129231,apse,0.4371909
76080,ï½Ĥ,0.4374171
76771,ï®«,0.4375886
93177,ÙħØ±Ø§Ø¬,0.43766415
46886,ĠterÃ¶r,0.43788308
21100,Ġ×ĳ×ł×ķ×¡×£,0.4380672
10394,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.4383133
40842,ïºŁ,0.43836147
132328,Ġ×ķ×ł,0.43895495
4632,Ġ×ķ×ĵ,0.44020638
138903,ĠDoctors,0.44065604
105252,Òº,0.44109476
141077,ĠCoronavirus,0.44143206
107019,ï±ł,0.44191563
42304,ã´,0.4421037
6222,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.4422504
80405,Õĭ,0.44254547
41446,Õİ,0.44274756
122966,Ô¶,0.44277573
88642,Ġapril,0.4428242
31351,Ô½,0.44312635
15047,ï®ĭ,0.44315344
63954,ïº§,0.44318354
127707,Ġcrawling,0.44337592
43836,ĠRailroad,0.44340485
2644,ïº«,0.44366074
48393,ï»ł,0.4438048
77687,Ġ×ķ×©,0.44420233
11392,Ġteenager,0.44432056
9243,ï»Ħ,0.44438988
69319,ĠLions,0.44457203
135350,ïºĳ,0.44536316
34511,Ġvoksne,0.44582242
6905,Ġ×ķ×Ľ,0.44593963
81505,.Photo,0.4460377
91513,Ô¼,0.4463592
125504,Ġ×ľ×ŀ×¨×ķ×ª,0.44666415
136681,ï»Į,0.44668528
103418,Ôº,0.44670647
109893,ïº³,0.4469833
97368,Ġflames,0.44700885
94282,Ô´,0.44717425
47282,âº,0.44732064
66412,Ġ×ŀ×Ķ×ķ×ķ×Ķ,0.4478106
40240,ĠAircraft,0.44786227
17765,ïº¬,0.4481802
127806,ïŃ½,0.4484346
36504,ĠLGBT,0.4485665
97756,ïºĹ,0.4485843
74866,Ġjogging,0.44920224
5,ï½ģ,0.4493413
73436,Ġchopping,0.44945097
148049,ï»²,0.44964862
17955,Ġcheerful,0.44981176
71666,drops,0.44988787
18799,äĶ,0.4505595
106099,ÒĹ,0.45089588
78549,ï»¬,0.45090634
79401,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.45160192
86606,ï®Ĳ,0.45177197
26910,Ġfreeway,0.45212987
45139,Ġ×ķ×Ĳ×£,0.4521309
41518,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.4525549
52875,Ġcoronavirus,0.45260578
21503,Eight,0.4527615
96384,Ġaload,0.452938
147067,ĠGrinding,0.45294368
150602,ĠCleaning,0.45296896
46149,Ġ×ķ×ĸ,0.4535643
99862,ï»ĭ,0.4535923
21104,ĠÐ½Ð°Ð³ÑĢÑĥÐ·Ðº,0.4535958
124583,ïºħ,0.45360482
31058,Ġblossom,0.4536475
28334,ĠDrop,0.4540124
19657,Ġ×ķ×Ĳ,0.4548203
13205,ĠPuppy,0.45483804
50099,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĊ,0.45485243
100304,ïº¤,0.45529813
137073,ï»§,0.45574814
