item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,Yes,0.7439007759094238,0.34210824966430664,0.5054603815078735
2,2,Yes,No,No,0.6999189853668213,0.3529341518878937,0.4590252935886383
3,3,Yes,No,Yes,0.7602636218070984,0.37269529700279236,0.6078925132751465
4,4,Yes,No,No,0.680802583694458,0.3307609260082245,0.3989735245704651
5,5,Yes,No,No,0.6494549512863159,0.36018460988998413,0.39122405648231506
6,6,Yes,Yes,No,0.7795549035072327,0.6631292104721069,0.33634305000305176
7,7,Yes,No,No,0.8518955111503601,0.1906341016292572,0.3804590702056885
8,8,Yes,No,No,0.5718176364898682,0.3151916265487671,0.42198318243026733
9,9,Yes,No,Yes,0.571718692779541,0.31963878870010376,0.5020334124565125
10,10,Yes,No,Yes,0.5580907464027405,0.31963878870010376,0.5866364240646362
11,11,Yes,No,Yes,0.7926827073097229,0.26725029945373535,0.6142720580101013
12,12,Yes,No,Yes,0.7517401576042175,0.3702126145362854,0.5038451552391052
13,13,Yes,No,No,0.7568966746330261,0.4425230920314789,0.42830127477645874
14,14,Yes,No,Yes,0.7024892568588257,0.48381441831588745,0.5241953730583191
15,15,Yes,No,Yes,0.7394593954086304,0.4320966899394989,0.5042381882667542
16,16,Yes,Yes,No,0.798396110534668,0.509088397026062,0.3073192238807678
17,17,Yes,No,Yes,0.7230657339096069,0.4062528908252716,0.5478011965751648
18,18,Yes,No,Yes,0.7177013158798218,0.39932751655578613,0.5290004014968872
19,19,No,No,No,0.3645469546318054,0.2967953085899353,0.4296026825904846
20,20,Yes,No,Yes,0.6347415447235107,0.3361879289150238,0.5222333669662476
21,21,Yes,Yes,Yes,0.7718344330787659,0.5355516076087952,0.5434445738792419
22,22,Yes,No,Yes,0.7525478005409241,0.438355952501297,0.545876145362854
23,23,Yes,No,No,0.539625346660614,0.4182361662387848,0.48077112436294556
24,24,Yes,No,Yes,0.8287032246589661,0.3664887845516205,0.5104982852935791
25,25,Yes,No,No,0.7893397212028503,0.43231257796287537,0.48335424065589905
26,26,Yes,No,No,0.6410133838653564,0.3277941048145294,0.4636521339416504
27,27,Yes,No,No,0.6071469187736511,0.43231257796287537,0.4614381790161133
28,28,Yes,No,Yes,0.8239213824272156,0.43231257796287537,0.6107710599899292
29,29,Yes,Yes,Yes,0.7634685635566711,0.5925203561782837,0.5330873131752014
30,30,Yes,No,No,0.8373599052429199,0.47191083431243896,0.39861229062080383
31,31,Yes,No,Yes,0.8119023442268372,0.31265538930892944,0.5477176308631897
32,32,Yes,No,Yes,0.7361586093902588,0.47957587242126465,0.5252823829650879
33,33,Yes,Yes,No,0.7072461843490601,0.5632166862487793,0.47168177366256714
34,34,Yes,No,Yes,0.7792787551879883,0.48840469121932983,0.512962281703949
35,35,Yes,No,Yes,0.8626556992530823,0.3996522128582001,0.509710431098938
36,36,Yes,No,Yes,0.8917096257209778,0.42453885078430176,0.7547942399978638
37,37,Yes,Yes,No,0.6443395018577576,0.6236546039581299,0.4399055242538452
38,38,Yes,No,No,0.6272202730178833,0.466640830039978,0.4801305830478668
39,39,Yes,No,No,0.7047936916351318,0.4846714437007904,0.419709712266922
40,40,Yes,No,Yes,0.5369210839271545,0.41542181372642517,0.5190778970718384
41,41,No,Yes,Yes,0.4552040100097656,0.5958671569824219,0.5103337168693542
42,42,Yes,Yes,Yes,0.6890493035316467,0.536412239074707,0.5658780336380005
43,43,Yes,No,No,0.659194827079773,0.4895782172679901,0.48681795597076416
44,44,Yes,No,Yes,0.7287331819534302,0.38235899806022644,0.5405016541481018
45,45,Yes,No,Yes,0.8285066485404968,0.3155742883682251,0.6046329140663147
46,46,Yes,No,Yes,0.7795079350471497,0.4719473123550415,0.5840534567832947
47,47,Yes,Yes,No,0.7975597977638245,0.5259294509887695,0.33785560727119446
48,48,Yes,No,No,0.6149562001228333,0.41921111941337585,0.4239383935928345
49,49,Yes,Yes,No,0.7299506664276123,0.5676170587539673,0.4075826406478882
50,50,Yes,Yes,No,0.5343349575996399,0.5926352143287659,0.4291926920413971
51,51,Yes,No,Yes,0.5710846185684204,0.45958033204078674,0.5482787489891052
52,52,Yes,Yes,Yes,0.6328951120376587,0.6141976714134216,0.5394213795661926
53,53,Yes,No,Yes,0.6678808331489563,0.3770465552806854,0.5307074785232544
54,54,Yes,Yes,Yes,0.6683866381645203,0.6088262796401978,0.5492633581161499
55,55,Yes,No,Yes,0.8187547922134399,0.4854983687400818,0.6281039118766785
56,56,Yes,No,No,0.6096521019935608,0.4393906891345978,0.3348287343978882
57,57,Yes,No,Yes,0.7101336121559143,0.3356413245201111,0.5383957028388977
58,58,Yes,Yes,No,0.5684183835983276,0.5074335336685181,0.2998286485671997
59,59,Yes,No,No,0.779629111289978,0.4049912989139557,0.4847782552242279
60,60,Yes,No,Yes,0.7622504234313965,0.421589732170105,0.5930920839309692
61,61,Yes,Yes,No,0.7527531981468201,0.6319037675857544,0.44837307929992676
62,62,Yes,No,Yes,0.869274914264679,0.3905367851257324,0.5552687048912048
63,63,Yes,Yes,Yes,0.7711412310600281,0.5196020603179932,0.6055505871772766
64,64,Yes,No,Yes,0.77424156665802,0.41776803135871887,0.5765215754508972
65,65,Yes,No,No,0.5427708029747009,0.35394975543022156,0.43974944949150085
66,66,Yes,No,No,0.8202903270721436,0.35929110646247864,0.3949592113494873
67,67,Yes,No,No,0.7710906863212585,0.29026317596435547,0.3792482018470764
68,68,Yes,No,No,0.5533570051193237,0.4302549958229065,0.4467647075653076
69,69,Yes,Yes,Yes,0.803763210773468,0.5365962386131287,0.5163059830665588
70,70,Yes,Yes,Yes,0.7009826302528381,0.551422655582428,0.5287654399871826
71,71,Yes,No,Yes,0.813231348991394,0.43170613050460815,0.6700747609138489
72,72,Yes,Yes,Yes,0.7515168190002441,0.5367162823677063,0.6304754614830017
73,73,Yes,No,Yes,0.7765868902206421,0.39162856340408325,0.643095076084137
74,74,Yes,No,Yes,0.6830360889434814,0.2877780497074127,0.5993937849998474
75,75,Yes,Yes,No,0.6368802785873413,0.5083237290382385,0.4677816331386566
76,76,Yes,Yes,Yes,0.7785946130752563,0.5715715289115906,0.568899929523468
