token_id,token,cosine_similarity
12185,▁…,0.9604684
24526,.....,0.9767828
29379,▁”,0.9770528
4847,",,",0.9810915
30034,▁’,0.981565
17410,.’,0.98208684
586,Â,0.9837933
25816,▁‘,0.9844444
10842,???,0.98523164
24096,‐,0.9859344
9083,........,0.9860685
21457,\',0.98627186
30132,▁:-),0.98679876
1024,"\,",0.9871122
23461, ,0.9872402
24419,▁anybody,0.98751354
6324,▁remarked,0.98798525
14527,!!!,0.9879858
15706,,0.98802376
515,.(,0.9882253
17255,Ã,0.9885847
16762,.--,0.9888393
14726, ,0.9891204
2770,▁moreover,0.9892125
12852,",’",0.989581
19917,.“,0.9899036
10463,",[",0.98992544
12975,▁``,0.9900933
12109,▁obviously,0.99010384
21376,▁....,0.9901905
23928,,0.9903611
12868,.~,0.9905926
15715,▁;),0.9906067
2416,‑,0.99064016
14266,................,0.99078727
24079,▁..,0.9908096
4234,­,0.99120474
29663,▁„,0.99122727
7367,<0xC2>,0.9913928
7444,....,0.9914614
30005,‚,0.99155825
9986,▁xx,0.9916954
27889,_{\,0.9917295
25496, ,0.9918821
13684,▁invari,0.99189675
15896,…,0.99190253
128,.[,0.9919541
10262,",--",0.9920759
4968,▁chairman,0.9921767
3252,langle,0.9924208
10497,tilde,0.99247646
6995,″,0.9924994
2992,▁Lemma,0.99257654
16670,▁Seems,0.9928058
20301,&#,0.99280816
74,▁blah,0.9928749
30134,widetilde,0.9928899
9349,▁•,0.99301434
26128,▁:),0.9930159
4555,▁BTW,0.99314076
27698,▁november,0.99318767
30390,^*,0.9931921
8705,▁{\,0.9932814
14169,Phi,0.99335825
27652,mbox,0.99341285
15832,▁***,0.993473
21365,▁hopefully,0.99347466
18836,",$",0.9935035
25483,▁Bayer,0.99350953
31110,▁didnt,0.99351627
17351,",(",0.9935174
30124,▁Basically,0.9935267
10076,▁commune,0.9935802
18015,!...,0.99360365
2178,▁Obviously,0.9936078
9910,▁repro,0.9936236
10789,▁YES,0.9936732
11910,mathfrak,0.99368423
24662,▁durant,0.99370754
27875,▁ss,0.9937159
16960,▁provincial,0.9937217
16805,▁sovi,0.99375707
2089,}^,0.9937837
22958,",”",0.9937984
30855,"*,",0.9938135
31934,")",0.9938195
28524,.;,0.99383366
24174,<0x01>,0.99384916
7242,―,0.99385875
13925,<0xCC>,0.99387944
13740,▁earnest,0.9938816
10187,▁metres,0.9940079
5233,~\,0.99404585
22021,"}\,",0.9940833
18411,Õ,0.9941118
29792,».,0.99412054
11068,▁abc,0.9941473
16271,Ð,0.99415493
21551,ensuremath,0.99415934
19039,▁Stuttgart,0.9941869
843,▁cheval,0.99423707
996,′,0.99424183
3293,"▁\,",0.9942479
3294,▁bishop,0.99426126
5108,rightarrow,0.99429256
9218,▁Serie,0.99429905
1805,▁britann,0.9943166
27905,▁Weit,0.9943222
28597,boldsymbol,0.9943567
12198,▁accom,0.994357
25019,}_{\,0.9943787
26881,†,0.9943894
5716,"...,",0.9944104
7095,▁FK,0.9944242
12064,▁més,0.99443245
26616,▁ruby,0.9944631
16515,"▁\""",0.99446607
8559,nothing,0.99447024
28812,́,0.9944761
11083,nonumber,0.9944773
27134,▁tm,0.9944781
14264,▁honour,0.99449
5325, ,0.9945018
18143,▁â,0.9945059
30072,▁ ,0.99451494
9438,▁quoted,0.9945303
8037,iii,0.99454224
8426,▁urs,0.994577
21727,▁GP,0.9945778
12100,bably,0.9945837
30000,}^{,0.99458504
16546,!!,0.99459773
11671,∼,0.99460673
24734,▁LEFT,0.99460715
12659,",\",0.9946168
26221,▁deput,0.99462867
20097,▁substant,0.99463993
17015,▁jquery,0.99465066
8039,●,0.99465364
23441,▁aquest,0.99465454
15599,▁appart,0.99467635
4094,�,0.99468243
10598,™,0.9947262
8499,^^,0.99474156
2480,leq,0.9947447
28546,▁rei,0.9947653
17550,"”,",0.99478954
23932,▁feb,0.9947919
29827,▁Municip,0.99479276
20589,mathrm,0.99482477
19824,they,0.9948642
22945,▁basically,0.9948704
11063,´,0.9948735
8704,Btn,0.9948988
3183,:-,0.9949033
605,▁:(,0.9949216
8774,▁четы,0.9949259
23261,simeq,0.9949307
15278,▁quasi,0.99494123
4190,▁sr,0.99494374
3221,▁Éditions,0.9949444
11816,▁engl,0.994967
15272,)--,0.99497163
26939,"▁""...",0.99497485
14682,!(,0.99498487
15142,"$,",0.99498856
11247,widehat,0.9950204
2114,▁Probably,0.995026
20040,operatorname,0.995028
10742,",.",0.99503547
9630,<0x03>,0.9950419
2120,▁cb,0.995063
24930,▁ajax,0.9950654
10456,▁thirty,0.99507177
2542,▁runt,0.9950737
17870,▁figured,0.9950801
2243,did,0.9950867
26799,▁fif,0.9950914
14402,▁Schloss,0.9951077
4724,▁specie,0.99511397
29969,▁??,0.9951145
14976,.},0.99511963
19585,▁md,0.99512315
22199,▁Feb,0.9951249
22880,▁!!,0.99512607
20039,▁Muham,0.9951322
7801,▁Altri,0.99514854
1137,??,0.9951827
3410,▁mentioned,0.9951931
16137,bigg,0.99519753
18376,"/,",0.99522305
25204,subsection,0.9952322
30409,mathsf,0.9952343
30453,▁NGC,0.99523765
9200,";",0.99524707
10677,₂,0.9952609
26171,▁voted,0.9952703
16497,eqnarray,0.995272
7024,▁${\,0.9952793
18274,▁talked,0.99528
20668,▁portug,0.99528205
28284,▁awful,0.99528366
31568,Æ,0.99528897
15315,▁servant,0.99529016
30117,.—,0.9953002
27311,tfrac,0.9953031
24955,▁Vien,0.9953283
12154,▁oracle,0.9953384
16731,"▁»,",0.9953526
8054,▁Copa,0.9953581
973,▁literally,0.99535996
12446,▁Анд,0.99536186
27679,▁Olimp,0.9953641
571,▁ISSN,0.9953953
15587,that,0.9953977
21154,alph,0.9953985
3079,vspace,0.9954014
29126,clk,0.9954085
15890,varepsilon,0.9954095
28152,"},\",0.995423
5727,▁Миха,0.99542564
4351,zeta,0.99545825
18160,▁waited,0.99546975
20733, ,0.99547094
22436,▁kilometres,0.9954802
2368,.',0.9954837
31426,▁secretary,0.9954916
22774,▁cousin,0.99549246
3194,¨,0.995497
30417,▁Nether,0.9955121
26024,▁Bibliografia,0.9955145
13091,▁Фран,0.99552166
2562,CheckBox,0.9955248
28320,▁pg,0.9955272
17696,Failure,0.99552745
2248,varphi,0.9955346
8283,▁(=,0.995538
29641,▁nominated,0.9955422
17040,▁dels,0.9955473
25348,“.,0.9955729
9951,<0xCD>,0.99558145
22274,^{\,0.9955863
31614,▁pt,0.99561197
10303,▁maven,0.9956237
26201,▁rs,0.99563414
22468,overline,0.9956361
5562,▁Никола,0.99563825
31998,rizona,0.99565506
19590,▁juin,0.9956571
5183,"▁$,",0.9956641
5897,▁són,0.9956698
19104,▁neben,0.9956805
634,▁).,0.995687
7951,▁города,0.99568963
28329,ritten,0.9956916
2104,▁seva,0.99569166
8649,¼,0.9956958
22580,:),0.9957058
668,▁thinks,0.9957182
6307,mathscr,0.9957217
17154,jb,0.9957253
18614,½,0.9957309
22374,▁Until,0.99573094
21461,¹,0.9957439
6646,▁milieu,0.995755
14324,▁ligger,0.9957553
1660,▁је,0.9957596
25518,▁Yeah,0.99576044
2919,‰,0.9957636
12253,▁Ј,0.99576944
4250,▁“,0.99577
19563,▁$(\,0.99577916
12296,▁·,0.99578476
25850,.”,0.9957849
19745,},0.995785
4147,﻿,0.99578583
9324,nabla,0.9957913
19616,subseteq,0.9957946
2271,˜,0.9957963
1267,▁stup,0.99579674
1104,▁aston,0.9958068
5462,▁quatre,0.9958124
21982,▁utter,0.99581623
13288,▁fem,0.9958233
31344,▁twee,0.9958272
2826,▁repres,0.9958335
20480,}$.,0.9958359
17463,****,0.9958395
1923,▁behaviour,0.9958404
21384,Pane,0.99584186
8504,▁roi,0.9958463
16217,▁=\,0.99584776
28312,$-,0.9958532
12086,▁около,0.9958534
6512,▁regiment,0.9958558
30360,▁pseudo,0.995865
20133,▁tx,0.9958693
624,»,0.99587005
30511,▁també,0.9958713
28413,mathcal,0.9958738
7988,▁bata,0.99587387
2085,▁[...],0.995876
19744,,0.9958841
13263,▁:-,0.9958866
4937,ebru,0.99589455
20214,▁Germania,0.995895
14237,kappa,0.99589574
12081,,0.9958999
320,▁$\,0.995901
11221,▁decla,0.99590284
6277,▁marqu,0.9959061
21367,Checked,0.99591327
6429,▁?,0.99591494
14181,▁(?,0.99591506
8399,hw,0.99591935
21060,<0x7F>,0.9959205
18637,▁dst,0.9959299
30567,▁Ло,0.9959318
17775,Wikimedia,0.9959327
31905,▁demi,0.9959343
1035,<0xD1>,0.9959345
1157,▁els,0.9959514
6031,▁#!/,0.9959526
28389,¸,0.99596035
