token_id,token,cosine_similarity
66320,<|eom_id|>,0.99998343
38955,]))ĊĊ,0.9999883
12594,<|start_header_id|>,0.99999154
33790,<|end_header_id|>,0.99999154
80161,"."");Ċ",0.99999183
112460,)čĊ,0.9999923
102582,<|python_tag|>,0.9999929
14534,.$,0.99999386
46729,Thus,0.99999434
86191,));Ċ,0.99999434
120735,According,0.9999945
27264,Ġ});ĊĊ,0.9999946
24324,Ġimportant,0.99999475
70020,âĢĻm,0.99999475
56324,",\",0.999995
17735,<div,0.99999505
51385,]))Ċ,0.99999523
1809,\[,0.99999547
23588,Answer,0.99999547
124344,Ġdhe,0.99999547
47283,();,0.9999955
5730,)]Ċ,0.9999956
109192,"'),Ċ",0.9999956
122619,""".",0.9999956
39846,"("","");Ċ",0.99999565
20038,ĠíĮĮìĿ¼ì²¨ë¶Ģ,0.99999577
97566,""":{""",0.99999577
77418,Ġ^{,0.9999958
114120,.RIGHT,0.9999958
35387,Ġaan,0.9999959
48951,Ġappropriately,0.9999959
121148,Ġ]Ċ,0.9999959
51272,())Ċ,0.99999595
85555,.ĊĊĊĊ,0.999996
20223,>();ĊĊ,0.99999607
26132,ĠCalculate,0.99999607
88805,):,0.99999607
7372,=\,0.9999962
19798,".""Ċ",0.9999962
88367,]),0.99999624
44122,());Ċ,0.9999963
82288,"%),",0.9999963
93582,());ĊĊ,0.9999963
14741,Ġ&#,0.99999636
82211,")"")ĊĊ",0.99999636
114090,However,0.99999636
4094,Ġ''Ċ,0.9999964
18987,_search,0.9999964
32138,""")",0.9999964
126089,##,0.9999964
2556,Ġalcuni,0.99999654
12815,Ġ[]ĊĊ,0.99999654
19756,$\,0.99999654
61095,"Ġ],Ċ",0.99999654
68707,Ġ{}Ċ,0.99999654
126464,"Ġ},Ċ",0.99999654
19887,']Ċ,0.9999966
71036,"Ġ""""Ċ",0.9999966
84325,.ĊĊĊ,0.9999966
86994,ĠðŁĺ,0.9999966
89487,Ġprovides,0.9999966
122263,})Ċ,0.9999966
5663,ĠpuÃ²,0.99999666
26448,ĠpaÃŃses,0.99999666
37503,"],Ċ",0.99999666
68405,Ġ'\,0.99999666
84822,"""The",0.99999666
108475,).Ċ,0.99999666
108963,()]Ċ,0.99999666
113051,âĢĻd,0.99999666
121009,à¥Ī?,0.99999666
105913,Instead,0.9999967
28412,')ĊĊ,0.9999968
44038,---ĊĊ,0.9999968
66407,('../,0.9999968
92456,')ĊĊĊ,0.9999968
103156,)ĊĊĊĊ,0.9999968
120219,Since,0.9999968
4183,"Ġ""%",0.9999969
11829,}(,0.9999969
16724,"."")",0.9999969
36169,?',0.9999969
64931,phot,0.9999969
80141,Ġrelies,0.9999969
31193,]).,0.99999696
36442,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,0.99999696
40130,"""`",0.99999696
64752,"Ġ),",0.99999696
112996,}),0.99999696
