item,category_id,parent_id,category,parent,phrasing_id,question,category_item,parent_item
1,1,1,drum,percussion instrument,1,Is it true that drums are percurssion instruments?,drums,percurssion instruments
2,1,1,drum,percussion instrument,2,Is it true that a drum is a percussion instrument?,drum,percussion instrument
3,1,1,drum,percussion instrument,3,Is it true that drums are a type of percussion instrument?,drums,percussion instrument
4,1,1,drum,percussion instrument,4,Is it true that a drum is a type of percussion instrument?,drum,percussion instrument
5,1,2,drum,musical instrument,1,Is it true that drums are musical instruments?,drums,musical instruments
6,1,2,drum,musical instrument,2,Is it true that a drum is a musical instrument?,drum,musical instrument
7,1,2,drum,musical instrument,3,Is it true that drums are a type of musical instrument?,drums,musical instrument
8,1,2,drum,musical instrument,4,Is it true that a drum is a type of musical instrument?,drum,musical instrument
9,1,3,drum,device,1,Is it true that drums are devices?,drums,devices
10,1,3,drum,device,2,Is it true that a drum is a device?,drum,device
11,1,3,drum,device,3,Is it true that drums are a type of device?,drums,device
12,1,3,drum,device,4,Is it true that a drum is a type of device?,drum,device
13,2,1,backpack,bag,1,Is it true that backpacks are bags?,backpacks,bags
14,2,1,backpack,bag,2,Is it true that a backpack is a bag?,backpack,bag
15,2,1,backpack,bag,3,Is it true that backpacks are a type of bag?,backpacks,bag
16,2,1,backpack,bag,4,Is it true that a backpack is a type of bag?,backpack,bag
17,2,2,backpack,container,1,Is it true that backpacks are containers?,backpacks,containers
18,2,2,backpack,container,2,Is it true that a backpack is a container?,backpack,container
19,2,2,backpack,container,3,Is it true that backpacks are a type of container?,backpacks,container
20,2,2,backpack,container,4,Is it true that a backpack is a type of container?,backpack,container
21,3,1,tablecloth,table linen,1,Is it true that tablecloths are table linen?,tablecloths,table linen
22,3,1,tablecloth,table linen,2,Is it true that a tablecloth is table linen?,tablecloth,table linen
23,3,1,tablecloth,table linen,3,Is it true that tablecloths are a type of table linen?,tablecloths,table linen
24,3,1,tablecloth,table linen,4,Is it true that a tablecloth is a type of table linen?,tablecloth,table linen
25,3,2,tablecloth,linen,1,Is it true that tablecloths are linen?,tablecloths,linen
26,3,2,tablecloth,linen,2,Is it true that a tablecloth is linen?,tablecloth,linen
27,3,2,tablecloth,linen,3,Is it true that tablecloths are a type of linen?,tablecloths,linen
28,3,2,tablecloth,linen,4,Is it true that a tablecloth is a type of linen?,tablecloth,linen
29,3,3,tablecloth,covering,1,Is it true that tablecloths are coverings?,tablecloths,coverings
