item,label,p_yes
1,No,2.0486791981966235e-05
2,No,1.881242495116453e-09
3,No,6.765781712658736e-09
4,No,2.478537730610242e-08
5,No,3.037590144694402e-12
6,No,4.163052541583667e-11
7,No,2.0619170433555656e-12
8,No,2.4800840634636723e-12
9,No,1.782485790913224e-11
10,No,4.542337617152725e-10
11,No,3.442287288546453e-10
12,No,2.0912594572708443e-11
13,No,1.963347262545767e-10
14,No,2.7444987948932464e-10
15,No,9.708061554647429e-08
16,No,2.067286686724401e-06
17,No,5.429672770423943e-12
18,No,4.5389980836418875e-12
19,No,1.0157553020917476e-08
20,No,8.877514483174309e-05
21,No,0.06249288097023964
22,No,0.18506479263305664
23,No,0.15974822640419006
24,Yes,0.5824094414710999
25,No,0.0007471339777112007
26,No,6.533724672408425e-09
27,No,0.4557511806488037
28,No,0.011196273379027843
29,No,1.3608526217012695e-07
30,No,4.8835525376489386e-05
31,No,0.00040105741936713457
32,No,0.11115638166666031
33,No,9.394252953667803e-13
34,No,7.686213644719775e-12
35,No,7.043247278806786e-13
36,No,2.133765820283573e-12
37,No,5.47920389615264e-12
38,No,9.030629826156655e-07
39,No,1.3504546873127632e-12
40,No,1.907343640666914e-12
41,No,3.5245335296141267e-12
42,No,1.117623181501326e-11
43,No,2.912039012703538e-11
44,No,3.8711443772765364e-11
45,No,1.1421443218279093e-12
46,No,7.315975950050735e-12
47,No,2.969279553136084e-12
48,No,4.971157166466789e-12
49,No,4.426914997773812e-12
50,No,1.0276653972240979e-09
51,No,3.555505065713782e-12
52,No,2.954057484738648e-11
53,No,5.68998912058305e-05
54,No,0.0010626647854223847
55,No,8.622194069829447e-10
56,No,1.7680335417935567e-08
57,No,5.068360553299456e-13
58,Yes,0.5955439805984497
59,No,6.113492958398359e-13
60,No,1.5151660308354575e-12
61,No,1.2486320311033694e-10
62,No,1.6145831978064962e-05
63,No,3.382110130151217e-12
64,No,2.875998701343252e-12
65,No,3.697986361572703e-12
66,No,4.544098387501694e-13
67,No,8.834077133007545e-13
68,No,2.173331908319684e-13
69,No,1.5635704536665074e-11
70,No,3.0150139112769536e-13
71,No,8.857944239215598e-11
72,No,3.635812831359608e-11
73,No,7.991433578248552e-13
74,No,2.374375002167639e-12
75,No,1.2743242875853933e-12
76,No,1.0251911082212462e-12
77,No,7.78953507599156e-13
78,No,6.863197076628635e-13
79,No,3.477861878695143e-12
80,No,1.509834900333129e-12
81,No,1.7506602834060914e-09
82,No,0.00015279969375114888
83,No,3.1241469914539133e-13
84,No,2.3598057102142134e-12
85,No,0.2116866260766983
86,No,6.819136189051278e-08
87,No,1.5348499005085614e-07
88,No,8.125169870254467e-08
89,No,1.0005218225098145e-13
90,No,5.2406972827157006e-05
91,No,1.9420408206918816e-13
92,No,1.7982947216835937e-13
93,No,2.4644980609229983e-13
94,No,4.6583963353441504e-08
95,No,1.7664011529514023e-13
96,No,1.4575566773498971e-13
97,No,1.0080753506253037e-12
98,No,1.0861152077268343e-05
99,No,1.4809929270356154e-13
100,No,8.623068621996244e-13
101,No,9.978182724523776e-09
102,No,5.085315502029175e-10
103,No,9.705584252950317e-11
104,No,1.5331062808154883e-11
105,No,3.9067780260859664e-11
106,No,5.703562275249929e-11
107,No,6.292597110046927e-09
108,No,4.716069815913215e-05
109,No,8.318903205184469e-11
110,No,1.7835034837876407e-10
111,No,0.0024048900231719017
112,No,0.021019356325268745
113,No,2.524323252598576e-13
114,No,0.39242053031921387
115,No,3.044475262170554e-12
116,No,6.787881923209227e-10
117,No,1.7609890325467892e-12
118,No,5.555956736347234e-11
119,No,1.8969348661301844e-12
120,No,1.914594524587976e-11
121,No,7.112467559355906e-11
122,No,8.881335770982712e-12
123,No,6.466345325861766e-07
