token_id,token,cosine_similarity
3003,▁Lemma,0.9783863
15087,….,0.9809963
3880,▁ноября,0.9820842
25349,“.,0.98307145
5087,▁июля,0.9832923
6155,▁^{,0.9841203
26719,▁января,0.98500407
632,▁октября,0.9851239
23768,▁апреля,0.9851409
20466,▁июня,0.98571867
9871,▁сентября,0.98584354
30106,widetilde,0.9859864
2259,varphi,0.98620933
5621,▁Никола,0.9864581
31457,"“,",0.9873352
15706,,0.98737186
10594,tilde,0.9874005
26039,▁декабря,0.9875506
19571,▁$(\,0.9877496
12135,▁més,0.98780084
28822,.^{[,0.9878389
7209,▁Аль,0.98784864
14688,▁мат,0.9879325
20921,▁августа,0.9880126
10666,▁пів,0.9880325
19930,.“,0.98807466
25945,▁piss,0.98810256
17414,▁село,0.98829883
6753,▁Васи,0.9885503
22582,▁бри,0.9885975
8535,▁~~,0.9888331
9160,noindent,0.9891119
11331,widehat,0.9892428
15469,toolbar,0.9892951
25875,({\,0.9893886
21773,"\,\",0.9894308
16226,▁=\,0.9894326
12505,▁Анд,0.9895499
3405,}({\,0.9895824
2195,▁Obviously,0.9895865
12241,▁_{,0.9897142
18878,▁$|,0.98971754
4727,",*",0.9897245
27412,▁година,0.989735
23270,simeq,0.9898175
30475,▁també,0.9898334
29631,▁„,0.98985106
18180,▁Ан,0.98989314
21268,▁Моск,0.9899013
19183,▁авгу,0.9899329
7437,▁американ,0.9900018
24650,▁Влади,0.99000514
2552,▁shitty,0.9901006
9588,▁ию,0.9902267
16803,▁(**,0.9902618
13372,▁мая,0.9902903
17914,▁године,0.9903127
30093,Psi,0.990392
31917,)+\,0.99054897
7097,Typed,0.9905726
15898,varepsilon,0.99058414
12300,▁Ј,0.9906254
24595,Theta,0.99064386
206,▁blinked,0.99065137
20787,▁rhs,0.99068385
16506,eqnarray,0.9907479
15343,}+\,0.99075377
21572,▁осіб,0.9907557
14616,hint,0.99078524
5966,▁són,0.9909406
16553,▁след,0.99099827
19812,▁района,0.9910089
29983,‚,0.991022
25480,}-\,0.9910501
26647,▁дека,0.99108446
30104,▁чемпиона,0.99109495
17881,▁був,0.9910971
28614,)-\,0.99114347
8699,▁февраля,0.9911572
5485,~$\,0.99116933
9274,\!,0.99121565
27406,▁цер,0.9912757
10043,▁Му,0.9912832
3950,citet,0.99131423
11145,´,0.9913412
4412,zeta,0.9913477
22149,▁Ар,0.9913605
12906,.~,0.9913836
20806,▁ав,0.9913974
7481,▁erhielt,0.99144965
252,▁anys,0.9914745
27041,▁села,0.9915924
1092,"),\",0.99160725
30611,▁років,0.991616
18934,▁марта,0.99163187
28582,boldsymbol,0.9916454
3135,▁assertThat,0.99170536
27614,'=>',0.99171376
7883,▁живе,0.9917335
30364,mathsf,0.99173427
10091,mapsto,0.9917704
5113,▁Ту,0.9917827
14998,▁####,0.9917861
11031,eclipse,0.99180686
3854,,0.99180967
1053,▁мор,0.99182117
19083,▁апре,0.9918939
24052,▁меда,0.99192524
7352,▁Вели,0.9919423
23306,▁juli,0.99197364
17251,▁($\,0.9919793
27195,;\,0.99198467
19444,вав,0.99200267
14118,▁Че,0.99200624
10473,▁viagra,0.99201685
12657,"»,",0.99201715
25389,▁Гер,0.992027
8566,▁Biographie,0.9920864
19623,subseteq,0.9920919
1025,▁составе,0.99215436
17422,.’,0.9921882
22033,"}\,",0.99223316
3953,▁Campeonato,0.9922566
13221,拷,0.9923187
22444,▁$\{,0.9923788
10699,▁){,0.9923991
27594,ський,0.99240917
10614,subsubsection,0.99241835
31118,Drawable,0.99242574
26077,Mgr,0.9924276
25056,$;,0.99243975
31999,EE,0.99247146
25898,▁№,0.99253124
31162,▁янва,0.99258554
1550,gamma,0.99259144
13290,▁Ша,0.99261177
731,▁сент,0.99261785
24951,proposition,0.9926343
3471,▁Й,0.99265176
26221,".""_",0.99267983
25997,▁районе,0.99271727
30942,ollary,0.992734
16146,bigg,0.9927729
19178,ното,0.9928015
9787,theorem,0.99280953
2117,▁seva,0.9928478
15275,▁році,0.99285233
16269,▁gemeente,0.9928633
28130,▁Бер,0.99288535
11129,▁Кар,0.9928955
