token_id,token,cosine_similarity
56959,<|end_header_id|>,0.8454056
92928,<|start_header_id|>,0.8718116
51947,<|eot_id|>,0.9335954
1876,<|eom_id|>,0.9384665
11597,<|python_tag|>,0.94859993
51647,<|end_of_text|>,0.96119726
36848,ÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂł,0.9738507
5824,Ġ[âĢ¦]Ċ,0.9761474
64725,ÂłÂłĊ,0.97650045
22413,Âłin,0.9777709
52985,ÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂł,0.9778739
91204,ĠâĢ¦Ċ,0.9781275
82398,ÂłÂłÂłÂłÂłÂłÂłÂłÂłÂłÂł,0.9781408
105409,ÂĴ,0.9782137
45594,ÂłÂłÂłÂłÂłÂłÂł,0.9786277
98568,ÂłÂłÂłÂłÂłÂłÂłÂł,0.9788069
92457,lÄ±klarÄ±,0.9793908
78035,lamaktadÄ±r,0.9794162
65722,iyesi,0.9794467
91243,rÃ¡lnÃŃ,0.97949624
123933,sahuje,0.97949713
114226,Ġ:)ĊĊ,0.97950006
12884,ĠGiá»,0.97950864
72177,Ã¡tnÃŃ,0.97952706
93451,Ð´Ð¸Ð²Ð¸Ð´Ñĥ,0.9795394
71481,ĠØ§Ø¨Ø±Ø§Ùĩ,0.9795445
46944,İ·åıĸ,0.9795538
70223,ÑĥÐ²Ð°ÑĤÐ¸ÑģÑı,0.9795587
31644,Ä±msÄ±z,0.97955894
44314,lÄ±klar,0.9795637
51747,ÂłĠÂł,0.97956866
33171,Ã¡tky,0.97957474
101346,Ã¡vacÃŃ,0.9795793
84035,Ŀå§ĭåĮĸ,0.9795805
82011,Ä±ldÄ±ÄŁÄ±,0.9795881
29355,<|reserved_special_token_65|>,0.9795995
38287,<|reserved_special_token_97|>,0.9795995
71520,<|reserved_special_token_137|>,0.9795995
105911,<|reserved_special_token_223|>,0.9795995
864,<|reserved_special_token_246|>,0.97959954
11704,ú,0.9795996
68245,<|reserved_special_token_151|>,0.9795996
58775,<|reserved_special_token_101|>,0.97959965
80766,<|reserved_special_token_3|>,0.97959965
10528,<|reserved_special_token_18|>,0.9795997
58436,<|reserved_special_token_43|>,0.9795997
86914,<|reserved_special_token_92|>,0.9795997
107713,<|reserved_special_token_213|>,0.9795997
38413,<|reserved_special_token_165|>,0.9795998
68693,<|reserved_special_token_183|>,0.9795998
76774,<|reserved_special_token_59|>,0.9795998
88891,<|reserved_special_token_161|>,0.9795998
2731,<|reserved_special_token_86|>,0.97959983
28201,<|reserved_special_token_205|>,0.97959983
28359,<|reserved_special_token_134|>,0.97959983
36580,<|reserved_special_token_104|>,0.97959983
37716,<|reserved_special_token_231|>,0.97959983
59512,<|reserved_special_token_49|>,0.97959983
99082,<|reserved_special_token_122|>,0.97959983
116846,<|reserved_special_token_89|>,0.97959983
60155,<|reserved_special_token_78|>,0.9795999
88448,<|reserved_special_token_110|>,0.9795999
98513,<|reserved_special_token_26|>,0.9795999
118717,<|reserved_special_token_13|>,0.9795999
2277,<|reserved_special_token_200|>,0.97959995
4041,<|reserved_special_token_158|>,0.97959995
4215,<|reserved_special_token_245|>,0.97959995
9607,<|reserved_special_token_128|>,0.97959995
19899,<|reserved_special_token_233|>,0.97959995
25372,<|reserved_special_token_124|>,0.97959995
30553,<|reserved_special_token_163|>,0.97959995
33812,<|reserved_special_token_10|>,0.97959995
34350,<|reserved_special_token_227|>,0.97959995
34697,<|reserved_special_token_70|>,0.97959995
45237,<|reserved_special_token_29|>,0.97959995
54252,<|reserved_special_token_208|>,0.97959995
73584,<|reserved_special_token_30|>,0.97959995
81695,<|reserved_special_token_241|>,0.97959995
90584,<|reserved_special_token_155|>,0.97959995
92687,<|reserved_special_token_140|>,0.97959995
102129,<|reserved_special_token_67|>,0.97959995
109266,<|reserved_special_token_207|>,0.97959995
109273,<|reserved_special_token_169|>,0.97959995
110084,<|reserved_special_token_136|>,0.97959995
111893,<|reserved_special_token_99|>,0.97959995
113806,<|reserved_special_token_114|>,0.97959995
121416,<|reserved_special_token_127|>,0.97959995
2916,<|reserved_special_token_184|>,0.9796
7168,<|reserved_special_token_120|>,0.9796
7982,<|reserved_special_token_148|>,0.9796
17999,<|reserved_special_token_154|>,0.9796
42601,<|reserved_special_token_211|>,0.9796
47815,<|reserved_special_token_96|>,0.9796
61812,<|reserved_special_token_83|>,0.9796
72729,ù,0.9796
116244,<|reserved_special_token_36|>,0.9796
1868,<|reserved_special_token_215|>,0.9796001
25004,Û±Û,0.9796001
42574,<|reserved_special_token_198|>,0.9796001
53039,<|reserved_special_token_220|>,0.9796001
60708,<|reserved_special_token_178|>,0.9796001
76183,<|reserved_special_token_103|>,0.9796001
82066,<|reserved_special_token_27|>,0.9796001
94449,<|reserved_special_token_73|>,0.9796001
105856,<|reserved_special_token_105|>,0.9796001
109782,<|reserved_special_token_186|>,0.9796001
125857,<|reserved_special_token_189|>,0.9796001
8746,<|reserved_special_token_193|>,0.97960013
20655,<|reserved_special_token_42|>,0.97960013
22003,Á,0.97960013
30720,<|reserved_special_token_226|>,0.97960013
36592,<|reserved_special_token_203|>,0.97960013
44426,<|reserved_special_token_192|>,0.97960013
56375,<|reserved_special_token_144|>,0.97960013
63723,õ,0.97960013
99872,<|reserved_special_token_8|>,0.97960013
2118,<|reserved_special_token_172|>,0.9796002
6585,<|reserved_special_token_219|>,0.9796002
6897,<|reserved_special_token_180|>,0.9796002
7712,<|reserved_special_token_197|>,0.9796002
18872,<|reserved_special_token_235|>,0.9796002
21342,<|reserved_special_token_130|>,0.9796002
24115,<|reserved_special_token_14|>,0.9796002
32445,<|reserved_special_token_47|>,0.9796002
38670,<|reserved_special_token_117|>,0.9796002
38729,û,0.9796002
48239,<|reserved_special_token_119|>,0.9796002
74828,<|reserved_special_token_162|>,0.9796002
75709,<|reserved_special_token_50|>,0.9796002
92511,<|reserved_special_token_58|>,0.9796002
124424,<|reserved_special_token_147|>,0.9796002
7321,<|reserved_special_token_35|>,0.97960025
48906,<|reserved_special_token_139|>,0.97960025
53001,<|reserved_special_token_11|>,0.97960025
