token_id,token,cosine_similarity
77438,Ġfrightened,0.6388843
29095,Ġfifteen,0.66482097
77645,"""In",0.666911
40857,Ġannoyed,0.6723136
114682,Ġterrified,0.6784711
150341,"""The",0.6789384
53239,âĢĶin,0.679386
105481,Ġthirty,0.6805871
5142,âĢĶwith,0.6866598
50777,Ġtwenty,0.6885747
3231,Ġforty,0.69668996
30793,âĢĶthe,0.6983389
47192,"""This",0.6983462
79814,Ġeleven,0.6986231
19845,"âĢĿ,",0.70095867
63344,Ġscared,0.70191616
24370,Ġutilizes,0.70320666
40034,Ġdeclaring,0.70434207
129804,Ġfacilitates,0.70500094
131680,Ġfacilitating,0.70655894
104553,Ġdiffers,0.7072147
38159,âĢĶit,0.7073977
83028,Ġoriginates,0.7076527
104646,Ġterrifying,0.7100259
32274,Ġnortheast,0.7119395
120227,###,0.7121891
65904,âĢĶthat,0.71465254
87512,Ġthirteen,0.7153034
105064,âĢĶwhich,0.7161413
66508,Ġenables,0.71741664
135374,Ġfourteen,0.7178991
109342,Ġemploys,0.71963316
94467,"âĢ¦""",0.7198645
18229,Ġsimulate,0.7198882
68293,Furthermore,0.71995425
80083,Ġpossesses,0.7217453
140314,Ġfifty,0.72249603
70876,Ġcomprise,0.7226709
52730,Ġ###,0.72289383
91567,Ġextraordinarily,0.7239342
56398,âĢĶand,0.7241927
113465,Ġsixteen,0.7251997
124039,Although,0.7262257
90904,âĢĶincluding,0.7266295
151272,ĠFurthermore,0.727708
24031,"."",",0.72772485
145108,"""A",0.7280195
35316,Ġevaluating,0.72854424
145612,âĢĶan,0.7288901
36905,Ġteenagers,0.7293715
96191,Ġtwelve,0.7294153
148898,Ġannouncing,0.7296701
146458,Ġfrightening,0.7300742
18277,Ġurging,0.73040617
85364,âĢĶas,0.7309953
129237,"""I",0.73186755
111796,Ġdeterioration,0.7325652
76080,Ġcomprises,0.73311174
9459,Ġyummy,0.7331643
144128,Ġassisting,0.7334882
110166,Ġdisrupting,0.7337781
92633,Ġintegrates,0.73405004
11043,Ġassessing,0.7355351
89547,Ġanalyzing,0.7358486
122849,Ġadvocating,0.73623407
24338,Ġresides,0.73652893
6709,Ġscary,0.7367549
33076,Ġsouthwest,0.7376572
2029,Ġsixty,0.73830104
65394,Ġreinforces,0.73876476
150254,Ġnorthwest,0.7389567
35088,Ġdevastation,0.7391967
22058,Ġoriginate,0.73957783
114911,ĠUnfortunately,0.74009633
35575,Ġrenovations,0.7405151
115170,Ġfacilitate,0.74086803
149153,-four,0.74087656
135827,Ġencompasses,0.7409382
47037,âĢĶfrom,0.7413738
46799,Ġpuzzled,0.7419705
124922,Ġaiding,0.74216676
121403,Ġacknowledging,0.7425955
112040,Ġworried,0.74301594
89176,Also,0.74322665
104991,Ġveggies,0.7441523
96534,Ġcelebrates,0.7442291
25416,Ġtasty,0.7447934
50898,Ġastonishing,0.744988
111920,Ġbiking,0.7455548
40265,""".Ċ",0.7457343
11838,âĢĿ.,0.74650145
26156,Ġremarkably,0.7471845
23476,Ġprevents,0.7475775
69449,ĠConversely,0.7479627
2678,ĠĠĠĊ,0.7480799
47507,Ġcontemplating,0.7483729
151490,Ġdeclares,0.74844944
137250,Ġgigantic,0.74868834
97223,/B,0.74874204
30091,Despite,0.7488563
151116,Ġsuffered,0.7493908
36736,Ġurges,0.749593
107111,Ġstartled,0.7499622
145914,Ġshocked,0.7499913
103620,âĢĶa,0.75083953
112777,Ġdisappears,0.7508917
11846,Ġcyclists,0.7510969
64850,Ġdemonic,0.75116634
115120,Ġpredictions,0.751197
70236,Ġdefines,0.7511999
49971,Ġfreeway,0.7512785
31334,Ġyelling,0.7514036
116397,Ġbewild,0.75189286
59462,Ġprotesters,0.75286543
77016,Ġtoddler,0.75318134
51355,"...""ĊĊ",0.7535921
144768,"...""Ċ",0.75360966
3054,Ġterminates,0.7537296
151160,Ġinconsistencies,0.75414944
126749,Ġclimbs,0.7542595
48743,Ġdecreasing,0.7545463
5436,Ġlends,0.7546997
63421,Ġinstalling,0.75472647
30556,Ġethnicity,0.7547495
138639,Ġconsiderably,0.7547818
66368,Ġreacting,0.75484264
40262,.B,0.7552028
11325,Ġdenote,0.7552539
130287,Ġcomprising,0.75535893
135402,Ġstares,0.75559545
148011,this,0.7557533
29202,Ġexpands,0.7559661
26116,Are,0.7559736
21689,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,0.75621724
27101,âĢĶall,0.7565943
116967,"!""Ċ",0.7573289
77844,"?"",",0.7576223
84842,Ġspecifying,0.7577641
144319,Ġseventeen,0.7578913
30643,Ġproclaim,0.75803876
6914,âĢĶone,0.7581289
95741,Ġrepairing,0.7581452
14118,Ġbattling,0.7581781
87447,!!!,0.7582927
18100,Ġdestroyed,0.7583436
138096,Ġincredible,0.75839144
75478,Ġoccurs,0.7584536
53456,Ġsadness,0.7584756
129641,âĢĻt,0.7585677
118045,Ġrenovation,0.7586067
12845,Ġchatting,0.7588093
84755,Ġembodies,0.7589001
11282,ĠThailand,0.7590213
74421,Ġirritation,0.75913775
107942,Ġexplosions,0.7592044
120727,which,0.75928354
32001,Ġslid,0.7594669
70562,Ġcreepy,0.75966966
93945,Ġdenotes,0.7598872
150058,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,0.7603991
96927,Ġtwenties,0.7604914
26651,ĠĠĠĠĠĠĠĠĠĠĠ,0.760584
16820,Ġautomobiles,0.7607553
151457,Ġteenager,0.7610482
65258,Ġstrangely,0.76107985
13706,Ġsidewalks,0.7610856
90696,.'ĊĊ,0.76129305
72105,Ġsoutheast,0.76188886
109250,Ġoptimizing,0.7622011
86023,Ġabnormalities,0.76239264
127384,Ġpredominant,0.7624003
14895,Ġoverseeing,0.7624316
69870,Ġmodifications,0.76245254
7659,Ġmedications,0.76276475
46026,Ġcommunicates,0.76276547
46816,Ġresponded,0.76278335
107249,Ġsmartphones,0.7631022
46822,Ġplethora,0.7631602
118583,When,0.7631606
33171,Ġexplores,0.7634134
26788,Ġenthusiastically,0.7634278
47664,Ġturmoil,0.76350355
84561,from,0.76359874
149323,Ġamazing,0.7636111
123902,Ġadvising,0.7637552
57656,Ġrelate,0.76378936
61296,Ġalarmed,0.7638189
120987,âĢĶis,0.76401186
16358,Have,0.7641826
128259,Ġawaits,0.7642888
70836,ĠHave,0.7643737
12544,Other,0.76458514
11739,when,0.7646923
112221,Ġseventy,0.76472205
48180,Ġdiscusses,0.76475763
110798,Ġeighty,0.76488113
103105,Ġconfigurations,0.7649809
140286,also,0.7650086
121867,Ġrelates,0.76530904
30745,Ġadvises,0.7653873
149671,Can,0.7653903
102397,Ġmonstrous,0.76552224
62737,Ġgoofy,0.7655249
130427,Ġdocumenting,0.76560557
81271,ĠWiFi,0.76573145
52138,Ġretains,0.7658414
111502,Ġmerges,0.7659153
97850,"""What",0.7659385
16548,Ġirritated,0.7659776
26481,Ġshouting,0.76628774
8230,Ġreinforce,0.7663055
47238,Ġoperates,0.7663536
118911,Ġenabling,0.7663827
123202,Ġsouthwestern,0.766405
51825,Ġcalves,0.7665459
88244,Ġsorrow,0.7667409
29334,However,0.7670758
54176,Ġrelating,0.76708734
146900,ĠSimilarly,0.76725924
32398,Ġeliminating,0.7673038
37215,Several,0.76731217
49032,Ġteenage,0.7674537
92471,Ġprotects,0.76752716
52476,Ġridiculous,0.7676804
119128,Ġmanipulating,0.76799446
117562,Ġwarns,0.7680657
85408,/M,0.7680907
124319,Ġcolder,0.7681079
476,ĠBesides,0.7681964
10163,Ġdiscussing,0.7682178
118780,Check,0.76822406
95574,Ġboasting,0.768365
99287,Ġhauling,0.7685177
49014,for,0.7685928
67096,Ġexecuting,0.7687087
33932,/S,0.76870996
97253,Ġutilize,0.76883435
57576,Ġmodification,0.7688714
90913,Ġunhappy,0.7689508
93330,Ġmodify,0.76909655
15863,-six,0.7693452
6026,Ġresidences,0.76939654
36185,Ġfemales,0.7694035
134344,ĠEuros,0.7696396
13667,that,0.76967156
44614,Ġaccumulating,0.76970035
148458,what,0.76975274
14292,Ġterminating,0.76981467
82197,Ġintroducing,0.7698346
64222,/L,0.76984084
142096,Ġ($,0.7698738
141421,Ġaccomplishments,0.7700064
149421,"""You",0.77001345
24943,Ġmyriad,0.77023005
46414,Ġattacking,0.77033544
84326,Ġbrilliantly,0.77033544
104666,Ġeighteen,0.77038324
108793,Ġunsure,0.7705574
112637,ĠUsually,0.7707668
107316,Ġdisruption,0.77087736
141793,ĠĠĠĠĠĠĠ,0.77089155
67951,Ġoccurring,0.7708994
87310,Ġgrabbing,0.7710344
119336,Ġdisrupt,0.7710804
79546,Ġsupermarket,0.7711183
102368,Ġstimulating,0.7711921
113898,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,0.77119607
53685,.M,0.7711973
132554,!!,0.77122974
41770,.L,0.77126545
131984,Ġpromotes,0.7713476
34565,ĠInitially,0.7713684
101504,Ġinferred,0.77151954
20336,Ġexplanations,0.77169883
