question_id,original_arg,model_setting,og_correct,substitution_hop,neg_outcome,pos_outcome,correct
747,racket,lm_Qwen2.5_7B_Instruct,TRUE,1,1,1,TRUE
747,racket,vlm_text_qwen2.5VL,TRUE,1,1,1,TRUE
9985,microwave,lm_Qwen2.5_7B_Instruct,TRUE,1,1,1,TRUE
9985,microwave,lm_Qwen2.5_7B_Instruct,TRUE,2,1,1,TRUE
9985,microwave,lm_Qwen2.5_7B_Instruct,TRUE,3,1,1,TRUE
9985,microwave,vlm_text_qwen2.5VL,TRUE,1,1,1,TRUE
9985,microwave,vlm_text_qwen2.5VL,TRUE,2,1,1,TRUE
9985,microwave,vlm_text_qwen2.5VL,TRUE,3,1,1,TRUE
9986,microwave,lm_Qwen2.5_7B_Instruct,TRUE,1,1,1,TRUE
9986,microwave,lm_Qwen2.5_7B_Instruct,TRUE,2,1,1,TRUE
9986,microwave,lm_Qwen2.5_7B_Instruct,TRUE,3,1,1,TRUE
9986,microwave,vlm_text_qwen2.5VL,TRUE,1,1,1,TRUE
9986,microwave,vlm_text_qwen2.5VL,TRUE,2,1,1,TRUE
9986,microwave,vlm_text_qwen2.5VL,TRUE,3,1,1,TRUE
9988,microwave,lm_Qwen2.5_7B_Instruct,TRUE,1,1,0,FALSE
9988,microwave,lm_Qwen2.5_7B_Instruct,TRUE,2,1,1,TRUE
9988,microwave,lm_Qwen2.5_7B_Instruct,TRUE,3,1,0,FALSE
9988,microwave,vlm_text_qwen2.5VL,TRUE,1,1,1,TRUE
9988,microwave,vlm_text_qwen2.5VL,TRUE,2,1,1,TRUE
9988,microwave,vlm_text_qwen2.5VL,TRUE,3,1,1,TRUE
14551,snowboard,lm_Qwen2.5_7B_Instruct,TRUE,1,1,1,TRUE
14551,snowboard,vlm_text_qwen2.5VL,TRUE,1,1,1,TRUE
14553,snowboard,vlm_text_qwen2.5VL,TRUE,1,0,1,FALSE
14573,coat,lm_Qwen2.5_7B_Instruct,TRUE,1,1,1,TRUE
14573,coat,lm_Qwen2.5_7B_Instruct,TRUE,2,1,1,TRUE
14573,coat,vlm_text_qwen2.5VL,TRUE,1,1,1,TRUE
14573,coat,vlm_text_qwen2.5VL,TRUE,2,1,1,TRUE
14576,coat,lm_Qwen2.5_7B_Instruct,TRUE,1,0,0,FALSE
14576,coat,lm_Qwen2.5_7B_Instruct,TRUE,2,1,0,FALSE
14576,coat,vlm_q_only_qwen2.5VL,TRUE,1,1,1,TRUE
14576,coat,vlm_q_only_qwen2.5VL,TRUE,2,1,1,TRUE
14576,coat,vlm_text_qwen2.5VL,TRUE,1,0,1,FALSE
14576,coat,vlm_text_qwen2.5VL,TRUE,2,1,0,FALSE
17750,cat,lm_q_only_Qwen2.5_7B_Instruct,TRUE,1,1,0,FALSE
17750,cat,lm_q_only_Qwen2.5_7B_Instruct,TRUE,2,1,0,FALSE
17750,cat,lm_q_only_Qwen2.5_7B_Instruct,TRUE,3,0,0,FALSE
17750,cat,lm_q_only_Qwen2.5_7B_Instruct,TRUE,4,1,0,FALSE
17750,cat,vlm_q_only_qwen2.5VL,TRUE,1,1,1,TRUE
