item,label,p_yes
1,Yes,0.5424089431762695
2,Yes,0.6713658571243286
3,Yes,0.5508185625076294
4,Yes,0.7008476257324219
5,No,0.054320357739925385
6,No,0.06457997858524323
7,No,0.052866626530885696
8,No,0.04423045367002487
9,No,0.03336701542139053
10,No,0.026600057259202003
11,No,0.03402964025735855
12,No,0.02282663621008396
13,No,0.08842206001281738
14,No,0.08160851150751114
15,No,0.04691578075289726
16,No,0.04171111807227135
17,No,0.4229947626590729
18,No,0.41942098736763
19,No,0.26442915201187134
20,No,0.3392582833766937
21,No,0.05149098485708237
22,No,0.05296802148222923
23,No,0.02310013584792614
24,No,0.022043397650122643
25,No,0.22372955083847046
26,No,0.23521919548511505
27,No,0.11807030439376831
28,No,0.11722537130117416
29,No,0.2362743318080902
30,No,0.22095054388046265
31,No,0.1158442571759224
32,No,0.09417963773012161
33,No,0.28236642479896545
34,No,0.19503101706504822
35,No,0.10693943500518799
36,No,0.09656830877065659
37,No,0.07198271155357361
38,No,0.050257984548807144
39,No,0.03923135623335838
40,No,0.04402579739689827
41,No,0.0478324256837368
42,No,0.03516751527786255
43,No,0.033155787736177444
44,No,0.026809686794877052
45,No,0.38897594809532166
46,No,0.34933650493621826
47,No,0.17113620042800903
48,No,0.13492590188980103
49,No,0.32370051741600037
50,No,0.2635497748851776
51,No,0.14824751019477844
52,No,0.10624335706233978
53,No,0.2168923318386078
54,No,0.19295436143875122
55,No,0.02987557463347912
56,No,0.02676662988960743
57,No,0.1687595695257187
58,No,0.07959392666816711
59,No,0.04948880523443222
60,No,0.05849159508943558
61,No,0.025248616933822632
62,No,0.01875372789800167
63,No,0.021831756457686424
64,No,0.015912706032395363
65,No,0.16386358439922333
66,No,0.16744254529476166
67,No,0.07865262031555176
68,No,0.07822699844837189
69,No,0.32370051741600037
70,No,0.2635497748851776
71,No,0.14824751019477844
72,No,0.10624335706233978
73,No,0.025840749964118004
74,No,0.01597384735941887
75,No,0.016838524490594864
76,No,0.011250982992351055
77,No,0.24092772603034973
78,No,0.19003000855445862
79,No,0.05466748774051666
80,No,0.05237848684191704
81,No,0.08266854286193848
82,No,0.052707575261592865
83,No,0.078101746737957
84,No,0.0452103428542614
85,No,0.3555983304977417
86,No,0.3962419331073761
87,No,0.262646347284317
88,No,0.2592933177947998
89,No,0.049599822610616684
90,No,0.027335189282894135
91,No,0.034505318850278854
92,No,0.02005774714052677
93,No,0.16885948181152344
94,No,0.0946585163474083
95,No,0.10471940785646439
96,No,0.08225047588348389
97,No,0.28660687804222107
98,No,0.19093121588230133
99,No,0.1423635482788086
100,No,0.12262150645256042
101,No,0.18313631415367126
102,No,0.11733420193195343
103,No,0.09027931094169617
104,No,0.07114718109369278
105,No,0.08504508435726166
106,No,0.052309583872556686
107,No,0.057969920337200165
108,No,0.0405566468834877
109,No,0.3528258800506592
110,No,0.2831551134586334
111,No,0.33002281188964844
112,No,0.21642065048217773
113,No,0.13871344923973083
114,No,0.09639370441436768
115,No,0.07716670632362366
116,No,0.0580301471054554
117,No,0.18354806303977966
118,No,0.22143489122390747
119,No,0.1926288902759552
120,No,0.16564922034740448
121,No,0.22575609385967255
122,No,0.11194413900375366
123,No,0.116761215031147
124,No,0.08924329280853271
