token_id,token,cosine_similarity
72995,<|endoftext|>,0.8743761
117744,à¹ģà¸¥à¸°,0.9258977
68281,....Ċ,0.92774403
122079,Ġà¹ģà¸¥à¸°,0.93321913
145270,ĠÐ¸,0.9334691
140358,âĢ¦Ċ,0.9380896
46345,âĢ¦.,0.93965834
83085,ĉthis,0.9403991
67202,ï»¿using,0.9431256
20105,ĠĊĊĊ,0.94534665
29607,ĠĠĠĠĠĠĠĠĊĊ,0.94689846
103275,Ġ×ķ,0.9470185
86446,ãĢĤï¼Ī,0.949056
114318,ç¾İèģĶåĤ¨,0.9491289
144017,âĢ¦..,0.9494525
114921,}ĊĊĊ,0.94990706
102527,âĢķâĢķ,0.95012176
141882,æĿİæŁĲ,0.95040953
9990,;ĊĊĊ,0.9504489
102447,ĉprint,0.95093423
95849,ĠÐĶÐ»Ñı,0.9515078
16629,âĢĭ,0.95248425
95353,ĉwhile,0.95282507
39548,ĉtry,0.95284873
83808,Ġ:)Ċ,0.95322967
141321,",int",0.95350075
76662,ĉpublic,0.9536779
8741,ĉwith,0.95387137
36791,âĢĮ,0.953916
81459,ĠĊĊĊĊ,0.9540168
102780,.ĊĊĊĊĊĊ,0.95430154
60317,"Â»,",0.95431894
71166,Ġ/**,0.95462847
125872,Ġ}ĊĊĊ,0.9547503
125064,æ²¡æľīå¤ªå¤§,0.95476294
102743,ØĮ,0.95482254
2572,.ĊĊĊĊ,0.9548301
84131,",G",0.9548429
78582,å¼łæŁĲ,0.954933
141461,')ĊĊĊ,0.95523727
3746,",P",0.95532477
138370,ĠÐļÐ°Ðº,0.95573753
110242,è½¦ä¼ģ,0.9558102
150653,)ĊĊĊĊ,0.95596135
105260,Â».,0.95614266
109135,ĠØĮ,0.9566859
62621,ĉthe,0.9567193
40739,åįĩçº§æĶ¹éĢł,0.9567948
95347,$this,0.95680547
67328,å®ŀè®Ń,0.9568065
27317,Ġ.....,0.9570321
12067,ä¸įä»ħå¦ĤæŃ¤,0.95720047
34375,ĠĠĠĠĠĠĠĠĊĠĠĠĠĠĠĠĠĊ,0.95722866
107662,ä¹Łä¸įéĶĻ,0.95733523
48453,Ā,0.9574945
40142,çļĩé©¬,0.9575635
69289,ä¿¡è®¿,0.9576767
124540,ÂĴ,0.95767796
18670,è¯Ĭæ²»,0.95771325
22703,ĠĠĠĠĠĠĠĠĠĠĠĊ,0.95780224
94400,ĠâĢķ,0.95784384
68481,è¢«åĳĬäºº,0.9578904
126128,ĠãĢĲ,0.9579939
86515,åİŁåĳĬ,0.95799994
112899,ĠÐ¸Ð»Ð¸,0.95802563
103809,"ĠÂ»,",0.9580382
106191,æĪªèĩ³çĽ®åīį,0.95809746
70839,å¸ħæ°Ķ,0.95813274
72342,æ±½è½¦äº§ä¸ļ,0.9581485
130289,å°ıä¼ĻåŃĲ,0.9581527
109348,à¸Ĥà¸Ńà¸ĩ,0.9581597
27046,Ġ×ľ,0.9581735
44737,ä¸»åĬĽåĨĽ,0.95831215
84461,èħ¾é£ŀ,0.9584093
146406,é«ĺéĢŁå¢ŀéķ¿,0.9585329
21984,",!",0.958534
34256,ĠĠĠĠĊĠĠĠĠĊ,0.95859134
123175,ĠØ¯Ø±,0.95870924
114310,ç½ĳåºĹ,0.9588052
13320,ä¸¾åĬŀäºĨ,0.9588847
95120,ç»Ŀå¯¹æĺ¯,0.9590476
45982,ĠÐ§ÑĤÐ¾,0.95905095
26757,){ĊĊ,0.9590703
23511,ĠÐ¢Ð°Ðº,0.95909965
22804,ĠÐ½Ðµ,0.95916986
5340,",H",0.9593315
91134,éĿŀéģĹ,0.9594114
91131,éļĨéĩį,0.95941854
2125,å®īå¾½çľģ,0.95950854
26515,ĉand,0.9595302
150119,ä»İä¸ļäººåĳĺ,0.95958
140837,ĊĊĊĊ,0.959584
69149,ĠâĢ¦.,0.95964116
51909,Ġë°ı,0.9596822
97148,åħīä¼ıåıĳçĶµ,0.95968705
77314,ç§¯æ·Ģ,0.95970243
73922,âĢİ,0.95978224
139542,åİ»åĮ»éĻ¢,0.95982677
88109,?s,0.9598656
55158,Ġ[âĢ¦,0.9598838
67731,î,0.9599253
124964,ä¿Ŀé©¾æĬ¤èĪª,0.95998514
74493,åĪĺæŁĲ,0.96001613
11335,Ġ×©×ľ,0.96006584
49704,éĽĨèģļ,0.9600794
28506,ĉĉĉĉĊ,0.9600986
64093,æĪ¿ä¼ģ,0.9601227
30744,æį®æĤī,0.960144
131387,",self",0.9601593
7080,è§Ĥæĳ©,0.96022344
142654,è¯±åıĳ,0.9604281
26416,æ´½è°Ī,0.9604766
82896,ĉin,0.9605245
71934,è¿ĳåĩłå¹´,0.9605431
69633,å®īåħ¨äºĭæķħ,0.9605535
124801,é©¾é©¶è¯ģ,0.96063673
45362,å¼Ģå±ķäºĨ,0.9607409
23403,ĉString,0.9607724
24259,ä¹ĻèĤĿ,0.9607794
62042,å°±åı¯ä»¥äºĨ,0.96078736
