item,label,p_yes
1,Yes,0.842818558216095
2,Yes,0.9353836178779602
3,Yes,0.7785431146621704
4,Yes,0.9017801880836487
5,No,8.04381397756515e-06
6,No,1.005065132630989e-05
7,No,2.3261254682438448e-05
8,No,3.568084503058344e-05
9,No,1.4001749377712258e-06
10,No,2.9988486858201213e-06
11,No,9.564874744683038e-06
12,No,1.3867147572454996e-05
13,No,4.761476520798169e-05
14,No,3.4779979614540935e-05
15,No,6.462855526478961e-05
16,No,4.295543840271421e-05
17,Yes,0.7590996026992798
18,Yes,0.6978898644447327
19,No,0.10378675162792206
20,No,0.39371955394744873
21,No,5.881646757188719e-06
22,No,3.322153361295932e-06
23,No,9.371602573082782e-06
24,No,1.0119201760971919e-05
25,No,0.05990957096219063
26,No,0.11256381869316101
27,No,0.0008395412005484104
28,No,0.0008825419354252517
29,No,0.01475949864834547
30,No,0.01718132384121418
31,No,0.0019110196735709906
32,No,0.00016374838014598936
33,No,0.003047976642847061
34,No,0.00023271182726603001
35,No,2.3396702090394683e-05
36,No,2.234030580439139e-05
37,No,3.2001727959141135e-05
38,No,5.908600542170461e-06
39,No,7.862921847845428e-06
40,No,1.148116552940337e-05
41,No,7.701057256781496e-06
42,No,5.3071530601300765e-06
43,No,7.918201845313888e-06
44,No,8.085207809926942e-06
45,No,0.07195064425468445
46,No,0.016138466075062752
47,No,0.000216014712350443
48,No,5.682656410499476e-05
49,No,0.025957519188523293
50,No,0.006610229145735502
51,No,0.000128936895634979
52,No,4.973515751771629e-05
53,No,0.0019492909777909517
54,No,0.0016627993900328875
55,No,1.52137481563841e-05
56,No,1.887043435999658e-05
57,No,0.0008794329478405416
58,No,0.00044623896246775985
59,No,8.972991054179147e-05
60,No,0.00028035699506290257
61,No,2.7814789973490406e-06
62,No,2.9642772005900042e-06
63,No,8.13472070149146e-06
64,No,6.902145287313033e-06
65,No,7.658565300516784e-05
66,No,0.0002762324293144047
67,No,4.568303484120406e-05
68,No,6.407393811969087e-05
69,No,0.025957519188523293
70,No,0.006610229145735502
71,No,0.000128936895634979
72,No,4.973515751771629e-05
