question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4
2885015,existAttrC,airplane,aircraft,topping,necklace,garnish,bench
19735424,existAttr,airplane,vehicle,ring,partition,robe,counter
11109100,existAttr,antelope,animal,garment,shelter,cooker,covering
11109103,existAttrNot,antelope,mammal,vest,drum,cheese,sweatshirt
11109093,exist,antelope,vertebrate,swimsuit,horizontal surface,pole,highway
141006802,existAttrNotC,apple,food,shirt,cockpit,oven,pole
2800494,existAttrC,apple,fruit,passage,ornament,structure,orange
2394562,exist,baby,child,barrier,equine,berry,sheet
9834625,existThatNotC,baby,person,woman,guy,equine,elephant
13648928,existThatC,backpack,bag,bat,horizontal surface,motorcycle,receptacle
11366950,exist,backpack,container,vase,earring,facility,truck
3606920,existAttrNotC,bag,container,fixture,cap,water,seat
31054042,exist,ball,equipment,sheet,water vehicle,protective covering,broccoli
121044407,existThat,ball,sports equipment,jar,notepad,sink,toilet
5568207,existThatC,banana,food,comforter,cattle,sail,sword
15597425,existAttrNotC,banana,fruit,root vegetable,apple,citrus fruit,vegetable
9555606,existAttr,baseball,game,flower,floor,entrance,placemat
9844230,exist,bat,club,car,antenna,feline,tool
91048899,existThatC,bat,stick,sweatshirt,decoration,bedding,root vegetable
17891423,exist,bear,animal,room,branch,bathtub,glove
10201563,existAttrC,bear,mammal,pizza,oven,stove,equipment
15526435,existAttr,bear,vertebrate,bell,appliance,lid,electronic device
8553621,existAttrC,bed,bedroom furniture,building,floor,pizza,work surface
16389069,existAttrC,bed,furniture,coffee,ornament,clock,band
18484494,exist,beer,alcohol,shelf,eagle,racket,bun
18484494,exist,beer,beverage,hose,percussion instrument,ornament,surfer
12603139,existMaterialC,bench,furniture,tube,vertebrate,device,art
15876232,existThat,bench,seat,dock,club,table,wall
356793,exist,bicycle,vehicle,couch,salad green,drawer,lid
356792,exist,bicycle,wheeled vehicle,table,passage,way,soup
19985399,existThat,bike,motor vehicle,paved surface,source of illumination,curtain,ship
2732864,existAttrNot,bike,vehicle,cap,racket,beverage,apple
7526192,existThat,bike,wheeled vehicle,shoe,dock,bedroom furniture,helmet
830784,exist,biker,person,fence,dairy product,sink,beverage
830784,exist,biker,traveler,aircraft,berry,watch,kettle
4536298,existAttrC,bird,animal,breakfast food,elephant,tool,piece of cloth
7338856,exist,bird,vertebrate,swimsuit,child,walk,cookie
10137159,exist,blanket,bedding,horizontal surface,couple,jersey,surfer
5741475,existAttrC,blanket,covering,sausage,computer,furniture,counter
1436514,exist,blender,kitchen utensil,brush,countertop,airplane,baggage
690876,existThat,blender,mixer,toothbrush,pan,food,burner
690875,existAttr,blender,utensil,paddle,card,poster,apron
316554,existMaterialC,boat,vehicle,comforter,crosswalk,decoration,pen
6969051,existAttrNot,boat,water vehicle,garment,wheeled vehicle,jar,tube
11194033,existAttr,bottle,container,cup,fixture,beard,fan
4644950,exist,bottle,vessel,room,tube,canoe,protective garment
1517453,exist,bread,baked good,highway,bookshelf,counter,partition
1517452,exist,bread,food,zebra,surfer,canoe,camera
314074,exist,bridge,structure,bedding,oven,gravel,sweet
984558,exist,broccoli,food,book,sink,bridge,pen
1601621,existAttrNotC,broccoli,produce,access,percussion instrument,equine,doll
1601618,existAttrC,broccoli,vegetable,laptop,roadway,stringed instrument,water vehicle
12525676,existAttrNotC,bus,motor vehicle,rock,water,cheese,fruit
9775714,existAttr,bus,vehicle,package,fireplace,breakfast food,hose
12525644,exist,bus,wheeled vehicle,dairy product,sweater,crosswalk,skateboarder
