item,category_id,parent_id,ns_id,category,parent,phrasing_id,question,category_item,parent_item
1,1,1,ns_1,bedspread,protective covering,1,Is it true that bedspreads are protective coverings?,bedspreads,protective coverings
2,1,1,ns_1,bedspread,protective covering,2,Is it true that a bedspread is a protective covering?,bedspread,protective covering
3,1,1,ns_1,bedspread,protective covering,3,Is it true that bedspreads are a type of protective covering?,bedspreads,protective covering
4,1,1,ns_1,bedspread,protective covering,4,Is it true that a bedspread is a type of protective covering?,bedspread,protective covering
5,1,1,ns_2,bedspread,boat,1,Is it true that bedspreads are boats?,bedspreads,boats
6,1,1,ns_2,bedspread,boat,2,Is it true that a bedspread is a boat?,bedspread,boat
7,1,1,ns_2,bedspread,boat,3,Is it true that bedspreads are a type of boat?,bedspreads,boat
8,1,1,ns_2,bedspread,boat,4,Is it true that a bedspread is a type of boat?,bedspread,boat
9,1,1,ns_3,bedspread,car,1,Is it true that bedspreads are cars?,bedspreads,cars
10,1,1,ns_3,bedspread,car,2,Is it true that a bedspread is a car?,bedspread,car
11,1,1,ns_3,bedspread,car,3,Is it true that bedspreads are a type of car?,bedspreads,car
12,1,1,ns_3,bedspread,car,4,Is it true that a bedspread is a type of car?,bedspread,car
13,1,1,ns_4,bedspread,tableware,1,Is it true that bedspreads are tableware?,bedspreads,tableware
14,1,1,ns_4,bedspread,tableware,2,Is it true that a bedspread is tableware?,bedspread,tableware
15,1,1,ns_4,bedspread,tableware,3,Is it true that bedspreads are a type of tableware?,bedspreads,tableware
16,1,1,ns_4,bedspread,tableware,4,Is it true that a bedspread is a type of tableware?,bedspread,tableware
17,1,2,ns_1,bedspread,arrangement,1,Is it true that bedspreads are arrangements?,bedspreads,arrangements
18,1,2,ns_1,bedspread,arrangement,2,Is it true that a bedspread is an arrangement?,bedspread,arrangement
19,1,2,ns_1,bedspread,arrangement,3,Is it true that bedspreads are a type of arrangement?,bedspreads,arrangement
20,1,2,ns_1,bedspread,arrangement,4,Is it true that a bedspread is a type of arrangement?,bedspread,arrangement
21,1,2,ns_2,bedspread,spice,1,Is it true that bedspreads are spices?,bedspreads,spices
22,1,2,ns_2,bedspread,spice,2,Is it true that a bedspread is spices?,bedspread,spices
23,1,2,ns_2,bedspread,spice,3,Is it true that bedspreads are a type of spice?,bedspreads,spice
24,1,2,ns_2,bedspread,spice,4,Is it true that a bedspread is a type of spice?,bedspread,spice
