item,idx,category,category_item,hypernym,hypernym_item,swapped-hyponym,swapped-hypernym,hypernym_question,swapped_question
1,1,rubber band,rubber bands,office supply,office supply,office supplies,rubber band,Is it true that rubber bands are a type of office supply?,Is it true that office supplies are a type of rubber band?
2,5,rubber band,rubber bands,fastener,fastener,fasteners,rubber band,Is it true that rubber bands are a type of fastener?,Is it true that fasteners are a type of rubber band?
3,9,whip,whips,weapon,weapon,weapons,whip,Is it true that whips are a type of weapon?,Is it true that weapons are a type of whip?
4,13,dolphin,dolphins,animal,animal,animals,dolphin,Is it true that dolphins are a type of animal?,Is it true that animals are a type of dolphin?
5,17,dolphin,dolphins,sea animal,sea animal,sea animals,dolphin,Is it true that dolphins are a type of sea animal?,Is it true that sea animals are a type of dolphin?
6,21,dolphin,dolphins,mammal,mammal,mammals,dolphin,Is it true that dolphins are a type of mammal?,Is it true that mammals are a type of dolphin?
7,25,polar bear,polar bears,mammal,mammal,mammals,polar bear,Is it true that polar bears are a type of mammal?,Is it true that mammals are a type of polar bear?
8,29,polar bear,polar bears,animal,animal,animals,polar bear,Is it true that polar bears are a type of animal?,Is it true that animals are a type of polar bear?
9,33,mousse,mousse,food,food,food,mousse,Is it true that mousse is a type of food?,Is it true that food is a type of mousse?
10,37,mousse,mousse,dessert,dessert,dessert,mousse,Is it true that mousse is a type of dessert?,Is it true that a dessert are a type of mousse?
11,41,mirror,mirrors,home decor,home decor,home decors,mirror,Is it true that mirrors are a type of home decor?,Is it true that home decors is a type of mirror?
12,45,brownie,brownies,food,food,foods,brownie,Is it true that brownies are a type of food?,Is it true that foods is a type of brownie?
13,49,brownie,brownies,dessert,dessert,desserts,brownie,Is it true that brownies are a type of dessert?,Is it true that desserts are a type of brownie?
14,53,stingray,stingrays,sea animal,sea animal,sea animals,stingray,Is it true that stingrays are a type of sea animal?,Is it true that sea animals are a type of stingray?
15,57,stingray,stingrays,animal,animal,animals,stingray,Is it true that stingrays are a type of animal?,Is it true that animals are a type of stingray?
16,61,flower,flowers,plant,plant,plants,flower,Is it true that flowers are a type of plant?,Is it true that plants are a type of flower?
17,65,burrito,burritos,food,food,foods,burrito,Is it true that burritos are a type of food?,Is it true that foods is a type of burrito?
18,69,coffee bean,coffee beans,food,food,foods,coffee bean,Is it true that coffee beans are a type of food?,Is it true that foods is a type of coffee bean?
19,73,jackhammer,jackhammers,electronic device,electronic device,electronic devices,jackhammer,Is it true that jackhammers are a type of electronic device?,Is it true that electronic devices are a type of jackhammer?
20,77,jackhammer,jackhammers,tool,tool,tools,jackhammer,Is it true that jackhammers are a type of tool?,Is it true that tools are a type of jackhammer?
21,81,rolling pin,rolling pins,tool,tool,tools,rolling pin,Is it true that rolling pins are a type of tool?,Is it true that tools are a type of rolling pin?
22,85,rolling pin,rolling pins,kitchen tool,kitchen tool,kitchen tools,rolling pin,Is it true that rolling pins are a type of kitchen tool?,Is it true that kitchen tools are a type of rolling pin?
23,89,kite,kites,toy,toy,toys,kite,Is it true that kites are a type of toy?,Is it true that toys are a type of kite?
24,93,bus,buses,vehicle,vehicle,vehicles,bus,Is it true that buses are a type of vehicle?,Is it true that vehicles are a type of bus?
25,97,glove,gloves,accessory,accessory,accessories,glove,Is it true that gloves are a type of accessory?,Is it true that accessories are a type of glove?
26,101,glove,gloves,clothing,clothing,clothing,glove,Is it true that gloves are a type of clothing?,Is it true that clothing is a type of glove?
27,105,glove,gloves,outerwear,outerwear,outerwear,glove,Is it true that gloves are a type of outerwear?,Is it true that outerwear is a type of glove?
28,109,glove,gloves,protective clothing,protective clothing,protective clothings,glove,Is it true that gloves are a type of protective clothing?,Is it true that protective clothings is a type of glove?
29,113,fish,fish,sea animal,sea animal,sea animals,fish,Is it true that fish are a type of sea animal?,Is it true that sea animals are a type of fish?
30,117,fish,fish,animal,animal,animals,fish,Is it true that fish are a type of animal?,Is it true that animals are a type of fish?
31,121,fish,fish,seafood,seafood,seafoods,fish,Is it true that fish are a type of seafood?,Is it true that seafoods is a type of fish?
32,125,fish,fish,food,food,foods,fish,Is it true that fish are a type of food?,Is it true that foods is a type of fish?
33,129,lawnmower,lawnmowers,garden tool,garden tool,garden tools,lawnmower,Is it true that lawnmowers are a type of garden tool?,Is it true that garden tools are a type of lawnmower?
34,133,hat,hats,clothing,clothing,clothing,hat,Is it true that hats are a type of clothing?,Is it true that clothing is a type of hat?
35,137,hat,hats,accessory,accessory,accessories,hat,Is it true that hats are a type of accessory?,Is it true that accessories are a type of hat?
36,141,hat,hats,headwear,headwear,headwear,hat,Is it true that hats are a type of headwear?,Is it true that headwear is a type of hat?
37,145,skateboard,skateboards,vehicle,vehicle,vehicles,skateboard,Is it true that skateboards are a type of vehicle?,Is it true that vehicles are a type of skateboard?
38,149,skateboard,skateboards,toy,toy,toys,skateboard,Is it true that skateboards are a type of toy?,Is it true that toys are a type of skateboard?
39,153,balloon,balloons,toy,toy,toys,balloon,Is it true that balloons are a type of toy?,Is it true that toys are a type of balloon?
40,157,gondola,gondolas,vehicle,vehicle,vehicles,gondola,Is it true that gondolas are a type of vehicle?,Is it true that vehicles are a type of gondola?
41,161,gondola,gondolas,water vehicle,water vehicle,water vehicles,gondola,Is it true that gondolas are a type of water vehicle?,Is it true that water vehicles are a type of gondola?
42,165,tank,tanks,tool,tool,tools,tank,Is it true that tanks are a type of tool?,Is it true that tools are a type of tank?
43,169,tank,tanks,container,container,containers,tank,Is it true that tanks are a type of container?,Is it true that containers are a type of tank?
44,173,tank,tanks,weapon,weapon,weapons,tank,Is it true that tanks are a type of weapon?,Is it true that weapons are a type of tank?
45,177,van,vans,vehicle,vehicle,vehicles,van,Is it true that vans are a type of vehicle?,Is it true that vehicles are a type of van?
46,181,sweater,sweaters,clothing,clothing,clothing,sweater,Is it true that sweaters are a type of clothing?,Is it true that clothing is a type of sweater?
47,185,pug,pugs,mammal,mammal,mammals,pug,Is it true that pugs are a type of mammal?,Is it true that mammals are a type of pug?
48,189,pug,pugs,animal,animal,animals,pug,Is it true that pugs are a type of animal?,Is it true that animals are a type of pug?
49,193,maggot,maggots,animal,animal,animals,maggot,Is it true that maggots are a type of animal?,Is it true that animals are a type of maggot?
50,197,fruitcake,fruitcakes,dessert,dessert,desserts,fruitcake,Is it true that fruitcakes are a type of dessert?,Is it true that desserts are a type of fruitcake?
51,201,fruitcake,fruitcakes,food,food,foods,fruitcake,Is it true that fruitcakes are a type of food?,Is it true that foods is a type of fruitcake?
52,205,yo-yo,yo-yos,game,game,games,yo-yo,Is it true that yo-yos are a type of game?,Is it true that games are a type of yo-yo?
53,209,yo-yo,yo-yos,toy,toy,toys,yo-yo,Is it true that yo-yos are a type of toy?,Is it true that toys are a type of yo-yo?
54,213,peg,pegs,tool,tool,tools,peg,Is it true that pegs are a type of tool?,Is it true that tools are a type of peg?
55,217,peg,pegs,fastener,fastener,fasteners,peg,Is it true that pegs are a type of fastener?,Is it true that fasteners are a type of peg?
56,221,seaweed,seaweeds,seafood,seafood,seafoods,seaweed,Is it true that seaweeds are a type of seafood?,Is it true that seafoods is a type of seaweed?
57,225,seaweed,seaweeds,food,food,foods,seaweed,Is it true that seaweeds are a type of food?,Is it true that foods is a type of seaweed?
58,229,seaweed,seaweeds,plant,plant,plants,seaweed,Is it true that seaweeds are a type of plant?,Is it true that plants are a type of seaweed?
59,233,teapot,teapots,container,container,containers,teapot,Is it true that teapots are a type of container?,Is it true that containers are a type of teapot?
60,237,wedding cake,wedding cakes,food,food,foods,wedding cake,Is it true that wedding cakes are a type of food?,Is it true that foods is a type of wedding cake?
61,241,wedding cake,wedding cakes,dessert,dessert,desserts,wedding cake,Is it true that wedding cakes are a type of dessert?,Is it true that desserts are a type of wedding cake?
62,245,bread,bread,food,food,food,bread,Is it true that bread is a type of food?,Is it true that food is a type of bread?
63,249,breadstick,breadsticks,food,food,foods,breadstick,Is it true that breadsticks are a type of food?,Is it true that foods is a type of breadstick?
64,253,dumpling,dumplings,food,food,foods,dumpling,Is it true that dumplings are a type of food?,Is it true that foods is a type of dumpling?
65,257,cougar,cougars,animal,animal,animals,cougar,Is it true that cougars are a type of animal?,Is it true that animals are a type of cougar?
66,261,cougar,cougars,mammal,mammal,mammals,cougar,Is it true that cougars are a type of mammal?,Is it true that mammals are a type of cougar?
67,265,boar,boars,mammal,mammal,mammals,boar,Is it true that boars are a type of mammal?,Is it true that mammals are a type of boar?
68,269,boar,boars,animal,animal,animals,boar,Is it true that boars are a type of animal?,Is it true that animals are a type of boar?
69,273,school bus,school buses,vehicle,vehicle,vehicles,school bus,Is it true that school buses are a type of vehicle?,Is it true that vehicles are a type of school bus?
70,277,plaster cast,plaster casts,medical equipment,medical equipment,medical equipments,plaster cast,Is it true that plaster casts are a type of medical equipment?,Is it true that medical equipments is a type of plaster cast?
71,281,recorder,recorders,musical instrument,musical instrument,musical instruments,recorder,Is it true that recorders are a type of musical instrument?,Is it true that musical instruments are a type of recorder?
72,285,blazer,blazers,clothing,clothing,clothing,blazer,Is it true that blazers are a type of clothing?,Is it true that clothing is a type of blazer?
73,289,blazer,blazers,outerwear,outerwear,outerwear,blazer,Is it true that blazers are a type of outerwear?,Is it true that outerwear is a type of blazer?
74,293,cornucopia,cornucopias,home decor,home decor,home decors,cornucopia,Is it true that cornucopias are a type of home decor?,Is it true that home decors is a type of cornucopia?
75,297,footbath,footbaths,container,container,containers,footbath,Is it true that footbaths are a type of container?,Is it true that containers are a type of footbath?
76,301,lock,locks,fastener,fastener,fasteners,lock,Is it true that locks are a type of fastener?,Is it true that fasteners are a type of lock?
77,305,lock,locks,tool,tool,tools,lock,Is it true that locks are a type of tool?,Is it true that tools are a type of lock?
78,309,iguana,iguanas,animal,animal,animals,iguana,Is it true that iguanas are a type of animal?,Is it true that animals are a type of iguana?
79,313,grapefruit,grapefruits,fruit,fruit,fruits,grapefruit,Is it true that grapefruits are a type of fruit?,Is it true that fruits are a type of grapefruit?
80,317,grapefruit,grapefruits,food,food,foods,grapefruit,Is it true that grapefruits are a type of food?,Is it true that foods is a type of grapefruit?
81,321,jam,jams,condiment,condiment,condiments,jam,Is it true that jams are a type of condiment?,Is it true that condiments are a type of jam?
82,325,jam,jams,food,food,foods,jam,Is it true that jams are a type of food?,Is it true that foods is a type of jam?
83,329,axe,axes,garden tool,garden tool,garden tools,axe,Is it true that axes are a type of garden tool?,Is it true that garden tools are a type of axe?
84,333,axe,axes,weapon,weapon,weapons,axe,Is it true that axes are a type of weapon?,Is it true that weapons are a type of axe?
