model,model-type,concept1,concept2,raw-counts,accuracy
mllama,vlm,bedspread,bedding,"(5, 5)",100
mllama,vlm,bedspread,covering,"(5, 5)",100
mllama,vlm,bedding,covering,"(87, 90)",96.66666667
mllama,vlm,giraffe,mammal,"(194, 201)",96.51741294
mllama,vlm,giraffe,vertebrate,"(188, 201)",93.53233831
mllama,vlm,giraffe,animal,"(196, 201)",97.51243781
mllama,vlm,mammal,vertebrate,"(2812, 3233)",86.97803897
mllama,vlm,mammal,animal,"(3098, 3233)",95.82431178
mllama,vlm,vertebrate,animal,"(3004, 3145)",95.51669316
mllama,vlm,bunny,rabbit,"(18, 18)",100
mllama,vlm,bunny,mammal,"(15, 18)",83.33333333
mllama,vlm,bunny,vertebrate,"(17, 18)",94.44444444
mllama,vlm,bunny,animal,"(16, 18)",88.88888889
mllama,vlm,rabbit,mammal,"(15, 18)",83.33333333
mllama,vlm,rabbit,vertebrate,"(17, 18)",94.44444444
mllama,vlm,rabbit,animal,"(16, 18)",88.88888889
mllama,vlm,mask,protective covering,"(1, 1)",100
mllama,vlm,mask,covering,"(1, 1)",100
mllama,vlm,protective covering,covering,"(76, 79)",96.20253165
mllama,vlm,dishwasher,home appliance,"(4, 5)",80
mllama,vlm,dishwasher,appliance,"(4, 5)",80
mllama,vlm,home appliance,appliance,"(153, 163)",93.86503067
mllama,vlm,bed,bedroom furniture,"(71, 80)",88.75
mllama,vlm,bed,furniture,"(71, 80)",88.75
mllama,vlm,bedroom furniture,furniture,"(71, 73)",97.26027397
mllama,vlm,flower,plant,"(40, 41)",97.56097561
mllama,vlm,burner,heating element,"(8, 9)",88.88888889
mllama,vlm,station,facility,"(7, 8)",87.5
mllama,vlm,bread,baked good,"(3, 3)",100
mllama,vlm,bread,food,"(3, 3)",100
mllama,vlm,baked good,food,"(90, 107)",84.11214953
mllama,vlm,blender,mixer,"(5, 6)",83.33333333
mllama,vlm,blender,kitchen utensil,"(5, 6)",83.33333333
mllama,vlm,blender,utensil,"(5, 6)",83.33333333
mllama,vlm,mixer,kitchen utensil,"(4, 5)",80
mllama,vlm,mixer,utensil,"(4, 5)",80
mllama,vlm,kitchen utensil,utensil,"(52, 52)",100
mllama,vlm,sculpture,artwork,"(2, 2)",100
mllama,vlm,sculpture,art,"(2, 2)",100
mllama,vlm,artwork,art,"(76, 78)",97.43589744
mllama,vlm,skateboarder,athlete,"(14, 15)",93.33333333
mllama,vlm,skateboarder,person,"(15, 15)",100
mllama,vlm,athlete,person,"(57, 62)",91.93548387
mllama,vlm,cooker,kitchen utensil,"(3, 3)",100
mllama,vlm,cooker,utensil,"(3, 3)",100
mllama,vlm,paddle,bat,"(5, 6)",83.33333333
mllama,vlm,paddle,club,"(4, 6)",66.66666667
mllama,vlm,paddle,stick,"(5, 6)",83.33333333
mllama,vlm,bat,club,"(87, 107)",81.30841121
mllama,vlm,bat,stick,"(102, 107)",95.3271028
mllama,vlm,club,stick,"(88, 89)",98.87640449
mllama,vlm,baseball,game,"(8, 9)",88.88888889
