item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,No,0.9999902248382568,3.6961137084290385e-06
1,2,Yes,No,0.9999902248382568,2.9306825126695912e-06
1,3,Yes,No,0.9999902248382568,1.1009796253347304e-05
1,4,Yes,No,0.9999902248382568,4.630157491192222e-06
2,5,Yes,No,0.9959291219711304,3.932897016056813e-06
2,6,Yes,No,0.9959291219711304,0.0012965049827471375
2,7,Yes,No,0.9959291219711304,3.227571369279758e-06
2,8,Yes,No,0.9959291219711304,0.07291668653488159
3,9,Yes,Yes,0.9999688267707825,0.8139591217041016
3,10,Yes,No,0.9999688267707825,0.04425732418894768
3,11,Yes,Yes,0.9999688267707825,0.5525529384613037
3,12,Yes,Yes,0.9999688267707825,0.999986469745636
4,13,Yes,No,0.9999927878379822,5.913038876315113e-06
4,14,Yes,No,0.9999927878379822,0.318761944770813
4,15,Yes,No,0.9999927878379822,7.1291519816441e-06
4,16,Yes,No,0.9999927878379822,2.5781995645957068e-05
5,17,Yes,No,0.9999738335609436,8.39040012579062e-07
5,18,Yes,No,0.9999738335609436,6.019431111781159e-06
5,19,Yes,No,0.9999738335609436,8.93957621883601e-06
5,20,Yes,No,0.9999738335609436,1.166373385785846e-05
6,21,Yes,No,0.9999894499778748,5.717560270568356e-06
6,22,Yes,No,0.9999894499778748,5.665960088663269e-06
6,23,Yes,No,0.9999894499778748,1.1737163731595501e-05
6,24,Yes,No,0.9999894499778748,8.157632692018524e-06
7,25,Yes,No,0.9999960064888,0.0003754054196178913
7,26,Yes,No,0.9999960064888,4.875952072325163e-06
7,27,Yes,No,0.9999960064888,2.6467661882634275e-05
7,28,Yes,No,0.9999960064888,8.11361132946331e-06
8,29,Yes,No,0.9999954700469971,8.011024874576833e-06
8,30,Yes,No,0.9999954700469971,5.089834758109646e-06
8,31,Yes,No,0.9999954700469971,2.095650415867567e-06
8,32,Yes,No,0.9999954700469971,4.529781563178403e-06
9,33,Yes,No,0.9999980330467224,0.03395640105009079
9,34,Yes,No,0.9999980330467224,0.010325546376407146
9,35,Yes,No,0.9999980330467224,0.0010464040096849203
9,36,Yes,No,0.9999980330467224,3.791732888203114e-05
10,37,Yes,No,0.9999951124191284,0.0007648658938705921
10,38,Yes,No,0.9999951124191284,0.0010464040096849203
10,39,Yes,No,0.9999951124191284,0.003041359130293131
10,40,Yes,No,0.9999951124191284,0.42565181851387024
11,41,Yes,No,0.9998875856399536,4.0810487007547636e-06
11,42,Yes,No,0.9998875856399536,0.0007606915896758437
11,43,Yes,No,0.9998875856399536,4.781036295753438e-06
11,44,Yes,No,0.9998875856399536,0.325651615858078
12,45,Yes,No,0.9999977350234985,2.6611030989442952e-05
12,46,Yes,No,0.9999977350234985,5.242627958068624e-05
12,47,Yes,No,0.9999977350234985,1.02805788628757e-05
12,48,Yes,No,0.9999977350234985,6.620248313993216e-05
13,49,Yes,No,0.9999950528144836,9.058196155820042e-06
13,50,Yes,No,0.9999950528144836,1.6786121705081314e-05
13,51,Yes,No,0.9999950528144836,7.96536733105313e-06
13,52,Yes,No,0.9999950528144836,5.640607014356647e-06
14,53,Yes,No,0.9999868273735046,2.2728214389644563e-05
14,54,Yes,No,0.9999868273735046,1.0349876902182586e-05
14,55,Yes,No,0.9999868273735046,5.767880429630168e-05
14,56,Yes,Yes,0.9999868273735046,0.7816118001937866
15,57,Yes,No,0.9999927282333374,0.0005387453711591661
15,58,Yes,No,0.9999927282333374,0.02263953536748886
15,59,Yes,No,0.9999927282333374,2.779949500109069e-05
15,60,Yes,No,0.9999927282333374,4.783577605849132e-05
16,61,Yes,No,0.9999852776527405,5.610176685877377e-06
16,62,Yes,No,0.9999852776527405,0.07849018275737762
16,63,Yes,No,0.9999852776527405,2.7295393465465168e-06
16,64,Yes,No,0.9999852776527405,1.053359369507234e-06
17,65,Yes,No,0.9999977946281433,1.5073521353770047e-05
17,66,Yes,No,0.9999977946281433,2.683817683646339e-06
17,67,Yes,No,0.9999977946281433,1.4501874829875305e-06
17,68,Yes,No,0.9999977946281433,4.634384367818711e-06
18,69,Yes,No,0.9999588131904602,3.2063203434518073e-06
18,70,Yes,No,0.9999588131904602,2.342004154343158e-05
18,71,Yes,No,0.9999588131904602,5.82034008402843e-05
18,72,Yes,No,0.9999588131904602,1.0007474884332623e-05
19,73,Yes,No,0.709511935710907,1.8326414647162892e-05
19,74,Yes,No,0.709511935710907,0.0001966544659808278
19,75,Yes,No,0.709511935710907,9.101395335164852e-06
19,76,Yes,No,0.709511935710907,6.220830528036458e-06
20,77,Yes,No,0.999995231628418,7.295483101188438e-06
20,78,Yes,No,0.999995231628418,1.4016023669682909e-05
20,79,Yes,No,0.999995231628418,3.562327719919267e-06
20,80,Yes,No,0.999995231628418,0.0006146100931800902
21,81,Yes,No,0.9999943971633911,3.5698751617019298e-06
21,82,Yes,No,0.9999943971633911,4.8600832087686285e-06
21,83,Yes,No,0.9999943971633911,3.7749337025161367e-06
21,84,Yes,No,0.9999943971633911,0.00028849035152234137
22,85,Yes,No,0.9999964237213135,5.7650235248729587e-05
22,86,Yes,No,0.9999964237213135,6.9396164690260775e-06
22,87,Yes,No,0.9999964237213135,5.190545380173717e-06
22,88,Yes,No,0.9999964237213135,1.8376662410446443e-05
23,89,Yes,No,0.9999198913574219,6.826131993875606e-06
23,90,Yes,No,0.9999198913574219,1.1895534044015221e-05
23,91,Yes,No,0.9999198913574219,5.710541245207423e-06
23,92,Yes,No,0.9999198913574219,1.7903988918988034e-05
24,93,Yes,No,0.9999940395355225,1.905853241623845e-05
24,94,Yes,No,0.9999940395355225,2.812889078995795e-06
