item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.9196102023124695,0.06279915571212769,0.03231906518340111
2,2,Yes,No,No,0.9535003900527954,0.03734647482633591,0.04888076335191727
3,3,Yes,No,No,0.9703194499015808,0.2928816080093384,0.24525240063667297
4,4,Yes,No,No,0.956804096698761,0.06451594829559326,0.21178489923477173
5,5,Yes,No,No,0.9750624299049377,0.08140632510185242,0.15702876448631287
6,6,Yes,No,No,0.9703797101974487,0.4472179114818573,0.13300292193889618
7,7,Yes,No,No,0.9770214557647705,0.05579601600766182,0.10671090334653854
8,8,Yes,No,No,0.9716321229934692,0.05158673971891403,0.18455427885055542
9,9,Yes,No,No,0.9603502154350281,0.05236368253827095,0.1824268102645874
10,10,Yes,No,No,0.9871719479560852,0.05236368253827095,0.27790799736976624
11,11,Yes,No,No,0.9091729521751404,0.08278312534093857,0.2287386655807495
12,12,Yes,No,No,0.9886999726295471,0.0355212539434433,0.36959829926490784
13,13,Yes,No,No,0.9927939772605896,0.01724500209093094,0.18247076869010925
14,14,Yes,No,No,0.9774418473243713,0.17685586214065552,0.2079390287399292
15,15,Yes,No,No,0.9592324495315552,0.09748925268650055,0.24463221430778503
16,16,Yes,No,No,0.9808868169784546,0.05712984502315521,0.05542794242501259
17,17,Yes,No,No,0.9862433075904846,0.0755818784236908,0.36979779601097107
18,18,Yes,No,No,0.9868269562721252,0.04418432340025902,0.1736786812543869
19,19,No,No,No,0.35587212443351746,0.04996578022837639,0.042041633278131485
20,20,Yes,No,No,0.982988178730011,0.1439783275127411,0.10814054310321808
21,21,Yes,No,No,0.9562461972236633,0.04979325458407402,0.13991649448871613
22,22,Yes,No,No,0.9783799648284912,0.0351996049284935,0.07138516753911972
23,23,Yes,No,No,0.9822111129760742,0.14615291357040405,0.09363872557878494
24,24,Yes,No,No,0.987761378288269,0.02698620967566967,0.12677371501922607
25,25,Yes,No,No,0.9773922562599182,0.055297669023275375,0.28674373030662537
26,26,Yes,No,No,0.9702139496803284,0.0805605873465538,0.11380841583013535
27,27,Yes,No,No,0.9769706726074219,0.055297669023275375,0.04063228890299797
28,28,Yes,No,No,0.9810411334037781,0.055297669023275375,0.47512343525886536
29,29,Yes,No,No,0.9839450716972351,0.10676565021276474,0.11874055862426758
30,30,Yes,No,No,0.980484664440155,0.07196828722953796,0.07989079505205154
31,31,Yes,No,Yes,0.9895250797271729,0.028549807146191597,0.8470356464385986
32,32,Yes,No,No,0.9811035990715027,0.03149230405688286,0.10298597812652588
33,33,Yes,No,No,0.9772302508354187,0.047026291489601135,0.02640821970999241
34,34,Yes,No,No,0.9825470447540283,0.4545571506023407,0.06195659190416336
35,35,Yes,No,No,0.9905408620834351,0.024455508217215538,0.12542177736759186
36,36,Yes,No,Yes,0.9779526591300964,0.04259087145328522,0.8139846324920654
37,37,Yes,No,No,0.8394266963005066,0.4447095990180969,0.0530288964509964
38,38,Yes,No,No,0.6490525007247925,0.08918013423681259,0.102918341755867
39,39,Yes,No,No,0.9820008873939514,0.11614841222763062,0.07285001873970032
40,40,Yes,No,No,0.946129322052002,0.15004540979862213,0.1809709370136261
41,41,Yes,No,No,0.9786841869354248,0.13403840363025665,0.3070215880870819
42,42,No,No,No,0.22144341468811035,0.34054821729660034,0.10667698830366135
43,43,Yes,No,Yes,0.9300552606582642,0.13385336101055145,0.8478450179100037
44,44,Yes,No,No,0.9411357045173645,0.05951254069805145,0.19800353050231934
45,45,Yes,No,No,0.9834451079368591,0.09027604013681412,0.3049473166465759
46,46,Yes,No,No,0.9829514026641846,0.04742071405053139,0.2782517969608307
47,47,Yes,No,No,0.9695754647254944,0.06718457490205765,0.09626762568950653
48,48,Yes,No,No,0.9605332612991333,0.06401963531970978,0.13090677559375763
49,49,Yes,No,No,0.9610480666160583,0.09446152299642563,0.1219862550497055
50,50,Yes,No,No,0.9836088418960571,0.13924174010753632,0.13310272991657257
51,51,Yes,No,No,0.9725086092948914,0.03751842677593231,0.32870543003082275
52,52,Yes,Yes,No,0.9021601676940918,0.6251406073570251,0.33530497550964355
53,53,Yes,No,No,0.9898914098739624,0.09479782730340958,0.31137213110923767
54,54,Yes,No,No,0.9618780016899109,0.44818225502967834,0.293119877576828
55,55,Yes,No,No,0.9832965135574341,0.444033145904541,0.1972876787185669
56,56,Yes,No,No,0.8000447154045105,0.13785777986049652,0.11991476267576218
57,57,Yes,No,No,0.9690994620323181,0.020833157002925873,0.41556698083877563
58,58,Yes,Yes,No,0.9386114478111267,0.8301865458488464,0.06613793224096298
59,59,Yes,No,No,0.984014630317688,0.04047231376171112,0.19244132936000824
60,60,Yes,No,No,0.9751525521278381,0.04949565604329109,0.2589074373245239
61,61,Yes,No,No,0.9866249561309814,0.09752950817346573,0.294068306684494
62,62,Yes,No,No,0.9846871495246887,0.03242923691868782,0.16820794343948364
63,63,Yes,No,No,0.984580397605896,0.09055743366479874,0.2339390367269516
64,64,Yes,No,No,0.9831669926643372,0.049273185431957245,0.47399282455444336
65,65,Yes,No,No,0.9458327889442444,0.1369306892156601,0.18926523625850677
66,66,Yes,No,No,0.9621675610542297,0.06552980840206146,0.13575318455696106
67,67,Yes,No,No,0.9663127660751343,0.10817862302064896,0.15929710865020752
68,68,Yes,Yes,No,0.9650313258171082,0.5863286852836609,0.32558709383010864
69,69,Yes,No,No,0.9802125692367554,0.3276555836200714,0.102098248898983
70,70,Yes,No,No,0.9634029865264893,0.1533576101064682,0.08864781260490417
71,71,Yes,No,No,0.9654049277305603,0.07646694779396057,0.1542901247739792
72,72,Yes,No,No,0.9844131469726562,0.099647656083107,0.24104109406471252
73,73,Yes,No,No,0.9901037216186523,0.03902065381407738,0.12829850614070892
74,74,No,No,No,0.30903366208076477,0.10033091902732849,0.1932273656129837
75,75,Yes,No,No,0.7905703186988831,0.1302609145641327,0.2868780493736267
76,76,Yes,No,No,0.9861125946044922,0.41018936038017273,0.1456180363893509
