question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4,model,correct
747,existAttrC,racket,racket,goat,couch,card,burner,Molmo-D,1
9985,existAttrC,microwave,microwave,burner,apron,donut,bench,Molmo-D,1
9986,existAttrC,microwave,microwave,cabin,locomotive,countertop,airplane,Molmo-D,1
9988,existAttrNotC,microwave,microwave,dock,frog,orange,bear,Molmo-D,1
14551,existAttrC,snowboard,snowboard,pipe,ketchup,ball,motorcycle,Molmo-D,1
14553,existAttrNotC,snowboard,snowboard,lid,bathtub,heater,chicken,Molmo-D,1
14573,existAttrC,coat,coat,platform,pot,bucket,bike,Molmo-D,1
14576,existAttrNotC,coat,coat,elephant,trash,bush,jet,Molmo-D,1
17752,existAttrNotC,cat,cat,dish,fence,drum,aircraft,Molmo-D,1
55233,existAttrC,bag,bag,lid,refrigerator,swimsuit,mud,Molmo-D,1
55235,existAttrNotC,bag,bag,seat,blind,package,wall,Molmo-D,1
68719,existMaterialC,table,table,tower,luggage,bear,microwave,Molmo-D,1
68721,existMaterialNotC,table,table,pen,countertop,station,dishwasher,Molmo-D,1
68722,existMaterialNotC,table,table,can,toilet,keyboard,bowl,Molmo-D,1
74635,existAttrC,fence,fence,path,broom,box,patio,Molmo-D,1
77825,existAttrC,cat,cat,juice,placemat,canoe,luggage,Molmo-D,1
77826,existAttrC,cat,cat,cereal,doorway,sink,cart,Molmo-D,1
77829,existAttrNotC,cat,cat,ginger,blind,highway,bike,Molmo-D,1
78509,existAttrC,cat,cat,jersey,picture,fence,purse,Molmo-D,1
78510,existAttrC,cat,cat,bird,shirt,sheep,fur,Molmo-D,1
78512,existAttrNotC,cat,cat,blouse,watch,phone,baseball,Molmo-D,1
82840,existAttrC,surfboard,surfboard,cat,vest,sauce,fur,Molmo-D,1
84163,existAttrC,skateboard,skateboard,fence,couch,bed,bus,Molmo-D,1
84165,existAttrNotC,skateboard,skateboard,floor,mud,trash,pizza,Molmo-D,1
91084,existMaterialNotC,fence,fence,bracelet,doorway,heater,bathroom,Molmo-D,1
106326,existAttrNotC,fence,fence,blouse,sofa,cookie,house,Molmo-D,1
106333,existMaterialC,fence,fence,ball,pole,urinal,tray,Molmo-D,1
106413,existAttrC,hat,hat,giraffe,napkin,bat,countertop,Molmo-D,1
106415,existAttrNotC,hat,hat,pie,cake,kitten,scarf,Molmo-D,1
107131,existAttrC,dog,dog,chandelier,crown,monitor,bus,Molmo-D,1
107132,existAttrC,dog,dog,cabin,jeep,surfboard,bull,Molmo-D,1
107136,existAttrNotC,dog,dog,water,backpack,boy,locomotive,Molmo-D,1
111332,existAttrNotC,toothbrush,toothbrush,scarf,counter,skateboard,pen,Molmo-D,1
131515,existAttrC,pot,pot,cookie,camera,bowl,cockpit,Molmo-D,1
131517,existAttrNotC,pot,pot,watch,airplane,bathroom,tower,Molmo-D,1
135359,existAttrC,truck,truck,bird,donkey,flower,bicycle,Molmo-D,1
135362,existAttrNotC,truck,truck,pencil,dock,blanket,can,Molmo-D,1
136690,existMaterialC,table,table,bench,countertop,bear,bathroom,Molmo-D,1
136691,existMaterialNotC,table,table,dish,airplane,blind,fan,Molmo-D,1
139133,existAttrC,boat,boat,dock,chicken,bowl,broom,Molmo-D,1
139187,existAttrNotC,lamp,lamp,sheep,apple,helmet,station,Molmo-D,1
143981,existAttrC,zebra,zebra,carrot,bread,motorcycle,earring,Molmo-D,1
