concept1,concept2,similarity_Mean,similarity_pairwise,category
drum,percussion instrument,0.78466796875,0.6162109375,device
drum,musical instrument,0.7724609375,0.59423828125,device
drum,device,0.70654296875,0.52978515625,device
backpack,bag,0.80712890625,0.62890625,container
backpack,container,0.720703125,0.5283203125,container
tablecloth,linen,0.67236328125,0.492919921875,covering
tablecloth,covering,0.68505859375,0.4833984375,covering
bird,vertebrate,0.58349609375,0.356201171875,animal
bird,animal,0.57763671875,0.345458984375,animal
laptop,personal computer,0.89208984375,0.77294921875,device
laptop,computer,0.89208984375,0.77294921875,device
laptop,electronic device,0.80712890625,0.626953125,device
laptop,device,0.787109375,0.59033203125,device
broccoli,vegetable,0.72119140625,0.513671875,food
broccoli,produce,0.7041015625,0.493408203125,food
broccoli,food,0.681640625,0.47509765625,food
sofa,seat,0.77197265625,0.57763671875,furniture
sofa,furniture,0.74169921875,0.54638671875,furniture
cow,cattle,0.80908203125,0.6494140625,animal
cow,mammal,0.712890625,0.480224609375,animal
cow,vertebrate,0.6943359375,0.44384765625,animal
cow,animal,0.69970703125,0.437255859375,animal
fruit,food,0.67431640625,0.469482421875,food
bottle,vessel,0.77001953125,0.56640625,container
bottle,container,0.75927734375,0.55419921875,container
spatula,kitchen utensil,0.77685546875,0.583984375,utensil
spatula,utensil,0.7763671875,0.57958984375,utensil
bread,baked good,0.7451171875,0.5673828125,food
bread,food,0.71435546875,0.50634765625,food
frog,amphibian,0.65380859375,0.50146484375,animal
frog,vertebrate,0.56982421875,0.356201171875,animal
frog,animal,0.58056640625,0.355224609375,animal
orange,citrus fruit,0.82275390625,0.6630859375,food
orange,fruit,0.74169921875,0.53369140625,food
orange,food,0.6640625,0.45947265625,food
cat,feline,0.6669921875,0.50537109375,animal
cat,mammal,0.6650390625,0.440673828125,animal
cat,vertebrate,0.658203125,0.413330078125,animal
cat,animal,0.6611328125,0.405517578125,animal
cucumber,vegetable,0.71240234375,0.509765625,food
cucumber,produce,0.7119140625,0.49853515625,food
cucumber,food,0.67578125,0.470458984375,food
sailboat,boat,0.787109375,0.65087890625,vehicle
sailboat,water vehicle,0.7890625,0.64697265625,vehicle
sailboat,vehicle,0.75244140625,0.60595703125,vehicle
fence,barrier,0.73193359375,0.53857421875,structure
fence,structure,0.6474609375,0.488037109375,structure
bag,container,0.705078125,0.51513671875,container
beer,alcohol,0.83837890625,0.71435546875,beverage
beer,beverage,0.828125,0.6904296875,beverage
bus,motor vehicle,0.8818359375,0.7333984375,vehicle
