item,label,p_yes
1,Yes,0.9999996423721313
2,No,0.09403654932975769
3,No,0.00015493672981392592
4,No,0.0780148059129715
5,No,5.718182546389505e-14
6,No,4.8859577679322835e-14
7,No,9.654169147053568e-14
8,No,1.0829431427127056e-13
9,No,7.322655394374766e-14
10,No,6.363853400411651e-14
11,No,7.344323174791889e-14
12,No,7.647600949864039e-14
13,No,1.6121069865322746e-13
14,No,1.5002749205721838e-13
15,No,2.848281506484529e-13
16,No,1.494725025176502e-13
17,No,0.006335968617349863
18,No,0.014491919428110123
19,No,1.4919378372724168e-05
20,No,0.007479710038751364
21,No,7.206943239889893e-14
22,No,4.661431356471797e-14
23,No,1.8826494454105697e-13
24,No,9.034515079412928e-14
25,No,1.6341375952064197e-12
26,No,2.7874431278787637e-13
27,No,3.2055318143799083e-13
28,No,1.6331491822958732e-13
29,No,4.4634386247785485e-13
30,No,1.6598613488457564e-13
31,No,4.304031089863436e-13
32,No,1.452744174956777e-13
33,No,2.3582524821819106e-13
34,No,1.9961883166406957e-13
35,No,2.953417946403164e-13
36,No,2.9070027092979733e-13
37,No,3.408322615024856e-13
38,No,1.0632801198751443e-13
39,No,4.825188100639199e-13
40,No,3.197380240346076e-13
41,No,3.1680471505694807e-13
42,No,1.0816612769316489e-13
43,No,2.0152819300497948e-13
44,No,1.951207885585518e-13
45,No,2.8401462515148523e-08
46,No,5.428825389230951e-08
47,No,8.079146618204802e-13
48,No,2.9834254099310453e-13
49,No,2.9190820767521775e-13
50,No,1.2213910167546e-13
51,No,1.2896746116788232e-13
52,No,9.002504010270293e-14
53,No,5.914629138022154e-13
54,No,4.255210279188043e-13
55,No,2.9446939136222594e-13
56,No,2.4274234965843133e-13
57,No,2.991419774649867e-13
58,No,4.2349839455592397e-13
59,No,4.403678214182777e-13
60,No,4.2768617965725786e-13
61,No,2.2974235903451545e-13
62,No,1.8308970875860475e-13
63,No,1.4151017597302529e-13
64,No,1.6208635453783538e-13
65,No,3.0533656657748265e-13
66,No,1.8514805574104676e-12
67,No,4.4050643666602995e-13
68,No,4.024765546881137e-13
69,No,2.9190820767521775e-13
70,No,1.2213910167546e-13
71,No,1.2896746116788232e-13
72,No,9.002504010270293e-14
73,No,6.915200698306631e-14
74,No,5.544092203553508e-14
75,No,1.418901752819543e-13
76,No,1.2621754498769872e-13
77,No,9.473610264321142e-12
78,No,5.231073820638477e-13
79,No,2.8797024985947883e-13
80,No,4.641781208535034e-13
81,No,1.0242192971564659e-13
82,No,3.4570453731662745e-14
83,No,2.8221302790336356e-13
84,No,2.859265829744523e-13
85,No,3.5825857480631385e-07
86,No,7.977781629753267e-11
87,No,1.1643852548814948e-11
88,No,3.6330519755795043e-12
89,No,1.4599772942252426e-13
90,No,1.1017859666067817e-13
91,No,2.361484217807547e-13
92,No,3.429627458764739e-13
93,No,1.2549003719844465e-12
94,No,2.3471080981551928e-11
95,No,1.561338384969968e-11
96,No,7.803540591488911e-10
97,No,2.6167880796262866e-13
98,No,1.910029480498704e-13
99,No,3.29107672104173e-13
100,No,5.999858270801239e-13
101,No,1.314061164568725e-12
102,No,2.9193325274540216e-13
103,No,3.778322056266492e-13
104,No,1.0376558553376602e-12
105,No,2.1112120027460407e-13
106,No,2.486415207839793e-13
107,No,3.9725148626330864e-13
108,No,4.298296202472074e-13
109,No,0.023771226406097412
110,No,2.292180033691693e-05
111,No,0.00012627660180442035
112,No,1.6475648970115664e-11
113,No,3.845743168362503e-13
114,No,1.8599532992328444e-13
115,No,6.450439683260145e-13
116,No,6.377345483296604e-13
117,No,1.8944663546238694e-11
118,No,1.6525338651263155e-05
119,No,3.746283231548242e-12
120,No,1.8712686955524305e-09
121,No,2.96999214501395e-13
122,No,7.50379305133192e-13
123,No,1.1774159121638594e-12
124,No,2.1417006623031254e-12
125,No,1.6707943080278287e-13
126,No,5.688376473415163e-14
127,No,1.1833591018976103e-13
128,No,7.662245810708887e-14
129,No,1.8512144941973396e-13
130,No,1.485578831174686e-13
131,No,1.1591876276136753e-13
132,No,9.184895275989383e-14
133,No,1.6707943080278287e-13
134,No,5.688376473415163e-14
135,No,1.1833591018976103e-13
