premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
drink,parfait,no,0.9030188322067261,high,drinks,parfaits
school supply,llama,no,0.11438979208469391,low,school supplies,llamas
dessert,berry,no,0.8629467487335205,high,desserts,berries
office supply,rubber band,yes,0.536187469959259,high,office supplies,rubber bands
accessory,tapestry,no,0.7888246774673462,high,accessories,tapestries
auto part,watermelon,no,0.09379725903272629,low,auto parts,watermelons
container,ferry,no,0.6775137186050415,high,containers,ferries
weapon,whip,yes,0.6578752994537354,high,weapons,whips
water vehicle,camper,no,0.8518275618553162,high,water vehicles,campers
animal,dolphin,yes,0.8230457901954651,high,animals,dolphins
footwear,plaster cast,no,0.8697690963745117,high,footwear,plaster casts
mammal,polar bear,yes,0.9012810587882996,high,mammals,polar bears
animal,toilet paper,no,0.11899809539318085,low,animals,toilet paper
food,mousse,yes,0.761062502861023,high,food,mousse
insect,snake,no,0.8890345096588135,high,insects,snakes
home decor,mirror,yes,0.5577032566070557,high,home decor,mirrors
food,brownie,yes,0.7694082856178284,high,food,brownies
tool,gravy,no,0.10266534984111786,low,tools,gravy
sea animal,stingray,yes,0.885235607624054,high,sea animals,stingrays
food,cockroach,no,0.33813270926475525,high,food,cockroaches
plant,flower,yes,0.8905830383300781,high,plants,flowers
food,burrito,yes,0.8005331158638,high,food,burritos
food,coffee bean,yes,0.7668177485466003,high,food,coffee beans
container,bookshelf,no,0.7040245532989502,high,containers,bookshelves
electronic device,jackhammer,yes,0.5623064041137695,high,electronic devices,jackhammers
tool,rolling pin,yes,0.7153165936470032,high,tools,rolling pins
toy,kite,yes,0.6598632335662842,low,toys,kites
vehicle,bus,yes,0.8872480988502502,high,vehicles,buses
plant,celery,no,0.898038387298584,high,plants,celeries
electronic device,valve,no,0.6136069297790527,high,electronic devices,valves
accessory,glove,yes,0.6257392168045044,low,accessories,gloves
food,hopscotch,no,0.15768173336982727,low,food,hopscotches
sea animal,fish,yes,0.8734735250473022,high,sea animals,fish
garden tool,lawnmower,yes,0.7609829902648926,low,garden tools,lawnmowers
mammal,toucan,no,0.8498879075050354,high,mammals,toucans
office supply,nail file,no,0.7004284858703613,high,office supplies,nail files
clothing,hat,yes,0.770395815372467,high,clothing,hats
vehicle,sunroof,no,0.7638518214225769,high,vehicles,sunroofs
jewelry,cornbread,no,0.09464587271213531,low,jewelry,cornbread
plant,okra,no,0.8955278992652893,high,plants,okra
vehicle,skateboard,yes,0.7034243941307068,high,vehicles,skateboards
clothing,raisin,no,0.15452174842357635,low,clothing,raisins
food,honeypot,no,0.5712931752204895,high,food,honeypots
toy,balloon,yes,0.7943184971809387,high,toys,balloons
vehicle,gondola,yes,0.7682605981826782,high,vehicles,gondolas
